"McLean 1990, Spec. Con3"	
-5.4864	8.3538
-4.7498	9.5548
-4.2672	10.155
-3.5306	11.294
-2.8702	12.629
-2.3368	12.9
-1.7526	13.754
-1.1176	14.595
-0.508	15.471
0.3302	16.494
0.7874	16.992
1.5748	18.233
2.1082	18.736
2.667	19.674
3.302	20.306
3.9624	21.24
4.4958	21.778
5.2324	22.268
5.842	23.469
6.477	24.292
7.0612	25.07
7.9502	26.067
8.3312	26.422
8.9408	27.268
9.6012	28.162
10.185	28.722
10.871	29.63
11.532	30.31
11.963	30.746
12.878	31.849
13.335	32.339
13.97	33.099
14.656	34.056
15.316	34.576
15.824	35.096
16.561	35.937
17.12	36.373
17.755	37.214
18.466	37.761
18.974	38.148
19.787	39.042
20.422	39.318
21.006	39.696
21.59	40.047
22.2	40.363
21.946	34.447
21.361	31.431
20.498	28.584
20.117	27.165
19.507	25.048
18.872	23.193
18.263	21.329
17.678	19.723
17.094	18.1
16.51	16.561
15.926	15.102
15.138	13.207
14.58	11.952
13.995	10.689
13.36	9.3279
12.548	7.6821
12.09	6.7124
11.506	5.627
10.922	4.6439
10.185	3.2828
9.5758	2.2108
9.0678	1.4813
8.3566	0.35586
7.493	-0.9964
7.0612	-1.4813
6.5278	-2.362
5.9436	-3.3006
5.1308	-4.595
4.5466	-5.2978
4.064	-6.1119
3.429	-6.9659
2.7432	-8.0602
2.1844	-8.7941
1.4986	-9.7861
0.9144	-10.702
0.3556	-11.401
-0.508	-12.571
-1.0414	-13.411
-1.6256	-14.265
-2.2606	-15.191
-3.0226	-16.276
-3.4544	-16.823
-4.1656	-17.949
-4.6736	-18.683
-5.4102	-19.755
-5.9436	-20.417
-6.6548	-21.485
-7.1628	-22.259
-8.0264	-23.58
-8.5852	-24.114
-9.0678	-24.906
-9.6774	-25.729
-10.389	-26.765
-10.973	-27.61
-11.582	-28.362
-12.243	-29.305
-13.081	-30.982
-13.614	-31.044
-14.148	-31.907
-14.732	-32.757
-15.291	-33.477
-16.154	-34.438
-16.662	-35.199
-17.272	-35.933
-17.907	-36.76
-18.517	-37.414
-19.152	-38.152
-19.736	-38.815
-20.371	-39.411
-21.285	-40.292
-21.793	-40.581
-22.327	-40.981
-22.174	-36.177
-21.641	-31.556
-20.853	-28.042
-20.447	-26.525
-19.787	-24.074
-19.202	-22.085
-18.44	-19.065
-17.882	-17.744
-17.348	-15.938
-16.739	-14.128
-16.104	-12.255
-15.342	-10.249
-14.859	-8.8609
-14.275	-7.4107
-13.614	-5.9428
-12.852	-4.0523
-12.37	-3.1004
-11.709	-1.8149
-11.1	-0.61385
-10.312	0.56048
-9.8552	1.4724
-9.2202	2.4732
-8.636	3.4518
-7.7724	4.6439
-7.3152	5.5069
-6.731	6.4099
-6.1214	7.3574
-5.4356	8.4783
-4.8006	9.4658
-4.2418	10.204
-3.6068	11.076
-2.8194	12.286
-2.3114	12.842
-1.6002	13.959
-1.016	14.555
-0.4572	15.551
-0.127	14.541
0.4064	16.516
0.889	16.939
1.3716	17.722
1.9558	18.38
2.6924	19.287
3.2766	20.03
3.9878	20.929
4.4958	21.409
5.4102	22.544
5.8166	22.957
6.4008	23.785
7.0104	24.55
7.7216	25.261
8.255	25.893
9.0424	26.743
9.525	27.196
10.312	28.295
10.922	28.807
11.379	29.323
12.09	30.132
12.751	31.302
13.437	31.476
13.945	32.147
14.554	32.752
15.189	33.46
16.078	34.349
16.586	34.732
17.043	35.163
17.805	36.08
18.39	36.533
18.948	37.223
19.634	37.712
20.168	38.081
20.98	38.473
21.514	39.153
22.098	39.5
22.733	39.865
23.52	40.372
24.282	40.461
24.943	40.608
25.578	40.706
26.238	40.884
26.797	40.506
27.254	40.826
27.991	41.048
28.804	40.835
29.413	40.924
29.896	39.954
29.591	35.243
29.032	31.716
28.296	29.327
27.788	27.672
27.229	25.991
26.619	24.189
25.933	22.041
25.324	20.448
24.74	18.967
24.105	17.304
23.419	15.604
22.835	14.257
22.225	12.842
21.59	11.396
20.93	9.9596
20.345	8.723
19.736	7.4508
19.177	6.3876
18.466	4.9064
17.755	3.8433
17.297	2.8913
16.713	1.975
16.104	1.032
15.215	-0.19572
14.757	-0.87185
14.173	-1.6414
13.564	-2.4554
12.624	-3.6253
12.192	-4.1457
11.633	-4.9553
11.049	-5.7382
10.109	-6.8814
9.6774	-7.4107
9.144	-8.1447
8.5598	-8.9009
7.5946	-10.066
7.1628	-10.511
6.6294	-11.201
5.9436	-12.001
5.334	-12.753
4.5466	-13.5
4.064	-13.967
3.5306	-14.604
2.8448	-15.351
2.2352	-15.934
1.6002	-16.645
1.016	-17.179
0.4064	-17.886
-0.3556	-18.665
-0.9144	-19.145
-1.651	-20.088
-2.2606	-20.577
-2.794	-21.098
-3.4798	-21.876
-4.0386	-22.375
-4.826	-23.34
-5.4102	-23.82
-5.9182	-24.318
-6.7056	-25.244
-7.239	-25.702
-8.128	-26.765
-8.6106	-27.076
-9.1186	-27.681
-9.7282	-28.424
-10.389	-29.042
-10.973	-29.639
-11.582	-30.266
-12.421	-31.12
-12.954	-31.578
-13.462	-32.17
-14.224	-33.046
-14.783	-33.531
-15.291	-34.1
-16.18	-34.807
-16.764	-35.595
-17.323	-36.124
-17.958	-36.738
-18.821	-37.601
-19.355	-37.992
-19.863	-38.473
-20.447	-39.064
-21.361	-39.749
-21.844	-40.159
-22.403	-40.648
-23.012	-41.084
-23.698	-41.426
-24.409	-41.702
-25.146	-41.88
-25.806	-41.96
-26.492	-42.138
-27.102	-41.982
-27.711	-42.151
-28.448	-42.245
-28.905	-41.987
-29.616	-42.156
-30.378	-41.867
-29.997	-34.816
-29.362	-30.55
-28.575	-27.579
-28.067	-25.413
-27.432	-23.184
-26.848	-21.022
-26.187	-19.087
-25.629	-16.912
-25.019	-14.991
-24.409	-13.238
-23.571	-11.027
-23.139	-9.7016
-22.581	-8.2781
-21.92	-6.6323
-21.26	-4.9286
-20.549	-3.265
-19.939	-1.7882
-19.456	-0.96971
-18.72	0.56492
-18.034	1.9394
-17.45	2.7268
-16.815	3.9233
-16.231	4.5639
-15.621	5.5291
-14.986	6.5478
-14.376	7.2195
-13.716	8.2692
-13.183	8.9498
-12.395	10.097
-11.963	10.631
-11.125	11.721
-10.617	12.437
-10.033	13.127
-9.398	13.914
-8.8138	14.555
-7.8486	15.569
-7.493	15.951
-6.8834	16.641
-6.2484	17.37
-5.6388	17.904
-4.9784	18.567
-4.3942	19.061
-3.683	19.732
-3.1242	20.19
-2.2606	21.009
-1.6764	21.392
-1.1684	21.783
-0.635	22.326
0.127	22.859
0.762	23.375
1.3208	23.811
2.032	24.412
2.667	24.826
3.2258	25.199
3.8608	25.737
4.4958	26.111
5.1054	26.565
5.7404	26.978
6.3246	27.365
6.9596	27.815
7.9248	28.349
8.3058	28.531
8.89	29.02
9.4996	29.398
10.211	30.083
11.049	30.386
11.582	30.644
12.116	30.946
12.675	31.307
13.284	31.711
13.894	32.049
14.503	32.414
15.138	32.801
16.078	33.161
16.561	33.486
17.094	33.847
17.704	34.202
18.44	34.763
19.126	35.101
19.761	35.421
20.345	35.728
20.98	36.08
21.59	36.4
22.2	36.698
22.835	37.009
23.47	37.334
24.155	37.645
24.816	37.93
25.502	38.237
26.187	38.539
26.899	38.811
27.635	39.051
27.915	38.628
28.499	39.318
29.337	39.607
30.099	39.589
29.642	32.73
29.032	30.066
28.296	27.859
27.788	26.147
27.178	24.407
26.568	22.624
25.883	20.747
25.298	19.172
24.689	17.668
24.003	16.009
23.165	13.91
22.784	13.176
22.174	11.757
21.565	10.458
20.853	8.8431
20.32	7.9445
19.634	6.5745
19.025	5.3601
18.39	4.0345
17.678	3.0693
17.247	2.2864
16.637	1.3033
16.053	0.41368
15.138	-0.79623
14.656	-1.3256
14.148	-2.0684
13.513	-2.8558
12.624	-3.9189
12.141	-4.4393
11.608	-5.2311
10.947	-5.9562
10.211	-6.9615
9.6266	-7.5353
9.1694	-8.2159
8.3566	-9.1544
7.8486	-9.7327
7.1628	-10.591
6.604	-11.116
5.9182	-12.006
5.3086	-12.575
4.7244	-13.282
4.1148	-13.843
3.429	-14.599
2.8702	-15.146
2.1082	-15.898
1.5748	-16.361
0.9652	-17.126
0.2794	-17.668
-0.2794	-18.175
-1.0668	-19.012
-1.651	-19.452
-2.159	-19.888
-2.9464	-20.471
-3.5306	-21.178
-4.1402	-21.752
-4.7498	-22.254
-5.6388	-22.993
-6.1214	-23.384
-6.6548	-23.887
-7.239	-24.447
-8.128	-25.315
-8.6106	-25.399
-9.144	-26.022
-9.7282	-26.511
-10.465	-27.245
-11.201	-27.663
-11.76	-28.033
-12.294	-28.429
-13.208	-29.839
-13.691	-29.438
-14.249	-30.021
-14.834	-30.475
-15.418	-30.924
-16.332	-31.556
-16.84	-31.925
-17.399	-32.339
-17.983	-32.783
-18.847	-33.46
-19.431	-33.771
-19.964	-34.153
-20.498	-34.549
-21.387	-35.341
-21.946	-35.546
-22.428	-35.893
-22.987	-36.346
-23.927	-37.107
-24.435	-37.218
-24.968	-37.592
-25.552	-37.988
-26.264	-38.588
-27	-38.922
-27.661	-39.22
-28.27	-39.527
-28.88	-39.834
-29.54	-40.127
-30.175	-40.408
-29.921	-34.354
-29.388	-29.714
-28.55	-26.471
-28.067	-24.434
-27.508	-22.49
-26.848	-20.222
-26.187	-18.215
-25.629	-16.111
-25.044	-14.239
-24.409	-12.397
-23.546	-10.258
-23.139	-8.9854
-22.555	-7.5486
-21.946	-5.9962
-21.107	-3.7543
-20.625	-3.0159
-19.888	-1.29
-19.456	-0.2491
-18.821	0.90744
-18.136	2.0061
-17.424	3.2561
-16.942	3.8477
-16.104	5.0843
-15.646	5.6492
-15.011	6.5923
-14.376	7.5798
-13.716	8.2826
-13.005	9.4658
-12.395	10.102
-11.963	10.685
-11.176	11.743
-10.693	12.295
-9.779	13.367
-9.3726	13.794
-8.8138	14.572
-8.001	14.942
-7.4168	16.045
-6.8834	16.672
-6.1976	17.312
-5.3848	18.362
-4.826	18.598
-4.3688	19.07
-3.7592	19.679
-3.0734	20.511
-2.2352	20.933
-1.7272	21.307
-1.2446	21.73
-0.5842	22.357
-0.1778	22.081
-0.1778	21.2
0.4826	23.113
1.2446	23.78
2.3622	24.585
3.2258	25.119
4.064	25.742
5.1816	26.569
6.2484	27.107
7.112	27.615
7.9756	28.144
8.8392	28.647
9.7282	29.158
10.871	29.714
11.735	30.346
12.7	30.848
13.64	31.356
14.58	31.845
15.545	32.41
16.586	32.903
17.577	33.379
18.466	33.887
19.355	34.363
20.244	34.807
21.158	35.301
22.123	35.768
23.089	36.231
24.105	36.716
25.121	37.174
26.137	37.645
27.178	38.081
28.245	38.482
28.905	38.455
29.769	38.917
30.836	39.273
32.004	38.486
32.741	39.474
33.731	39.331
34.823	39.589
35.458	39.451
36.601	39.723
37.389	39.175
36.932	31.471
35.966	28.215
35.052	25.448
34.087	22.601
33.198	20.275
32.283	17.762
31.115	15.133
30.429	13.354
29.566	11.419
28.575	9.2479
27.737	7.4775
26.772	5.498
25.832	3.8877
24.917	2.2953
24.003	0.83627
22.885	-0.71616
22.047	-1.886
20.93	-3.4296
20.041	-4.2703
19.279	-5.2622
18.059	-6.5611
17.374	-7.4686
16.485	-8.5317
15.367	-9.6526
14.529	-10.68
13.589	-11.681
12.522	-12.758
11.709	-13.678
10.744	-14.479
9.8044	-15.378
8.9154	-16.227
7.9502	-17.037
6.985	-17.775
6.1468	-18.438
4.9022	-19.43
4.064	-19.999
3.2766	-20.626
2.0574	-21.387
1.2954	-21.992
0.4064	-22.619
-0.7874	-23.411
-1.6256	-23.94
-2.5146	-24.625
-3.4798	-25.15
-4.3942	-25.702
-5.3848	-26.485
-6.4516	-26.987
-7.3152	-27.494
-8.1534	-28.019
-9.0424	-28.584
-10.008	-29.109
-11.252	-29.781
-12.09	-30.181
-12.954	-30.688
-13.868	-31.258
-14.783	-31.751
-15.723	-32.392
-16.789	-32.903
-17.755	-33.362
-18.72	-33.86
-19.66	-34.394
-20.549	-34.874
-21.463	-35.39
-22.377	-35.893
-23.292	-36.364
-24.232	-36.862
-25.171	-37.343
-26.111	-37.837
-27.051	-38.299
-27.965	-38.784
-29.235	-39.767
-30.15	-39.82
-31.166	-40.141
-31.953	-40.127
-33.02	-40.39
-33.909	-40.056
-35.001	-40.274
-35.738	-39.763
-36.855	-39.985
-37.821	-39.367
-37.287	-29.701
-36.347	-25.035
-35.433	-21.761
-34.468	-18.287
-33.553	-15.426
-32.614	-12.464
