"Hamilton 2002, UCI-1"	
-3.8862	-22.75265356
-3.8608	-22.79713578
-3.8608	-22.83272155
-3.9116	-22.79713578
-3.8862	-22.84161799
-3.8862	-22.81937688
-3.937	-22.83272155
-3.9116	-22.89054843
-3.9116	-22.89054843
-3.937	-22.9038931
-3.937	-22.93503065
-3.937	-22.91278954
-3.9624	-22.87720377
-3.937	-23.03289152
-3.937	-23.02399508
-3.9878	-22.91723776
-4.0132	-23.05068441
-3.9878	-23.07737374
-3.9878	-23.00175397
-4.0132	-23.09961485
-4.0132	-23.01954686
-4.0132	-23.08627018
-4.0132	-23.01065041
-4.0132	-23.05513263
-4.0132	-23.0684773
-4.0301418	-23.04178797
-4.0386	-23.01954686
-4.0470582	-23.06402907
-4.0386	-23.13964884
-4.0682418	-23.0684773
-4.0724582	-23.08182196
-4.0767	-23.1307524
-4.0894	-23.05068441
-4.0936418	-23.08182196
-4.0894	-23.09961485
-4.0978582	-23.08627018
-4.0894	-23.0684773
-4.1021	-23.0684773
-4.1063418	-23.09961485
-4.0894	-23.07737374
-4.1148	-23.09961485
-4.1148	-23.09961485
-4.1148	-23.08182196
-4.1148	-23.07737374
-4.1190418	-23.09961485
-4.1148	-23.12630418
-4.1148	-23.07737374
-4.1232582	-23.07737374
-4.1148	-23.1307524
-4.1402	-23.11295951
-4.1148	-23.03289152
-4.1402	-23.15744173
-4.1402	-23.16633817
-4.1402	-23.11295951
-4.1402	-23.12185595
-4.1402	-23.10851129
-4.1402	-23.16633817
-4.1402	-23.08182196
-4.1402	-23.15299351
-4.1444418	-23.15744173
-4.1486582	-23.15744173
-4.1486582	-23.14409706
-4.1613582	-23.17078639
-4.1486582	-23.12185595
-4.1402	-23.11295951
-4.1656	-23.17523461
-4.1402	-23.09961485
-4.1402	-23.16633817
-4.1402	-23.1307524
-4.1402	-23.17523461
-4.1656	-23.12185595
-4.1656	-23.1307524
-4.1402	-23.18857928
-4.1402	-23.12185595
-4.1402	-23.15744173
-4.1656	-23.1307524
-4.1656	-23.14409706
-4.1656	-23.19747572
-4.1656	-23.09961485
-4.1656	-23.09961485
-4.1656	-23.07737374
-4.1656	-23.13964884
-4.1656	-23.17078639
-4.1656	-23.13964884
-4.1656	-23.12185595
-4.1656	-23.21971683
-4.1656	-23.12185595
-4.1656	-23.12185595
-4.1656	-23.17078639
-4.1656	-23.14409706
-4.1656	-23.17078639
-4.1656	-23.12185595
-4.1656	-23.11295951
-4.1656	-23.14409706
-4.1656	-23.1307524
-4.1656	-23.09961485
-4.1656	-23.11295951
-4.1656	-23.14409706
-4.1656	-23.12185595
-4.1656	-23.09961485
-4.1656	-23.17078639
-4.1656	-23.13964884
-4.1656	-23.1307524
-4.1656	-23.12630418
-4.1656	-23.17078639
-4.1656	-23.09516663
-4.1656	-23.18857928
-4.1656	-23.14409706
-4.1656	-23.06402907
-4.1656	-23.17523461
-4.1740582	-23.14409706
-4.1783	-23.18857928
-4.1825418	-23.15744173
-4.1656	-23.1307524
-4.1656	-23.19747572
-4.191	-23.13964884
-4.191	-23.12185595
-4.1867582	-23.1307524
-4.1952418	-23.05513263
-4.1656	-23.18413106
-4.191	-23.12185595
-4.2164	-23.11295951
-4.191	-23.17078639
-4.191	-23.10851129
-4.2164	-23.10851129
-4.2164	-23.09961485
-4.191	-23.1307524
-4.191	-23.09516663
-4.191	-23.12630418
-4.191	-23.17078639
-4.191	-23.09961485
-4.1656	-23.19747572
-4.191	-23.1307524
-4.2164	-23.0684773
-4.2164	-23.1307524
-4.1656	-23.19747572
-4.191	-23.11295951
-4.2164	-23.0684773
-4.2164	-23.15299351
-4.2164	-23.09961485
-4.191	-23.15299351
-4.1994582	-23.21526861
-4.1656	-23.12630418
-4.191	-23.07737374
-4.2164	-23.19747572
-4.2164	-23.22861327
-4.191	-23.17523461
-4.191	-23.18857928
-4.2164	-23.17078639
-4.2164	-23.19747572
-4.2164	-23.26419905
-4.191	-23.2553026
-4.2164	-23.28644015
-4.2164	-23.30423304
-4.2418	-23.30868126
-4.2418	-23.34426704
-4.2418	-23.36205992
-4.2672	-23.43323147
-4.5296582	-24.41184022
-4.6185582	-25.61286006
-4.826	-26.65374392
-4.9784	-26.96956765
-5.08	-27.2053234
-5.1816	-27.05408386
-5.1816	-26.69377791
-4.3053	-24.17163626
-4.2926	-13.66938502
-3.429	-12.7797407
-3.429	-12.72191382
-3.429	-12.85091225
-3.3782	-12.77084426
-3.429	-12.86425691
-3.3782	-12.86425691
-3.4036	-12.73970671
-3.3782	-12.86870513
-3.4036	-12.80198181
-3.3782	-12.75305137
-3.4036	-12.79753359
-3.3782	-12.8820498
-3.3782	-12.79753359
-3.4036	-12.81087825
-3.4036	-12.8420158
-3.3782	-12.85536047
-2.2225	-9.959568196
-1.7187418	-4.497152053
-0.9906	-0.542683037
-0.2794	2.366453899
0.6604	6.040684953
1.6256	10.27539193
2.4638	14.91488708
3.429	19.79013797
4.3942	24.50525288
4.7498	25.59951539
4.7498	25.51944741
4.7752	25.52834385
4.7752	25.35931143
4.8006	25.3948972
4.8006	25.24365767
4.7879	25.36375965
4.7921418	25.22586478
4.7921418	25.18138256
4.7879	25.25255411
4.7879	25.11910746
4.8006	25.17693434
4.8006	25.19472723
4.7752	25.1280039
4.8006	25.15914145
4.8514	25.11021102
4.8514	25.04793591
4.8006	25.15914145
4.8514	24.97676437
4.826	25.02569481
4.826	24.99900548
4.8768	24.9411786
4.8006	25.01235014
4.8514	24.92338571
4.8006	25.02124658
5.6091582	27.45442381
5.8674	29.84756704
6.4008	31.46227148
6.9342	32.95687395
7.5438	34.62495705
8.1026	36.15959351
8.6614	37.57412798
8.7376	36.44427969
8.1110582	34.49595862
8.0645	32.20067627
7.9163418	30.04773701
7.4422	28.61540965
7.4422	28.57982388
7.4422	28.63765076
7.4422	28.61540965
7.2136	27.32542538
6.8326	25.61286006
6.5786	23.86470896
6.2484	22.15214364
6.0198	20.67533407
5.6896	19.20297271
5.3848	17.69502558
5.1054	16.18263024
4.7752	14.7547511
4.5212	13.50924904
4.1698418	11.5653762
3.8481	10.36435636
3.5475418	9.154440084
3.2596582	7.971213134
3.0141418	6.88584706
2.7559	5.853859645
2.4892	4.790734679
2.2648418	3.861056362
2.0404582	3.042583585
1.8288	2.117353489
1.6256	1.467913133
1.4351	0.818472777
1.2361418	0.146791313
1.0498582	-0.369202394
0.889	-1.009746307
0.6731	-1.401189809
0.508	-2.152939262
0.2794	-2.757897401
0.0508	-3.594163065
-0.1524	-4.359257183
-0.381	-5.048731533
-0.5842	-5.791584543
-0.8382	-6.707918195
-1.0414	-7.535287416
-1.27	-8.255899317
-1.4562582	-9.167784749
-1.6721582	-10.12860062
-1.8796	-11.01824494
-2.1082	-11.97016437
-2.3114	-12.8420158
-2.5146	-13.7272119
-2.7432	-14.73250999
-2.9464	-15.59101676
-3.1199582	-16.56517729
-3.3104582	-17.60606115
-3.5136582	-18.51349836
-3.7084	-19.44317668
-3.9116	-20.41733721
-4.1148	-21.36480842
-4.2926	-22.2055223
-4.4704	-23.10851129
-4.6482	-23.99370739
-4.826	-24.75880151
-4.4788582	-25.4571723
-4.2629582	-22.92168598
-4.0005	-18.79818454
-3.683	-15.09281594
-3.0988	-11.6676853
-2.413	-8.674032149
-1.8288	-5.969513407
-1.3208	-3.625300616
-0.762	-1.521291792
-0.3302	-0.106757319
0.1651	1.12984829
0.6731	2.775690288
1.1557	4.563875377
1.6679418	6.369853353
2.2098	8.438276404
2.7432	10.31987415
3.2512	12.48170985
3.81	14.67913133
4.318	16.7920366
4.826	19.14069761
5.334	21.3203262
5.8674	23.57112634
5.1773582	22.05428277
5.1350418	19.98585972
4.9445418	17.61050937
4.5974	15.51539699
4.191	13.5626277
3.81	11.76109795
3.4036	10.19087572
3.048	8.576171274
2.6924	7.174981465
2.3622	5.853859645
2.0828	4.492703831
1.778	3.371751984
1.5113	2.370902121
1.2319	1.427879138
0.9652	0.631647469
0.7281418	-0.008896443
0.4953	-0.747301231
0.2455418	-1.330018263
0.0084582	-1.992803284
-0.2032	-2.926929823
-0.4826	-3.77209193
-0.6858	-4.724011355
-0.9906	-5.627000343
-1.2192	-6.707918195
-1.4478	-7.606458962
-1.7018	-8.616205268
-1.9558	-9.799432218
-2.2352	-10.9070394
-2.4595582	-12.04133591
-2.7432	-13.07332333
-2.9718	-14.21651628
-3.1538418	-15.44867367
-3.4036	-16.60965951
-3.5814	-17.61940582
-3.81	-18.78483988
-4.064	-20.0436866
-4.2672	-21.155742
-4.4958	-22.29448673
-4.7498	-23.44212791
-4.9784	-24.37180623
-4.2037	-22.66813735
-3.9497	-18.71811656
-3.556	-14.79033687
-3.0226	-11.21841491
-2.3622	-8.162486664
-1.7272	-5.457967922
-1.1684	-2.993653147
-0.5842	-1.120951847
-0.1778	0.262445075
-0.1016	0.511545486
0.1524	1.249950274
0.1608582	1.757047538
0.2455418	1.805977976
0.3556	1.823770862
0.3556	1.770392203
0.381	1.254398495
0.3556	1.187675171
0.3302	1.147641177
0.3259582	0.840713885
0.2963418	0.702819015
0.2794	0.618302804
0.254	0.382547059
0.2032	0.235755746
0.2032	0.088964432
0.0762	-0.266893297
0.0762	-0.182377086
0.0762	-0.3291684
0.0762	-0.222411081
0.0762	-0.333616621
0.0508	-0.213514638
0.0762	-0.30247907
0.0762	-0.226859302
0.0762	-0.3291684
0.0508	-0.280237962
0.0508	-0.213514638
0.0762	-0.315823735
0.0508	-0.333616621
0.0508	-0.226859302
0.0254	-0.226859302
0.0508	-0.289134405
0.0762	-0.360305951
0.0508	-0.266893297
0.0762	-0.27578974
0.0508	-0.355857729
0.0762	-0.280237962
0.1016	-0.262445075
0.0508	-0.035585773
0.0762	-0.053378659
0.0508	-0.048930438
0.0762	-0.093412654
0.0762	-0.075619767
0.0762	-0.022241108
0.0762	-0.035585773
0.0762	-0.022241108
0.0508	-0.008896443
0.0508	-0.080067989
0.0508	-0.022241108
0.0508	0
0.0508	0.004448222
0.0762	0
0.0762	-0.075619767
0.0762	0
0.0762	-0.053378659
0.0508	0
0.0762	0.004448222
0.0508	-0.075619767
0.0508	-0.035585773
0.0508	-0.062275103
0.0508	-0.022241108
0.0508	0.048930438
0.0508	-0.013344665
0.0508	-0.035585773
0.0508	0.004448222
0.0508	-0.022241108
0.0508	-0.013344665
0.0508	0
0.0508	-0.013344665
0.0592582	-0.048930438
0.0592582	0.022241108
0.0508	-0.02668933
0.0635	0.062275103
0.0508	-0.053378659
0.0762	0.075619767
0.0508	-0.035585773
0.0508	0.035585773
0.0508	-0.053378659
0.0508	0.022241108
0.0762	-0.048930438
0.0762	-0.062275103
0.0762	0.066723324
0.0508	0.02668933
0.0762	-0.053378659
0.0762	0.013344665
0.0254	-0.013344665
0.0508	-0.048930438
0.0508	0.115653762
0.0508	0.040033995
0.0508	0.004448222
0.0762	-0.008896443
0.0508	0.048930438
0.0550418	0.120101984
0.0508	0.048930438
0.0508	0.075619767
0.0508	-0.022241108
0.0508	0.013344665
0.0508	0.080067989
0.0423418	0.053378659
0.0508	0.093412654
0.0508	0.048930438
0.0550418	0.048930438
0.0508	0.075619767
0.0465582	0.062275103
0.0508	0.066723324
0.0508	0.02668933
0.0508	0.080067989
0.0508	0.066723324
0.0465582	-0.008896443
0.0508	-0.013344665
0.0550418	0.035585773
0.0508	0.062275103
0.0508	0.066723324
0.0508	0.066723324
0.0508	0.035585773
0.0508	0.075619767
0.0508	0.128998427
0.0508	0.004448222
0.0508	0.155687757
0.0508	0.040033995
0.0508	0
0.0508	0.120101984
0.0508	0.013344665
0.0550418	0.048930438
0.0508	0.146791313
0.0508	0.075619767
0.0550418	0.022241108
0.0508	0.040033995
0.0508	0.093412654
0.0508	0.066723324
0.0508	0.115653762
0.0508	0.02668933
0.0508	0.093412654
0.0508	0.048930438
0.0508	0.062275103
0.0508	0.102309097
0.0508	0.088964432
0.0550418	0.040033995
0.0508	0.146791313
0.0550418	0.02668933
0.0508	0.173480643
0.0508	0.160135978
0.0508	0.040033995
0.0508	0.040033995
0.0508	0.080067989
0.0508	0.173480643
0.0508	0.088964432
0.0550418	0.066723324
0.0508	0.200169973
0.0592582	0.142343092
0.0508	0.062275103
0.0550418	0.053378659
0.0508	0.146791313
0.0508	0.048930438
0.0508	0.062275103
0.0508	0.080067989
0.0508	0.102309097
0.0508	0.093412654
0.0592582	0.102309097
0.0508	0.133446648
0.0508	0.106757319
0.0508	0.120101984
0.0508	0.128998427
0.0508	0.106757319
0.0508	0.146791313
0.0508	0.155687757
0.0508	0.093412654
0.0508	0.142343092
0.0508	0.115653762
0.7450582	1.134296512
1.0498582	3.407337757
1.4224	5.275590835
2.0066	7.384047881
2.5146	9.430229824
3.0226	11.61430664
3.5814	13.76279768
4.1148	16.01804604
4.6482	18.36225883
5.2324	20.70647162
5.6726582	22.99285753
6.1849	25.3948972
6.6886582	27.68128311
7.1882	29.84311882
7.6708	32.15619405
8.1788	34.1000669
8.7376	36.16848995
8.1110582	35.47456738
8.0391	33.19707791
7.8697582	30.44807695
7.4422	27.3699076
6.985	25.19027901
6.6294	23.12630418
6.223	21.29808509
5.8928	19.45652134
5.4864	17.77064535
5.1816	16.16483735
4.7752	14.60795978
4.445	13.14449487
4.0894	11.74330506
3.7846	10.43107969
3.4544	9.00764877
3.175	7.860007594
2.8448	6.618953763
2.5654	5.498001916
2.286	4.501600274
1.9812	3.4162342
1.7272	2.25969658
1.4605	1.521291792
1.2065	0.858506772
0.9652	0.142343092
0.7493	-0.529338372
0.5207	-1.036435636
0.3302	-1.623600889
0.0677418	-2.31307524
-0.1566418	-3.082617579
-0.3556	-3.932227908
-0.6604	-4.724011355
-0.889	-5.613655678
-1.1176	-6.578919769
-1.3462	-7.468564092
-1.5748	-8.420483517
-1.8034	-9.403540494
-2.1082	-10.45776902
-2.3368	-11.45417066
-2.5908	-12.53508851
