"Arakawa et al. 1988, Spec. 20"	
3.9069	189.32
4.4186	200.23
4.7441	204.59
4.9767	205.69
4.9301	200.23
4.8372	192.04
4.6511	182.23
4.5115	170.22
4.2325	155.49
3.9534	142.4
3.5814	124.94
3.2558	107.48
2.8837	90.566
2.4186	70.927
2.093	55.105
1.7208	40.373
1.3489	25.097
0.97673	8.1838
0.51162	-6.5469
0.18604	-19.641
-0.18604	-33.281
-0.46511	-43.646
-1.0232	-63.289
-1.5349	-79.654
-2.093	-94.93
-2.4651	-111.3
-2.9301	-129.3
-3.5348	-152.22
-3.9069	-170.22
-4.279	-183.32
-4.6046	-192.04
-4.8837	-196.95
-5.1627	-198.59
-5.0232	-187.68
-4.7441	-171.86
-4.4651	-156.58
-4.0465	-140.21
-3.7208	-123.3
-3.3953	-110.21
-3.0697	-93.84
-2.6976	-78.564
-2.1861	-57.831
-1.7208	-43.101
-1.2558	-28.37
-0.88372	-12.003
-0.55814	1.6367
-0.18604	13.64
0.093022	26.733
0.51162	41.464
1.1628	62.195
1.8604	85.655
2.3721	105.84
2.9768	123.85
3.2093	133.67
3.5814	146.76
3.9069	160.95
4.279	175.68
4.6511	189.32
4.9301	198.59
5.2558	205.14
5.5348	207.32
5.8139	209.5
5.9069	211.14
5.9069	204.05
5.7208	191.5
5.4883	175.68
5.1627	160.4
4.8372	142.94
4.5115	129.3
4.1394	112.39
3.7208	93.293
3.2093	73.654
2.6046	54.557
2.1861	36.008
1.8139	21.823
1.4418	7.638
1.1628	0
0.74418	-13.64
0.32558	-27.279
0	-37.645
-0.51162	-49.104
-0.97673	-62.742
-1.5349	-79.654
-2.1861	-93.293
-2.6046	-106.94
-3.2093	-126.03
-3.7208	-145.12
-4.3255	-165.86
-4.6976	-180.59
-5.0232	-190.95
-5.4418	-200.23
-5.7673	-204.05
-6.0465	-205.69
-6	-196.41
-5.8139	-180.59
-5.4883	-164.77
-5.2093	-150.03
-4.9301	-134.76
-4.5115	-119.48
-4.1394	-103.66
-3.6744	-86.749
-3.2093	-69.29
-2.7442	-54.557
-2.3255	-40.919
-1.9069	-26.733
-1.3953	-10.911
-0.93022	1.0911
-0.55814	11.457
-0.18604	25.097
0.55814	46.373
1.2093	64.926
1.8604	82.381
2.279	94.93
2.9301	115.12
3.6744	134.21
4.0465	149.49
4.4651	165.86
5.1162	184.95
5.6744	200.23
6.0465	207.32
6.4186	209.5
6.8837	211.14
7.0232	212.23
6.9301	205.14
6.7906	191.5
6.6046	177.32
6.2325	160.4
5.8139	141.85
5.3953	123.3
4.9301	104.75
4.558	88.386
4.093	72.017
3.6279	56.742
3.1628	40.373
2.7442	25.642
2.2325	10.911
1.7675	-0.54557
1.0698	-19.095
0.51162	-35.463
0	-44.736
-0.55814	-54.557
-0.93022	-64.926
-1.5814	-79.654
-2.4186	-95.477
-2.8372	-106.39
-3.3953	-120.57
-3.9069	-136.94
-4.4186	-153.31
-5.0232	-167.49
-5.3487	-179.49
-5.8139	-192.04
-6.1394	-198.59
-6.5115	-201.86
-6.8372	-204.05
-7.0697	-204.59
-6.9301	-194.23
-6.6976	-180.59
-6.4186	-168.58
-6.093	-153.86
-5.9534	-142.94
-5.4418	-124.94
-5.0697	-109.11
-4.6511	-93.293
-4.1394	-76.928
-3.7675	-62.742
-3.3023	-47.467
-2.8837	-34.917
-2.3255	-19.641
-1.8604	-5.4557
-1.3023	6.5469
-0.74418	19.641
-0.093022	31.644
0.55814	45.83
1.0232	57.831
1.5349	71.47
2	82.928
2.5116	94.93
2.9768	105.84
3.6279	122.21
4.279	138.58
4.8372	153.31
5.3953	168.58
5.8604	181.13
6.279	193.14
6.8372	202.41
7.1162	206.78
7.5813	207.87
7.9534	210.05
7.9534	202.95
7.8604	194.23
7.5813	183.32
7.3952	170.22
7.1162	158.22
6.8837	145.67
6.558	133.12
6.093	116.75
5.7673	101.48
5.3487	85.655
4.8837	70.38
4.3255	54.015
3.9069	36.008
3.4418	22.369
2.9768	8.7292
2.5116	-1.6367
1.7208	-17.459
0.97673	-33.826
0.23255	-46.373
-0.37208	-55.647
-1.0698	-68.196
-1.5814	-79.107
-2.1396	-89.476
-2.8372	-100.93
-3.3023	-112.94
-4.0465	-129.3
-4.6976	-146.76
-5.2093	-157.67
-5.7208	-169.13
-6.3255	-184.95
-6.8372	-196.41
-7.3022	-199.69
-7.7673	-204.05
-8.1394	-205.14
-8.0929	-195.86
-7.8604	-181.13
-7.4883	-169.13
-7.2558	-156.58
-7.0232	-145.12
-6.6976	-133.12
-6.3255	-121.12
-6.0465	-109.66
-5.6744	-98.203
-5.3022	-82.928
-4.9301	-70.38
-4.5115	-57.284
-4	-44.192
-3.6744	-32.735
-3.3023	-22.369
-2.7907	-8.7292
-2.1396	3.8191
-1.5349	15.276
-0.88372	28.916
-0.18604	39.828
0.8372	56.742
1.5814	71.47
3.4418	111.3
4.279	126.57
4.9301	141.85
5.3953	153.86
6.1394	170.22
6.7441	182.77
7.2558	193.14
7.6744	201.32
8.1859	204.59
8.6045	207.32
9.0231	207.87
9.4418	210.6
9.5813	211.14
9.5348	204.59
9.3952	196.41
9.2092	185.5
8.9301	175.68
8.6976	163.67
8.4186	151.13
8.0929	135.85
7.7673	120.57
7.3952	105.84
6.9301	90.023
6.4186	75.838
6	60.558
5.5814	46.92
5.1627	32.189
4.6976	20.186
4.4186	10.911
3.9534	0.54557
3.2558	-11.457
2.2325	-26.188
1.2093	-42.555
0.23255	-55.647
-0.51162	-66.563
-1.1628	-74.743
-1.8604	-87.839
-2.4651	-98.751
-3.1628	-109.11
-3.9069	-120.57
-4.6511	-136.94
-5.3953	-148.4
-6.0465	-161.49
-6.6046	-171.86
-7.2093	-182.77
-7.7673	-193.14
-8.372	-199.14
-8.8836	-201.32
-9.5348	-204.05
-9.4418	-194.23
-9.2092	-182.77
-9.0231	-169.68
-8.6976	-153.31
-8.1859	-133.67
-7.8139	-117.3
-7.3487	-101.48
-6.7906	-85.112
-6.2325	-66.016
-5.7208	-52.378
-5.2093	-38.191
-4.7441	-26.733
-4.279	-14.731
-3.6744	-2.7279
-2.9301	9.275
-2	23.46
-1.1163	35.463
-0.093022	49.647
0.8372	62.742
1.7675	75.838
2.5116	87.839
3.5814	106.94
4.6976	125.48
5.7673	144.58
6.8837	164.77
7.6744	179.49
8.4186	190.95
9.1162	199.69
9.8604	204.59
10.418	206.23
10.698	206.78
11.023	207.87
10.93	204.05
10.837	196.95
10.698	188.23
10.418	174.04
10.046	158.77
9.7208	142.94
9.3487	127.66
8.8836	110.21
8.4186	94.93
8.0465	81.291
7.6744	66.016
7.2093	51.831
6.6046	36.008
6.0465	22.369
5.5814	11.457
5.1162	2.1823
4.558	-6.0015
3.7208	-17.459
2.8372	-28.916
2.0465	-39.282
1.2558	-49.104
0.4186	-58.921
-0.37208	-70.38
-1.3023	-81.291
-1.8139	-87.839
-2.6976	-100.93
-3.6279	-112.39
-4.3721	-121.12
-5.0697	-132.03
-5.8604	-145.12
-6.7441	-158.22
-7.6279	-172.95
-8.4651	-183.86
-9.2092	-193.68
-9.9069	-197.5
-10.698	-200.77
-11.163	-202.41
-11.023	-190.41
-10.791	-174.04
-10.372	-156.03
-9.9534	-141.85
-9.5348	-125.48
-8.9766	-107.48
-8.4651	-92.203
-8.0929	-76.928
-7.6279	-63.289
-7.1627	-49.647
-6.5115	-35.463
-5.8604	-21.823
-5.3022	-9.275
-4.7441	-1.0911
-4	9.275
-2.8837	24.551
-1.8604	36.554
-0.88372	49.647
0	61.105
0.88372	72.017
2.093	86.749
3.4418	104.2
4.558	119.48
5.7208	134.21
6.9301	149.49
7.8139	163.67
8.6045	174.04
9.4418	185.5
10.093	194.23
10.651	200.77
11.209	204.05
11.907	206.78
12.186	206.78
12.512	208.96
12.512	204.05
12.512	196.95
12.279	185.5
12	171.31
11.581	156.03
11.256	140.76
10.93	128.76
10.698	116.75
10.325	103.11
9.9069	89.476
9.5348	76.928
8.9766	62.742
8.558	49.647
8.1859	37.645
7.6744	24.551
7.1627	13.64
6.7441	5.4557
6.093	-3.8191
5.1627	-14.185
4.186	-25.097
3.4418	-32.735
2.6976	-40.919
1.8604	-50.194
1.0232	-61.105
0.046511	-71.47
-0.88372	-81.291
-1.7208	-90.566
-2.6511	-102.02
-3.4883	-111.3
-4.3721	-120.57
-5.3487	-133.12
-6.4186	-145.12
-7.4883	-160.4
-8.6045	-172.4
-9.4883	-182.77
-10.279	-189.86
-11.023	-195.32
-11.767	-199.69
-12.325	-201.86
-12.604	-202.41
-12.465	-193.68
-12.325	-180.59
-12.046	-166.95
-11.628	-148.94
-11.209	-132.57
-10.604	-113.48
-10.186	-97.661
-9.6744	-84.018
-9.1627	-69.29
-8.6976	-55.647
-8.1394	-43.101
-7.6279	-30.553
-6.9301	-17.459
-6.186	-3.8191
-5.3487	4.3646
-4.279	16.913
-3.0697	27.825
-1.9069	38.736
-0.79069	50.194
0.23255	63.289
1.2558	74.743
2.1396	86.749
3.4418	101.48
5.1162	118.39
6.186	130.94
7.3487	145.67
8.6976	161.49
9.5813	172.4
10.558	184.41
11.535	193.14
12.093	198.05
12.698	201.86
13.302	204.59
13.767	206.78
14.046	206.78
14	202.41
13.861	193.14
13.628	179.49
13.349	166.95
13.023	155.49
12.79	143.49
12.372	129.85
12.093	117.85
11.674	105.3
11.163	87.839
10.698	73.107
10.372	62.195
9.9534	51.284
9.5348	39.282
9.0231	28.37
8.5115	17.459
7.9534	6.5469
7.5813	0.54557
6.9301	-4.3646
6	-14.185
5.0232	-23.46
4.093	-32.735
2.9301	-43.646
1.9069	-53.468
0.93022	-63.832
0.046511	-74.201
-0.97673	-82.381
-2	-93.293
-2.8837	-102.02
-3.8139	-111.3
-5.0697	-123.85
-6.0465	-133.67
-7.3487	-146.76
-8.1859	-156.03
-9.1627	-166.4
-10.372	-177.32
-11.256	-187.14
-12.279	-194.23
-12.977	-198.05
-13.581	-199.69
-14.093	-201.86
-13.953	-188.23
-13.674	-174.59
-13.349	-160.95
-13.117	-147.85
-12.744	-134.21
-12.325	-118.94
-11.767	-103.66
-11.209	-87.839
-10.698	-74.201
-10.186	-59.468
-9.6744	-47.467
-9.1627	-36.008
-8.558	-24.006
-7.8604	-13.094
-7.2093	-3.8191
-6.7441	1.6367
-6	7.0927
-5.1162	14.731
-4.1394	24.551
-2.9768	34.372
-1.8139	45.283
-0.60465	57.831
0.51162	68.196
1.5349	79.107
2.7442	92.203
4.093	105.84
5.3487	117.85
6.6511	130.94
7.8139	142.94
8.7441	153.31
9.9534	165.86
11.023	176.22
11.86	184.95
12.558	190.95
13.349	196.41
14.186	200.77
14.651	202.41
15.21	204.59
15.488	206.23
15.349	200.77
15.302	193.14
15.163	182.77
14.977	173.49
14.79	166.4
14.465	152.76
14.046	139.12
13.767	127.12
13.349	114.57
12.977	100.93
12.465	86.202
12	70.927
11.674	60.558
11.116	46.373
10.512	32.735
9.9069	21.278
9.2092	8.7292
8.7906	1.6367
8.2325	-3.8191
7.3952	-12.003
6.2325	-20.732
4.9767	-30.553
3.7208	-39.282
2.6046	-49.104
1.3953	-61.105
0.37208	-72.017
-0.74418	-80.201
-2	-92.203
-3.0232	-102.02
-4.279	-112.94
-5.4883	-123.85
-6.6976	-135.85
-7.6744	-142.94
-9.1162	-156.03
-10.186	-165.86
-11.442	-175.13
-12.512	-184.95
-13.489	-192.59
-14.326	-196.41
-14.883	-199.14
-15.302	-199.69
-15.767	-201.86
-15.627	-195.32
-15.349	-182.77
-15.07	-166.95
-14.743	-154.4
-14.418	-141.31
-13.953	-126.03
-13.442	-109.66
-12.884	-92.75
-12.372	-78.017
-11.767	-63.289
-11.256	-51.831
-10.698	-38.736
-10.232	-28.916
-9.6277	-20.186
-9.0697	-12.003
-8.6045	-4.9104
-8.1394	1.0911
