SPECIMEN A2	
DISP(mm)	SHEAR(kN)
3.565049842	19.10935097
4.856997982	23.59020101
6.125625138	28.21178
7.398918298	32.96013623
8.681540473	37.71102824
9.968822582	42.65131407
11.22812375	47.73083806
12.49675243	52.72944366
13.78403758	57.16730146
15.02934523	60.86132561
16.33528689	63.87976879
17.58059453	66.10724944
18.47609614	64.62059671
18.39214414	63.73944239
18.39214414	63.57202826
18.39214414	63.42506927
18.39214414	63.44650757
18.39680712	63.27996857
18.40147163	63.2180038
18.39214414	63.19497463
18.39214414	63.17419175
18.39680712	63.09128001
18.39680712	63.04955048
18.39680712	62.98670606
18.39214414	63.02739668
18.39680712	62.86102155
18.38747963	62.85877927
18.39680712	62.8399109
18.38281513	62.77362534
18.39214414	62.77603184
18.40147163	62.73670418
18.39680712	62.71504544
18.40147163	62.67353613
18.39214414	62.67145784
18.39214414	62.62989213
18.40613614	62.84280922
18.42479264	62.80572869
18.41079912	62.57153237
18.40147163	62.63180664
18.41546363	62.61430518
18.40613614	62.59094824
18.30352613	61.60172087
17.06754598	53.95174743
15.7522768	47.30709832
14.49297716	41.74483029
13.19170001	36.63324598
11.94639084	31.9338591
10.65910568	27.18167224
9.395141535	22.79173162
8.117185366	18.37746966
6.848558236	14.11207476
5.575265075	10.0548471
4.28331691	5.951070242
3.033344759	2.004756759
1.741396619	-2.413258535
0.496087451	-6.379423428
-0.800523697	-10.27504523
-2.064487845	-13.88997961
-3.351773002	-17.6365339
-4.62040318	-21.52502129
-5.907688337	-25.73236744
-7.171652484	-30.2060277
-8.454271636	-34.6217824
-9.718235783	-39.2419566
-10.96820793	-43.85906274
-12.2788141	-48.76344415
-13.52878323	-53.54810059
-14.81140843	-58.02637306
-16.08469554	-61.68552831
-17.37198372	-64.48929428
-18.62661886	-66.53100123
-19.85327002	-66.97247164
-19.83461199	-66.02467725
-19.825286	-65.66563901
-19.82994901	-65.4784895
-19.83928105	-65.2927254
-19.82062302	-65.12051099
-19.83461199	-65.03997941
-19.82994901	-64.95498552
-19.825286	-64.86981495
-19.82994901	-64.76593084
-19.84394403	-64.70704964
-19.83461199	-64.64197909
-19.83461199	-64.57931567
-19.82994901	-64.49432168
-19.83461199	-64.45327772
-19.84394403	-64.41396393
-19.83928105	-64.39128416
-19.825286	-64.28347082
-19.825286	-64.32536422
-19.82994901	-64.20105917
-19.83461199	-64.26492547
-19.83928105	-64.18251973
-19.84394403	-64.14165235
-18.74322391	-55.58320004
-17.46993074	-49.01200622
-16.20130057	-43.11282552
-14.9373334	-38.11543829
-13.63139324	-33.2542404
-12.38608712	-28.63860832
-11.08480996	-24.07182008
-9.830174802	-19.80992316
-8.542889645	-15.53979967
-7.278925498	-11.42231835
-6.005632337	-7.532902794
-4.727676168	-3.600322271
-3.445054019	0.291538747
-2.176426864	4.054110189
-0.92179173	7.645547709
0.384151454	11.27117518
1.624794591	14.67048118
2.930734753	18.2542038
4.180706904	21.8444703
5.481984058	25.49008531
6.745948205	29.20967139
8.033233387	33.12365576
9.292534526	37.11432648
10.57981666	41.15410812
11.83911783	45.20708836
13.08442547	49.23632473
14.38570265	53.30062459
15.64033931	57.2480146
16.93695195	61.20620347
18.1869241	64.75417064
18.39680712	62.25289419
18.38747963	62.08323813
18.38747963	61.99928743
18.39214414	61.91653559
18.37815062	61.85008625
18.39214414	61.77023202
18.38281513	61.78893621
18.39214414	61.68611745
18.39214414	61.62376463
18.38747963	61.580668
18.38747963	61.58083182
18.38747963	61.5387746
18.39214414	61.49791625
18.39214414	61.43491224
18.38281513	61.47456323
18.38747963	61.43403674
18.38747963	61.39230712
18.39214414	61.41445709
18.40147163	61.3748058
18.39214414	61.30939155
18.38747963	61.30851601
18.38747963	61.28724167
18.39214414	61.26749811
18.38747963	61.22456534
18.39214414	61.26782584
18.39214414	61.24655141
18.39680712	61.18523755
18.38747963	61.16139334
18.39680712	61.22713522
18.37815062	61.1380404
18.38747963	61.14077423
18.38747963	61.09855319
18.38281513	61.1182968
18.38747963	61.11933607
18.39214414	61.07897345
18.38747963	61.14077423
17.61324303	55.66281123
16.33528689	49.07017405
15.06199373	43.08522134
13.80269409	38.19398192
12.51074442	33.35713394
11.25144476	28.8217437
9.964159599	24.42578234
8.700195452	20.16138563
7.4175763	16.01818942
6.172267158	12.07306268
4.870989979	8.113626317
3.602362849	4.392899008
2.319740674	0.480031754
1.065105541	-3.48853042
-0.198858632	-7.145275411
-1.495472803	-10.7894999
-2.754770919	-14.21472466
-4.042056076	-17.75167308
-5.306020249	-21.36675076
-6.593305406	-25.15530123
-7.861935584	-29.06446217
-9.149217693	-32.97869062
-10.41784787	-37.03438776
-11.69114103	-41.00794531
-12.95977121	-45.0220033
-14.21906935	-49.03402858
-15.51101447	-53.17953451
-16.77031866	-57.0861489
-18.05760079	-61.08403835
-19.42884097	-65.50625031
-19.82994901	-64.64042296
-19.83461199	-64.30682314
-19.82062302	-64.11450918
-19.83461199	-63.97113711
-19.82994901	-63.88667328
-19.82994901	-63.73986535
-19.82062302	-63.61195186
-19.82994901	-63.65589761
-19.83928105	-63.51185011
-19.50346699	-60.28226895
-18.24883185	-52.29166358
-16.96620666	-45.99120933
-15.70224553	-40.51204878
-14.41029434	-35.69625064
-13.14167024	-30.99094637
-11.86371105	-26.59756494
-10.58108887	-22.24506249
-9.340445734	-18.11264403
-8.048497594	-14.02968623
-6.789196429	-10.185672
-5.48791925	-6.310002665
-4.228621134	-2.549759742
-2.936669946	1.260572585
-1.668042816	4.939423696
-0.394749655	8.451844791
0.878543506	11.98525182
2.170491671	15.46060041
3.420463822	18.90418904
4.689090952	22.37366169
5.985705123	26.10173492
7.226348285	29.73162053
8.532288422	33.5663911
9.786926603	37.55591327
11.07887474	41.4711896
12.33817289	45.52478009
13.63012255	49.54467352
14.8940867	53.55705428
16.18137185	57.53377134
17.43600851	61.52329627
18.69530818	65.1581037
18.37815062	61.3265651
18.38747963	61.22440152
18.39680712	61.12141404
18.39680712	61.12190573
18.2149081	59.54664737
16.95094395	52.28701613
15.67765231	46.02988558
14.40902366	40.54986448
13.1217385	35.69293032
11.85777585	31.13563013
10.60313767	26.74809965
9.297197535	22.45217237
8.047225384	18.31716727
6.745948205	14.19003726
5.491313071	10.41014259
4.208690897	6.581071066
2.94472675	2.9035735
1.666770606	-1.091962231
0.379485449	-4.922264322
-0.889141707	-8.496405149
-2.16709785	-11.94735535
-3.440391011	-15.35519699
-4.713684172	-18.86767184
-5.972985336	-22.4813848
-7.264933502	-26.29200436
-8.514905652	-30.07076526
-9.811516801	-34.05023574
-11.07548095	-37.91636623
-12.35810312	-41.93380954
-13.61740429	-45.94542434
-14.9093494	-49.96572107
-16.16865359	-53.95611376
-17.42795173	-57.88407931
-18.72922889	-61.96968443
-19.83928105	-64.26595309
-19.83928105	-63.63753467
-19.84394403	-63.42891243
-19.83461199	-63.27969756
-19.84394403	-63.21926423
-19.83928105	-63.07143032
-19.83928105	-63.0510096
-19.23294693	-57.28005301
-17.95499076	-50.31047977
-16.68636665	-44.28485266
-15.39907847	-38.94646424
-14.1537693	-34.35179818
-12.86182419	-29.76655469
-11.58853103	-25.33228709
-10.31057486	-21.10669893
-9.051273719	-17.05328967
-7.759325553	-13.05436718
-6.495361406	-9.229984267
-5.208076249	-5.483813273
-3.934783088	-1.761732081
-2.675481924	1.956510264
-1.39752578	5.616697802
-0.646611686	5.119086649
-0.725900707	4.721594131
-0.735226673	4.635392759
-0.725900707	4.67969954
-0.222179642	8.642996506
1.065105541	12.32662356
2.319740674	15.75042719
3.607025831	19.18276657
4.889644983	22.67672577
5.86443709	23.87071982
5.640562074	22.1371358
5.640562074	22.05334681
5.635899091	22.0311973
5.635899091	21.98930174
5.645228105	21.92876633
5.635899091	21.94740725
5.645228105	22.0127062
5.635899091	21.94745746
5.640562074	21.96960808
5.640562074	22.03245035
5.645228105	21.94986393
5.640562074	21.92766333
5.640562074	21.88586935
5.645228105	21.90791914
