"Wong et al. 1990, Spec. 1"	
-6.8908	-214.2
-5.7983	-158.51
-4.874	-128.52
-4.1176	-87.11
-2.9411	-38.556
-1.6807	9.996
-0.92438	39.984
0	71.398
1.0084	111.38
1.8487	147.08
2.8572	187.07
4.0335	225.62
5.0419	259.9
5.6302	285.6
6.5547	317.02
8.1514	364.14
9.0757	388.41
9.5799	399.84
9.6639	388.41
9.2438	367
8.9075	337.01
8.1514	292.74
7.3109	248.47
6.3025	192.78
5.4623	154.22
4.5377	115.67
3.3614	69.971
2.2689	34.272
1.2605	-4.284
0.33614	-37.128
-0.50419	-71.398
-1.6807	-115.67
-2.521	-158.51
-3.3614	-194.21
-4.2857	-232.76
-5.126	-275.6
-6.5547	-317.02
-7.8151	-358.43
-8.7394	-382.7
-9.3276	-408.41
-9.4117	-389.84
-9.3276	-358.43
-8.9075	-322.73
-8.3193	-287.03
-7.5631	-249.9
-6.7226	-215.63
-5.5463	-168.5
-4.874	-124.23
-3.9497	-85.682
-3.0251	-42.84
-2.1008	0
-1.1765	25.704
-0.084033	59.975
1.1765	108.53
2.3529	145.66
3.4453	187.07
4.6218	231.33
5.7983	272.75
6.6385	315.59
7.8991	354.15
8.9075	378.42
9.5799	396.99
9.2438	375.56
8.7394	335.58
8.0673	289.89
7.1427	249.9
6.5547	215.63
5.5463	167.08
4.5377	122.81
3.6134	85.682
2.437	42.84
1.2605	-1.428
-0.16807	-52.836
-1.3445	-101.39
-2.1849	-145.66
-2.9411	-181.35
-3.7816	-214.2
-5.0419	-254.18
-6.3025	-299.88
-7.479	-339.87
-8.6556	-381.27
-9.4117	-406.98
-9.8318	-409.84
-9.6639	-381.27
-9.1597	-344.15
-8.5715	-304.16
-7.8991	-268.46
-7.2268	-237.05
-6.3866	-197.07
-5.6302	-164.22
-4.6218	-124.23
-3.8656	-85.682
-2.9411	-37.128
-2.0168	0
-0.67226	42.84
0.67226	88.537
1.9328	129.95
2.6891	161.36
4.3698	214.2
5.3782	249.9
6.3866	289.89
7.395	331.29
8.1514	358.43
9.0757	382.7
9.6639	401.27
9.4117	378.42
8.9916	351.29
8.4033	311.3
7.731	272.75
6.8908	229.91
6.3025	192.78
5.2941	142.8
4.0335	99.96
3.3614	68.543
2.2689	34.272
1.1765	-7.1398
-0.084033	-47.124
-1.0084	-79.97
-1.9328	-125.66
-3.1092	-168.5
-3.8656	-208.49
-4.7899	-247.05
-6.1344	-292.74
-7.1427	-331.29
-8.0673	-365.57
-9.0757	-394.13
-9.4958	-408.41
-9.4958	-378.42
-8.9916	-328.44
-8.4033	-301.31
-7.479	-264.18
-6.5547	-217.06
-5.7142	-178.5
-4.874	-129.95
-3.9497	-95.677
-3.2774	-58.548
-2.521	-18.564
-1.6807	15.708
-0.2521	54.264
0.50419	81.398
1.6807	118.52
2.7732	152.8
4.0335	197.07
5.4623	249.9
6.4707	292.74
7.479	339.87
8.7394	379.85
9.8318	411.26
11.681	436.97
13.866	446.96
15.882	449.8
17.395	454.12
18.571	458.39
19.496	454.12
19.832	439.82
19.496	418.4
19.328	399.84
18.319	361.28
17.899	331.29
17.563	299.88
17.143	278.46
16.471	251.33
15.882	218.48
15.126	187.07
14.37	155.65
13.277	115.67
12.353	81.398
11.092	44.268
9.748	14.28
8.5715	-15.708
6.7226	-51.408
5.126	-79.97
3.6975	-104.24
1.9328	-129.95
0.84033	-148.51
-0.084033	-165.65
-1.5126	-182.78
-2.7732	-204.2
-4.2857	-229.91
-5.0419	-249.9
-5.7983	-274.18
-6.7226	-302.74
-7.5631	-335.58
-8.5715	-365.57
-9.4958	-388.41
-10.756	-406.98
-11.933	-422.69
-13.529	-429.83
-14.958	-429.83
-16.555	-432.68
-17.983	-439.82
-19.16	-435.54
-19.16	-415.55
-18.992	-396.99
-18.656	-372.71
-18.235	-339.87
-17.563	-309.88
-17.059	-281.31
-16.387	-244.19
-15.798	-217.06
-15.294	-187.07
-13.866	-145.66
-13.109	-121.38
-12.437	-97.105
-11.849	-71.398
-10.42	-35.7
-9.3276	-11.424
-7.8991	24.276
-5.9665	57.12
-4.6218	78.542
-2.8572	105.67
-0.58824	137.09
1.1765	165.65
3.2774	201.35
5.7983	231.33
7.9832	271.32
9.6639	304.16
11.765	342.72
14.37	374.14
16.471	402.7
17.983	422.69
18.908	426.97
19.496	421.26
19.328	395.56
18.656	357
17.815	328.44
17.227	288.46
16.387	259.9
15.966	225.62
15.042	194.21
13.95	155.65
13.193	121.38
12.353	92.821
11.681	71.398
9.9159	38.556
8.4874	5.712
6.8067	-31.416
5.4623	-54.264
3.9497	-74.254
2.2689	-104.24
0.67226	-124.23
-0.92438	-147.08
-2.521	-174.21
-3.8656	-194.21
-4.874	-221.34
-6.3866	-254.18
-7.8151	-279.89
-9.3276	-302.74
-10.504	-322.73
-12.269	-351.29
-13.529	-369.85
-14.706	-386.99
-16.134	-404.13
-16.891	-415.55
-17.815	-424.12
-18.74	-425.54
-19.244	-418.4
-18.908	-389.84
-18.151	-352.72
-17.815	-314.16
-16.891	-275.6
-15.714	-229.91
-15.042	-197.07
-13.697	-151.37
-12.521	-115.67
-11.345	-81.398
-10.252	-48.552
-8.9916	-17.136
-7.395	12.852
-5.7142	39.984
-4.1176	65.687
-2.2689	101.39
0.50419	137.09
3.1092	181.35
4.7899	214.2
6.1344	238.48
8.1514	269.89
9.9159	301.31
11.765	329.87
13.613	359.86
15.63	388.41
16.975	406.98
18.235	422.69
19.244	424.12
19.244	408.41
18.823	375.56
18.319	341.29
17.647	308.45
16.555	272.75
15.966	242.76
15.378	205.63
14.202	171.36
13.193	125.66
12.101	79.97
10.504	42.84
8.9916	15.708
7.2268	-21.42
5.0419	-55.692
3.6134	-79.97
1.5966	-114.24
-0.084033	-135.66
-1.9328	-161.36
-2.521	-174.21
-4.2857	-208.49
-5.7983	-237.05
-7.1427	-264.18
-9.1597	-294.17
-10.756	-318.44
-12.941	-349.86
-14.622	-374.14
-16.555	-399.84
-17.983	-412.69
-18.823	-416.98
-19.328	-411.26
-19.076	-378.42
-18.403	-338.43
-17.563	-299.88
-16.723	-264.18
-15.462	-214.2
-13.866	-157.08
-12.689	-115.67
-11.177	-78.542
-9.1597	-31.416
-7.9832	2.856
-6.4707	31.416
-4.7059	62.831
-3.1092	88.537
-1.1765	117.1
0.50419	139.95
2.2689	165.65
4.7899	202.78
6.3866	235.62
8.1514	269.89
9.8318	295.6
11.681	332.72
13.529	359.86
15.966	388.41
17.479	408.41
18.74	416.98
19.58	411.26
19.244	385.56
18.487	361.28
17.563	317.02
16.975	282.74
15.882	238.48
15.042	208.49
14.37	178.5
13.361	139.95
12.269	105.67
11.261	68.543
10	38.556
8.1514	0
6.1344	-37.128
4.7899	-65.687
2.521	-101.39
0.16807	-129.95
-1.5966	-157.08
-3.1092	-182.78
-5.3782	-224.19
-6.8908	-258.47
-8.9075	-289.89
-11.765	-331.29
-13.277	-352.72
-15.21	-381.27
-16.555	-396.99
-18.235	-416.98
-18.74	-415.55
-19.16	-404.13
-18.992	-368.42
-18.151	-328.44
-16.975	-275.6
-15.882	-224.19
-14.538	-172.79
-13.109	-129.95
-12.017	-94.249
-10.084	-44.268
-8.4033	-7.1398
-7.0589	22.848
-5.0419	55.692
-3.4453	81.398
-1.0084	115.67
0.75631	139.95
1.5966	152.8
3.1933	187.07
5.126	221.34
6.8067	251.33
8.4874	278.46
10.588	308.45
12.773	344.15
14.874	375.56
16.723	399.84
18.235	414.12
19.244	411.26
18.992	379.85
18.235	344.15
17.647	308.45
16.807	268.46
15.714	235.62
14.874	199.92
13.529	142.8
12.605	108.53
12.017	84.254
10.672	52.836
8.8235	12.852
6.9748	-19.992
4.7899	-59.975
3.0251	-88.537
0.92438	-118.52
-0.67226	-145.66
-2.2689	-175.64
-4.1176	-204.2
-6.6385	-242.76
-8.8235	-277.03
-11.092	-315.59
-12.605	-337.01
-14.37	-359.86
-16.302	-386.99
-17.815	-401.27
-18.571	-408.41
-19.076	-399.84
-18.908	-374.14
-18.319	-331.29
-17.731	-294.17
-16.723	-255.61
-15.63	-208.49
-14.454	-165.65
-12.857	-117.1
-11.849	-87.11
-10.588	-57.12
-9.2438	-22.848
-7.6472	9.996
-6.6385	31.416
-4.874	58.548
-3.0251	89.965
-1.0924	118.52
-0.16807	129.95
1.9328	171.36
4.0335	199.92
6.5547	237.05
8.3193	261.32
10.084	292.74
11.513	315.59
13.445	347.01
14.79	369.85
16.387	392.7
18.403	414.12
20.504	431.26
22.941	446.96
24.79	456.97
26.386	459.81
28.067	461.24
29.832	451.23
29.916	435.54
29.581	404.13
28.992	378.42
28.824	347.01
27.899	314.16
27.059	285.6
26.386	244.19
25.461	215.63
24.538	187.07
23.445	152.8
22.437	121.38
21.345	87.11
20.168	54.264
19.16	25.704
17.647	0
16.723	-15.708
15.462	-34.272
13.866	-55.692
11.765	-81.398
9.1597	-107.1
6.3025	-129.95
4.2017	-151.37
2.2689	-167.08
0.16807	-188.5
-1.6807	-207.06
-2.8572	-221.34
-4.4539	-229.91
-5.4623	-238.48
-6.4707	-257.04
-8.3193	-279.89
-10.084	-307.02
-12.941	-345.58
-14.454	-368.42
-16.218	-385.56
-17.899	-399.84
-19.496	-409.84
-21.008	-425.54
-22.857	-438.39
-24.706	-446.96
-26.134	-446.96
-27.732	-446.96
-29.075	-438.39
-30	-422.69
-30.251	-402.7
-29.916	-372.71
-28.992	-329.87
-28.402	-301.31
-27.394	-271.32
-26.723	-235.62
-25.966	-202.78
-24.958	-174.21
-24.034	-144.23
-23.193	-117.1
-21.849	-87.11
-20.42	-51.408
-19.076	-15.708
-17.647	11.424
-14.958	45.697
-12.689	68.543
-10.084	91.393
-7.0589	117.1
-4.2017	144.23
-1.4286	167.08
-0.33614	178.5
1.8487	199.92
4.4539	225.62
6.8908	247.05
9.6639	272.75
11.681	292.74
14.033	318.44
16.134	337.01
18.487	361.28
20.924	382.7
22.773	401.27
24.958	416.98
26.723	432.68
27.983	436.97
28.824	425.54
29.159	401.27
29.075	381.27
28.489	351.29
27.48	325.58
26.807	301.31
25.966	257.04
24.958	219.91
23.782	181.35
22.857	144.23
21.681	115.67
20.672	87.11
19.496	58.548
18.067	27.132
16.387	-1.428
13.277	-42.84
11.513	-65.687
9.0757	-81.398
6.3866	-107.1
3.6134	-131.38
1.6807	-151.37
0	-168.5
-2.605	-194.21
-5.4623	-221.34
-8.9075	-258.47
-10.672	-275.6
-13.193	-297.03
-15.462	-319.87
-18.067	-344.15
-20.252	-365.57
-22.269	-375.56
-24.874	-394.13
-26.469	-408.41
-27.732	-411.26
-28.572	-409.84
-28.74	-399.84
-28.402	-371.28
-27.732	-321.3
-26.723	-281.31
-25.21	-237.05
-24.37	-199.92
-22.941	-152.8
-21.176	-104.24
-19.328	-64.259
-18.151	-35.7
-16.555	-2.856
-14.538	24.276
-12.101	48.552
-8.8235	71.398
-6.7226	87.11
-4.3698	114.24
-1.7647	139.95
0.084033	162.79
0.2521	165.65
1.9328	185.64
4.9581	211.34
7.3109	235.62
9.4958	258.47
11.933	287.03
14.454	309.88
16.639	335.58
19.832	365.57
22.437	389.84
25.042	409.84
27.226	424.12
28.572	424.12
29.243	409.84
29.243	382.7
28.235	342.72
27.226	307.02
26.218	268.46
24.958	224.19
24.118	182.78
22.857	142.8
21.933	109.96
20.168	71.398
18.151	34.272
16.639	7.1398
15.378	-14.28
13.361	-38.556
11.345	-62.831
9.5799	-75.682
6.7226	-97.105
4.2017	-124.23
2.0168	-151.37
-0.58824	-172.79
-2.3529	-192.78
-4.9581	-215.63
-7.731	-245.62
-10.252	-268.46
-13.109	-292.74
-16.051	-317.02
-17.899	-338.43
-20.588	-364.14
-23.109	-379.85
-25.883	-396.99
-27.816	-405.55
-28.235	-401.27
-28.151	-371.28
-27.816	-334.15
-26.891	-294.17
-25.547	-259.9
-24.454	-221.34
-23.025	-177.07
-21.681	-135.66
-20.504	-102.82
-18.908	-64.259
-17.647	-34.272
-16.134	-2.856
-13.866	27.132
-11.849	45.697
-9.4958	65.687
-6.9748	82.826
-4.7899	107.1
-3.3614	121.38
-1.1765	147.08
0.42017	167.08
2.1849	182.78
4.3698	201.35
6.0505	211.34
8.2352	231.33
10.504	254.18
12.689	279.89
14.454	299.88
16.975	325.58
19.748	348.43
22.521	374.14
25.547	396.99
27.732	415.55
28.908	416.98
29.075	401.27
28.402	364.14
27.226	319.87
26.05	288.46
25.21	247.05
24.034	205.63
22.773	164.22
21.597	118.52
20.504	88.537
19.496	59.975
17.899	27.132
15.714	-7.1398
14.202	-24.276
12.605	-44.268
8.7394	-74.254
5.7983	-109.96
3.6134	-131.38
1.2605	-157.08
-1.6807	-182.78
-4.9581	-215.63
-7.8151	-239.91
-11.008	-271.32
-13.445	-294.17
-15.714	-315.59
-18.235	-339.87
-20.336	-358.43
-22.017	-369.85
-24.454	-385.56
-26.134	-394.13
-27.394	-399.84
-28.067	-392.7
-28.318	-368.42
-27.732	-329.87
-26.556	-292.74
-25.631	-252.76
-24.37	-205.63
-22.857	-161.36
-21.849	-124.23
-20.42	-85.682
-18.992	-54.264
-17.059	-14.28
-14.874	19.992
-12.017	45.697
-8.9916	71.398
-6.0505	95.677
-3.9497	117.1
-2.2689	137.09
0.16807	159.94
3.2774	195.64
4.874	214.2
7.3109	235.62
10.336	258.47
12.521	282.74
14.706	302.74
18.403	331.29
20.336	351.29
22.605	371.28
24.958	389.84
26.807	401.27
28.235	408.41
29.159	402.7
29.243	394.13
28.318	371.28
27.648	335.58
26.807	301.31
25.547	265.61
24.286	224.19
23.109	185.64
22.185	135.66
20.168	79.97
18.067	29.988
16.134	-1.428
13.866	-31.416
11.513	-52.836
8.4874	-75.682
5.7983	-104.24
3.1092	-137.09
0.42017	-164.22
-1.4286	-179.93
-4.874	-214.2
-8.1514	-242.76
-12.689	-282.74
-14.958	-305.59
-17.731	-331.29
-20	-349.86
-22.773	-374.14
-25.547	-392.7
-27.394	-392.7
-28.402	-388.41
-28.402	-364.14
-27.648	-322.73
-26.723	-281.31
-25.126	-229.91
-23.193	-175.64
-21.681	-129.95
-19.58	-68.543
-16.975	-12.852
-14.118	28.56
-12.017	48.552
-9.2438	71.398
-5.9665	94.249
-3.4453	124.23
-0.92438	151.37
