"henry et al. 1998,No.415s"	
-6.7056	-67.20818015
-5.6388	-56.92389182
-4.2418	-42.67623803
-3.1242	-30.89289901
-1.7018	-15.2396072
-0.6096	-3.216064217
-0.2794	-0.885196098
0.0762	-0.120101983
0.9652	8.967614746
2.0066	20.5730249
3.4798	35.62135857
4.5466	46.95097899
5.9944	60.72712128
7.0612	71.43399067
8.5344	83.64880719
9.6012	94.21333349
11.049	108.3364371
12.1666	119.5459555
13.6144	134.4386014
14.7066	145.4523981
16.1544	159.9802898
17.2212	170.9762936
18.669	185.295119
19.0246	188.2131523
19.1516	188.5645618
18.669	181.0737567
17.2466	164.5841992
15.7988	148.8063572
14.6812	136.938502
13.2588	122.0636489
12.1158	109.920004
10.668	94.68039676
9.6012	84.13366334
8.1534	70.21517796
7.0358	58.80104133
5.6388	44.63790376
4.5212	32.9079434
3.0734	16.97441363
2.0066	4.986456414
0.5334	-5.631448546
0.2032	-9.141095388
0.0762	-10.12860058
-0.7874	-20.39954426
-1.8288	-31.88485243
-3.2766	-46.30598686
-4.3688	-56.78599695
-5.7658	-69.69473603
-6.8834	-79.98347259
-8.3312	-93.46603226
-9.4234	-103.4745309
-10.8712	-116.9926763
-11.938	-127.4193077
-13.4366	-141.5424113
-14.5034	-151.7777692
-15.9512	-165.6428759
-17.399	-179.8060135
-18.4912	-190.1792663
-18.8468	-193.1506783
-18.9738	-193.7600847
-18.2118	-183.5958983
-17.0942	-170.682711
-15.6464	-154.6290793
-14.5288	-143.3839751
-13.1064	-129.3098019
-11.9888	-118.3137981
-10.541	-104.2218321
-9.4488	-94.07543862
-8.0264	-80.64180939
-6.9342	-69.98831865
-5.5118	-56.22996925
-4.445	-45.4919623
-2.921	-30.28794087
-1.8542	-18.82042559
-0.4318	-3.060376461
-0.0508	-0.885196098
0.0762	-0.956367644
1.4224	12.31712561
2.9464	29.2426088
4.5466	45.34961921
6.4516	63.50725978
8.0772	78.99151917
9.6266	93.89750975
11.5316	112.5266618
13.1572	128.6870509
14.7574	144.2558265
16.6878	163.7479335
18.2372	179.5969471
19.8374	195.4415124
21.7678	212.5582692
23.3426	222.2020136
24.892	230.2977769
25.4508	231.2897303
25.6286	221.4191266
24.4602	206.6866166
22.9108	190.5618133
21.0058	170.4202659
19.4056	153.6015401
17.8308	137.7747676
15.8496	118.7452756
14.3002	104.3775198
12.6746	90.00531585
10.7442	72.00336304
9.1948	57.84467369
7.6454	43.19667996
5.6896	25.00345361
4.0894	9.523642446
2.5146	-1.147641173
0.5842	-18.43787853
0.3556	-20.43513003
0.0762	-22.1387989
-0.9652	-32.97911494
-2.8702	-49.67773883
-4.4958	-63.30264159
-6.0198	-76.42044709
-7.9502	-93.32813739
-9.525	-107.211037
-11.1506	-121.9079612
-13.1064	-140.0478089
-14.6558	-154.6468721
-16.2306	-169.5884485
-18.1102	-187.64378
-19.7612	-202.5008401
-21.336	-213.0653664
-23.241	-221.908431
-24.8666	-228.874346
-25.1714	-229.5549239
-25.4508	-219.6309415
-24.1808	-204.4980916
-22.606	-188.2487381
-21.0312	-173.5873997
-19.0754	-154.5579077
-17.526	-140.1189804
-15.9766	-125.817948
-14.0208	-107.7848576
-12.446	-93.10127809
-10.8712	-79.07603538
-8.9154	-61.56338694
-7.3406	-47.57373001
-5.7658	-34.21127233
-3.81	-16.52514324
-2.2606	-3.47406107
-0.7112	6.151890473
-0.127	10.42663143
0.1016	11.20507021
1.143	21.00895062
3.048	35.70587478
4.699	48.18313637
6.223	60.22447224
8.1788	75.65535297
9.7536	88.80874424
11.303	102.7583672
13.3096	120.0663974
14.859	133.949297
16.4338	148.059056
18.3134	164.9311605
19.9136	179.3878807
21.5138	193.0795068
23.4188	208.9107274
25.019	222.5845606
25.2984	224.6707766
25.654	225.7650391
24.4602	210.6143963
22.9362	193.1150925
21.0058	173.6363302
19.3548	157.6316288
17.8054	142.4454003
15.8496	123.349185
14.3256	108.3898157
12.7254	93.49716981
10.7188	75.46407944
9.1948	61.98151977
7.62	48.54789054
5.6642	31.38220339
4.0894	16.59186657
2.5146	2.851310046
0.5842	-10.39104566
0.3556	-12.30378095
0.1016	-13.97186405
-1.1684	-25.83971927
-2.667	-38.52159906
-4.5974	-53.97027267
-6.1722	-66.41194849
-7.747	-79.68544174
-9.6266	-95.5344553
-11.2522	-109.4662854
-12.8778	-123.4915281
-14.7828	-139.6163314
-16.4084	-153.5704025
-17.9832	-166.7905171
-19.9136	-182.4482571
-21.5392	-195.512684
-23.0632	-207.5050894
-24.9936	-221.9929472
-25.2222	-223.2295528
-25.4508	-223.5053425
-24.1554	-207.3449534
-22.5552	-190.6997082
-21.0312	-175.8115105
-19.0246	-156.8709829
-17.4498	-142.0139228
-15.9258	-126.983382
-13.9954	-110.5961336
-12.3952	-96.29954942
-10.8204	-82.39885692
-8.8646	-65.47337373
-7.2898	-51.608267
-5.715	-38.0367429
-3.7846	-21.49380677
-2.2352	-7.384047856
-0.6096	2.7801385
-0.2794	5.369003471
0.0762	7.766594914
1.143	17.41033934
3.048	32.85901296
4.6736	45.76775204
6.2484	57.94698278
8.1788	73.44903506
9.7282	86.62021922
11.303	100.4497402
13.2842	117.7711151
14.859	131.5872914
16.4084	145.6080859
18.3388	162.1688149
19.939	176.3986758
21.4884	190.1436805
23.4188	206.9446135
25.019	220.605102
25.3238	222.7402484
25.6032	224.1503346
24.3332	207.8653954
22.8092	190.4906418
21.209	173.5651586
19.2532	155.2696232
17.6784	140.4659417
16.1036	125.7334317
14.1732	107.5757912
12.5476	92.42070018
11.0236	77.99956576
9.0678	61.28314898
7.4422	48.1475506
5.8928	34.62940516
3.9878	16.92548319
2.3876	2.935826256
0.8382	-7.2283601
0.3048	-11.55647972
0.0762	-13.08666795
-0.9398	-22.77934281
-2.8702	-39.26890028
-4.4704	-52.19543225
-5.9944	-64.37911122
-7.9502	-79.99681725
-9.4996	-92.99452077
-11.049	-106.2546694
-13.081	-123.2824616
-14.6304	-136.4536458
-16.2306	-149.7093462
-18.1102	-165.9231139
-19.7104	-179.4412593
-21.2852	-192.140932
-23.241	-207.296023
-24.8412	-219.7199059
-25.2984	-222.5489749
-25.4762	-222.5845606
-24.4602	-210.1428848
-22.5298	-190.2682307
-20.9296	-174.6460765
-19.3802	-160.0158756
-17.399	-141.2488287
-15.8242	-126.0626001
-14.2494	-112.7001425
-12.2682	-95.61897151
-10.7188	-81.77165767
-9.144	-68.79174704
-7.2136	-51.99081406
-5.6388	-38.76625124
-4.064	-25.50610265
-2.1844	-8.20252063
-0.5588	2.259696573
-0.0762	5.769343415
0.1016	5.369003471
0.6096	10.96486624
1.4986	19.16293865
2.159	24.70987099
3.1242	32.21402083
3.9878	39.35786472
4.6736	44.77579863
5.6642	52.57797931
6.6294	60.1533007
7.5692	67.66189876
8.2296	73.03090223
8.6868	76.64285817
8.8646	77.5147096
8.382	71.29164758
7.4168	61.3899063
6.7818	55.35811781
5.7912	46.18588487
4.826	37.61861007
3.8608	28.54868623
3.2258	22.51689774
2.3368	13.76279763
1.3716	4.501600259
0.7112	-0.662785018
0.2794	-2.330868118
0.127	-3.264994654
-0.254	-6.761296832
-1.1684	-15.68887758
-2.159	-24.81218008
-3.0226	-32.77004853
-3.7084	-38.921939
-4.6736	-47.31573316
-5.6134	-55.34477315
-6.2738	-60.72712128
-7.2136	-68.54709486
-8.1788	-76.76740837
-8.509	-79.39185912
-8.636	-80.03240303
-8.255	-75.02815373
-7.2898	-65.40220218
-6.35	-57.06178668
-5.715	-51.51930257
-4.7244	-42.52055027
-3.7592	-33.45062643
-2.8956	-25.23031292
-2.2098	-18.66028961
-1.27	-9.158888274
-0.2794	-1.009746303
-0.1016	-0.502649041
0.127	-0.226859302
1.2446	10.6668354
3.2512	29.78084361
5.2832	47.62710867
7.2898	64.46362743
8.89	78.38211281
10.922	96.21058499
12.9286	113.794405
14.8844	130.5775451
16.9164	148.4771888
18.542	162.8627374
20.5486	180.237491
22.5298	196.918322
24.5364	214.9024819
26.1366	228.7008653
28.1686	240.2573451
30.1244	246.4403731
32.1564	250.5060476
33.8074	255.1455428
35.7886	258.0146457
37.846	260.8125771
38.1254	260.4478229
38.4556	247.3789478
37.2618	233.3937391
35.2806	213.5680155
33.2486	194.1248388
31.242	174.4548029
29.6418	159.2685744
27.6098	141.978337
25.6032	123.9230056
23.5966	107.0686939
21.6154	90.47682734
19.9898	76.71402971
17.9832	62.11941464
15.9766	46.63515525
14.0208	31.20872275
12.319	18.13984768
10.3378	3.927779673
8.2804	-6.271992456
6.3754	-17.6905773
4.6736	-27.26315019
2.6924	-36.97806616
0.635	-46.35936552
0.381	-47.22676873
0.127	-47.43583514
-1.4224	-55.81183642
-3.048	-63.7163262
-5.0546	-74.61446912
-7.0104	-86.32218837
-9.0424	-99.82698915
-10.6426	-111.7259819
-12.6746	-127.2591718
-14.6558	-142.378677
-16.6878	-157.9652455
-18.288	-170.3891284
-20.3454	-185.6287356
-22.3012	-199.9609056
-24.2824	-214.0528716
-25.9334	-222.4466658
-27.94	-228.8565531
-29.9212	-232.8377114
-31.9532	-237.0590737
-33.5788	-240.1505877
-35.6108	-243.24655
-37.6682	-246.458166
-37.9476	-246.0934118
-38.2524	-234.1410404
-36.83	-220.9342704
-34.8996	-202.758837
-32.8676	-183.5958983
-31.2166	-168.4586002
-29.21	-150.0918932
-27.2034	-132.2990068
-25.2476	-116.2275822
-23.622	-103.1453625
-21.6154	-86.54904767
-19.5834	-70.86017009
-17.6276	-56.73261829
-16.002	-44.67348953
-13.97	-29.54063965
-11.938	-15.20402143
-9.9822	-3.060376461
-8.3566	3.927779673
-6.3246	13.98520871
-4.3434	23.28199185
-2.3622	31.43113383
-0.3048	39.56248291
-0.0762	40.1363035
0.1016	39.92723708
1.524	47.05328808
3.5052	54.45512883
5.1308	61.70128181
7.1628	70.40645148
9.1948	80.01461014
11.1252	90.37007003
12.7762	100.1695022
14.7828	112.8380373
16.8148	126.3028041
18.796	139.5807456
20.4216	151.1016395
22.4282	164.4107186
24.4348	177.5107312
26.3906	189.1517271
28.067	199.3337063
30.0482	210.9435647
32.0548	221.8906381
34.1122	232.0726173
35.6616	239.4388723
37.6936	245.4172821
38.0238	245.7286576
38.481	240.2884826
36.9062	222.3754942
35.2806	206.1127961
33.274	187.0699594
31.242	168.7032524
29.2862	150.4388545
27.6352	136.1378221
25.6286	119.7194361
23.622	103.1275696
21.6662	86.81149275
20.0152	73.32448485
17.9832	57.46212663
15.9766	41.94672969
14.0208	28.39299847
12.3444	16.94327607
10.3378	4.03008877
8.3058	-5.075420846
6.3754	-15.16843566
4.699	-23.38874917
2.6924	-32.36970858
0.6858	-41.12825691
0.2794	-42.36486252
0.127	-42.08462456
-1.2192	-49.259606
-3.2004	-57.47991952
-5.207	-66.14950341
-6.8326	-73.77820346
-8.8138	-84.20483489
-10.795	-94.96063472
-12.827	-107.3133461
-14.4526	-117.7755633
-16.4846	-130.7020953
-18.4658	-143.3350446
-20.4724	-155.9324082
-22.098	-165.3848791
-24.1046	-176.9235659
-26.0858	-188.0441199
-28.1178	-198.6575767
-29.7434	-206.9801993
-31.75	-216.7484939
-33.782	-225.8851411
-35.7886	-233.7940791
-37.3888	-239.4032865
-37.9984	-240.2751379
-38.227	-238.2245078
-36.9316	-223.1405883
-34.9504	-204.5158845
-32.9184	-186.5673103
-30.9118	-168.5653575
-29.2862	-153.9485014
-27.2796	-136.035513
-25.273	-119.0788922
-23.2664	-102.153409
-21.6662	-89.55604547
-19.6596	-76.05569292
-17.653	-60.85167149
-15.6972	-45.33627455
-14.0208	-33.0324936
-12.0142	-19.02504378
-10.0584	-6.396542661
-8.001	2.344212783
-6.4008	10.49335475
-4.3942	19.91023988
-2.4384	28.39299847
-0.381	36.81793018
-0.127	37.4807152
0.1016	37.39175077
1.3208	43.64595034
3.3274	51.57268123
5.3594	59.68623743
7.366	67.76420785
8.9662	75.44628656
10.9728	85.64605869
13.0048	96.8511289
14.9606	108.9280505
16.6116	119.5459555
18.6182	132.6103823
20.6248	145.7326361
22.5806	158.1031403
24.2316	168.7521828
26.2382	181.0025851
28.2702	192.9594048
30.226	203.924271
31.8516	213.358949
33.909	224.1147489
35.8648	233.9675597
37.8968	242.6860741
38.1508	243.0196907
38.481	241.8542566
37.2872	227.3975364
35.2806	206.2684838
33.274	187.2256471
31.2674	168.6854595
29.2608	150.5945423
27.6352	136.2267865
25.6286	119.5637484
23.5966	102.7450225
21.6662	86.62021922
19.9898	73.27555442
18.0086	58.20942786
15.9766	44.39325157
14.0208	30.99965633
12.3444	19.09621533
10.3632	6.027340268
8.3058	-2.953619142
6.3754	-12.94432486
4.6736	-21.20022415
2.7178	-30.23456222
0.6604	-39.07762676
0.4064	-39.98061574
0.127	-40.0339944
-1.2954	-47.43583514
-3.2512	-55.51825379
-4.8768	-62.53754747
-6.9088	-71.58967843
-8.9154	-81.7360719
-10.8712	-92.70093814
-12.4968	-102.793953
-14.5542	-115.360179
-16.5608	-127.886371
-18.542	-140.0478089
-20.1676	-150.1630648
-22.1742	-161.9953342
-24.2062	-173.7430875
-26.1874	-184.5478177
-27.813	-193.324159
-29.7942	-203.3860362
-31.8516	-213.2699846
-33.8582	-223.2295528
-35.814	-230.942769
-37.465	-238.06882
-37.8714	-238.971809
-38.227	-237.0768666
