"henry et al. 1998,No.415s"	
88.1634	9.190025826
85.09	0.209066415
81.5086	-10.18197924
78.4606	-17.96636704
75.3618	-24.70987099
72.3138	-30.73721126
68.8594	-36.43983135
65.6844	-41.82217948
62.611	-46.65294814
59.5122	-51.19013417
56.0832	-56.14100481
52.9082	-60.8338786
49.8856	-64.61931518
46.7868	-68.60047352
43.307	-72.52825319
40.2082	-76.26475933
37.1094	-79.89450816
34.0106	-83.05719372
30.5562	-85.93964131
27.432	-88.11482167
24.3332	-89.81404233
21.2598	-91.17074991
17.7292	-92.02480846
14.6558	-92.83883301
11.5824	-94.03985285
8.0772	-94.99622049
4.9784	-96.94009333
1.8796	-98.85282862
1.4478	-98.12332027
1.2954	-96.59313204
-1.4986	-101.0413536
-4.572	-103.57684
-7.6962	-106.5660449
-10.795	-109.5908356
-14.2494	-112.891416
-17.3228	-116.3476842
-20.4724	-120.3288425
-23.5458	-124.3411384
-27.0256	-128.9450477
-30.1244	-133.5845429
-33.1978	-138.4508973
-36.322	-143.7175917
-39.8018	-149.0865951
-42.9006	-153.9351567
-45.974	-159.1618171
-49.0474	-164.3929257
-52.5526	-169.7441363
-55.6514	-174.43701
-58.7502	-179.0587123
-61.8236	-183.3868319
-65.3542	-188.026327
-68.4276	-192.1765178
-71.501	-196.1042975
-74.5744	-199.7874249
-78.0288	-203.541724
-81.1784	-206.9490617
-84.2518	-209.9338184
-87.3506	-212.5226834
-90.805	-214.662278
-93.9546	-216.850803
-97.028	-218.2742339
-100.1014	-219.0037423
-103.5812	-219.6131486
-106.68	-220.7963756
-109.8042	-222.3087709
-112.8522	-223.314069
-116.3828	-224.1147489
-119.4816	-225.2268043
-122.555	-226.5835119
-126.0856	-227.18847
-126.2888	-226.4100312
-126.5428	-213.4612581
-123.952	-194.4718001
-120.8786	-173.5340211
-117.3734	-152.3693827
-114.2746	-134.2651208
-111.2012	-116.5211648
-108.1024	-100.5209117
-104.5972	-82.44778736
-101.5238	-67.69748453
-98.4504	-54.37061262
-95.3516	-41.83997237
-91.821	-28.30403404
-88.773	-17.91298838
-85.6996	-8.113556198
-82.5754	-0.627199246
-79.0448	7.072672344
-75.9968	13.50035256
-72.9234	18.85156314
-69.4944	24.04708597
-66.3702	28.0282443
-63.2206	31.25765318
-60.1472	33.93548259
-56.7436	36.76899975
-53.6194	39.38900227
-50.4444	42.10241744
-47.3964	44.51780177
-43.9166	46.7063268
-40.8432	48.72137118
-37.719	50.47841872
-34.6456	52.23101803
-31.1658	53.51655407
-28.067	54.7175739
-24.9682	56.50575898
-21.8694	58.19163497
-18.3896	59.77075364
-15.2654	61.79024625
-12.1666	63.69853331
-9.1186	65.90485123
-5.6134	68.28464978
-2.5146	70.717827
0.6096	73.30669197
1.0668	72.99531646
1.27	71.48292111
3.937	75.96672848
7.0358	78.80024564
10.1346	81.70048613
13.2334	84.58738195
16.7132	87.76341217
19.812	91.05064793
22.9108	94.81829163
26.3906	99.04410215
29.4894	103.4745309
32.5628	108.234128
35.6616	112.9937251
39.1414	118.1225246
42.2402	123.349185
45.339	128.7715671
48.4124	134.0738472
51.816	139.6830547
54.991	145.6258787
58.0898	151.3107059
61.1632	157.0088778
64.6176	162.9694948
67.7672	168.7877686
70.8406	173.774225
73.914	178.7295439
77.3684	184.0807545
80.4672	189.2940702
83.6168	193.8446009
86.6648	198.3106154
90.1446	201.7668836
93.218	204.5470221
96.3422	207.3627463
99.4156	209.9516113
102.8954	212.4737529
106.0196	214.5377278
109.0676	216.3659468
112.1664	217.9094797
115.6716	219.3507035
118.7704	221.1433368
121.8692	222.3754942
124.9426	224.0079916
128.4732	224.9287734
128.7272	224.2882295
129.0066	218.7457454
126.4158	197.3720406
123.2916	174.7839713
120.1928	154.2465322
116.7638	134.6610125
113.6142	116.645715
110.5408	98.60817643
107.4928	83.02160794
103.9876	65.3844093
100.8888	51.50150968
97.8154	38.5927706
94.7166	26.89839602
91.186	14.83926726
88.1126	5.889445398
85.0392	-0.765094115
81.9404	-7.263945873
78.4352	-13.70941897
75.3364	-18.31332833
72.2884	-22.03204158
68.834	-25.38600067
65.659	-28.33961981
62.5602	-30.4792144
59.5122	-32.77004853
56.0578	-34.8028858
52.8574	-36.64444954
49.8094	-38.22801643
46.736	-39.91389242
43.2562	-41.54638974
40.1574	-42.92089022
37.0332	-44.44663023
33.9852	-45.5942714
30.5054	-46.67074103
27.3812	-47.68048733
24.3078	-48.9304376
21.209	-50.07807877
17.7292	-51.10116974
14.605	-52.28439669
11.5316	-53.64110427
8.4074	-55.20243006
4.9022	-56.59472342
1.8288	-58.20942786
1.5494	-51.79954053
1.27	-49.33077754
-1.4224	-55.84742219
-4.5212	-58.74766267
-7.62	-61.44328496
-10.6934	-64.03214993
-14.1986	-66.9501833
-17.272	-69.9571811
-20.3962	-73.22217576
-23.4696	-76.28255222
-26.9748	-79.98347259
-30.0736	-83.55984276
-33.1216	-87.27855601
-36.2204	-91.20633569
-39.7764	-95.67235017
-42.799	-99.84033381
-45.8978	-103.5946328
-49.3014	-106.8462828
-52.5272	-111.1343685
-55.5752	-115.3957647
-58.6486	-119.5637484
-62.103	-123.8740751
-65.3034	-128.3400896
-68.3514	-132.5258661
-71.4248	-136.5915407
-74.8792	-140.8840745
-77.9526	-145.1232297
-81.1022	-149.4157635
-84.1756	-153.499231
-87.63	-157.7205933
-90.7542	-161.7195445
-93.8784	-165.7318404
-96.9518	-169.1881086
-100.4062	-172.4575514
-103.505	-175.2866204
-106.6038	-177.6352814
-109.6772	-180.1351819
-113.2078	-182.1324334
-116.3066	-183.99179
-119.38	-185.6954589
-122.4534	-187.2968187
-125.984	-188.0085341
-126.2126	-187.2256471
-126.492	-184.1652707
-123.8504	-164.7754727
-120.6754	-146.37318
-117.602	-128.8783244
-114.1222	-110.5116174
-111.0234	-95.09852959
-107.9246	-80.33043387
-104.8512	-66.68773823
-101.3968	-52.92938882
-98.2726	-41.52859686
-95.1738	-31.5912698
-92.1004	-22.62365506
-88.5952	-14.00744982
-85.5218	-7.157188554
-82.3976	-1.58356689
-79.3242	2.30862701
-75.8444	7.019293685
-72.7456	10.52894053
-69.6468	13.72721186
-66.5734	16.24490528
-63.0682	18.46901608
-59.9694	20.43513003
-56.896	21.92973249
-53.7972	23.56222982
-50.2412	24.90114452
-47.1932	25.97761414
-44.1452	27.17418575
-41.0718	28.14834628
-37.5666	29.2426088
-34.4424	30.19897644
-31.369	30.92848478
-27.9146	31.96936864
-24.8158	32.77004853
-21.717	33.79758772
-18.5928	34.95857355
-15.1384	36.02169852
-12.0396	37.20047724
-8.9408	38.65949393
-5.8166	40.2608537
-2.3368	42.12021033
0.762	43.96177407
1.016	43.87280964
1.2954	41.03929248
3.6322	45.80333782
6.223	47.8183822
9.2202	50.00690723
12.2428	52.61356508
14.859	55.11791385
17.907	57.80908791
20.4724	60.72712128
23.495	63.92539261
26.0858	66.66994534
29.1592	70.23297084
32.1056	73.41344929
34.7726	76.74961549
37.7952	80.57063784
40.386	83.9601827
43.4086	87.54100109
43.6626	87.64331018
43.9674	86.62021922
41.9608	75.75766207
38.9382	62.9334392
35.941	52.00415873
33.3248	42.95202777
30.3022	34.50930317
27.7114	27.03629088
24.638	19.40759084
21.717	12.80642999
19.05	8.077970426
16.002	3.162685558
13.4366	-0.280237961
10.3886	-4.119053202
7.7724	-7.384047856
4.7752	-10.70242117
1.7526	-13.88289961
1.5494	-13.98965693
1.3208	-13.88289961
-0.9652	-16.69862389
-3.9116	-19.58107148
-6.604	-22.241108
-9.6266	-25.23031292
-12.192	-27.92148698
-15.24	-31.05303499
-17.8054	-33.8153806
-20.8534	-37.09816814
-23.876	-40.08737306
-26.5176	-43.21447284
-29.464	-46.62181059
-32.131	-49.64215306
-35.1536	-53.24076433
-37.719	-56.27889968
-40.767	-59.63285877
-41.0464	-59.73961609
-41.3766	-59.1657955
-39.0144	-50.86096577
-36.449	-43.42353926
-33.4264	-35.56797991
-30.3784	-28.89564751
-27.813	-23.42433495
-24.8158	-17.94857416
-22.1742	-13.22456282
-19.2024	-8.358208386
-16.5608	-4.119053202
-13.5382	-0.088964432
-10.6172	3.700920371
-7.8994	7.31287631
-4.9276	11.31182753
-2.3114	14.7858886
0.6858	18.86935603
0.9906	19.14959399
1.27	17.5660271
5.2324	25.38600067
9.8044	32.42308724
13.9954	39.21552163
18.6182	46.63515525
23.1648	54.64640236
27.6352	62.13720753
31.8516	69.41449807
36.449	77.18109298
40.9956	84.89875746
45.5422	92.21163377
49.7332	97.8608752
54.3052	104.0305586
58.8518	110.3381368
63.4238	116.5033719
67.5894	121.6811019
72.136	126.9300034
76.7334	132.5614519
81.2546	137.8414909
85.4456	143.1259782
90.0684	147.9211611
94.615	151.6754601
99.1616	155.5142754
103.3272	159.3530906
107.95	162.4979833
112.4712	165.3492933
117.0686	168.1961551
121.2088	171.1497743
125.7808	173.8631895
130.3528	176.6611208
134.9248	179.734842
139.0904	183.0042848
143.6624	185.4863925
148.2344	187.3457491
152.8064	188.8581445
156.9466	190.3527469
161.5694	191.1000482
166.1668	191.3447003
170.6118	191.237943
174.8282	191.9674514
179.4256	192.3322055
179.705	191.6738687
180.086	185.8867324
176.0728	159.442055
171.958	135.1503169
167.3606	111.4991226
162.8394	89.22687707
158.2928	69.06753678
154.1018	51.83067808
149.5044	35.53239414
144.9324	21.80518228
140.3604	9.835017958
136.2202	1.370052253
131.6228	-5.506898341
127	-10.92928047
122.4534	-15.06612656
118.3132	-17.70837019
113.7158	-19.82572367
109.1438	-22.04983447
104.5972	-23.31757763
100.4316	-24.58532078
95.8342	-25.12800382
91.2622	-25.75075484
86.7156	-26.49805607
82.5246	-26.93398179
77.9272	-27.4722166
73.3552	-27.97486564
68.8848	-28.39299847
64.6684	-28.98461195
60.0964	-29.367159
55.5244	-29.6963274
50.9778	-30.33687131
46.7868	-30.87510613
42.2148	-32.26739949
37.6174	-33.67303751
33.0708	-35.51460125
28.9306	-37.51630097
24.384	-39.704826
19.7866	-42.24031231
15.24	-44.79359151
11.049	-47.41804226
6.4516	-50.40724717
1.8796	-53.29414299
1.4478	-53.06728369
1.27	-51.95522829
-2.6924	-55.77625064
-6.858	-58.45408005
-11.43	-61.26980432
-16.0274	-64.15225192
-20.574	-66.98576907
-24.6888	-69.64135737
-29.2862	-72.54604607
-33.8582	-75.5174581
-38.4302	-78.52000768
-42.9768	-81.21562997
-47.1932	-84.08028468
-51.7906	-87.02055916
-56.3118	-90.02310874
-60.8838	-92.99452077
-65.0748	-96.00151857
-69.6214	-98.67934797
-74.168	-101.3171434
-78.74	-103.8748708
-82.931	-106.3925642
-87.4776	-108.7901557
-92.075	-111.325642
-96.647	-114.1413663
-100.8126	-116.885919
-105.3846	-119.9285026
-110.0074	-122.8821217
-114.554	-125.0039234
-118.6434	-127.6595117
-123.2154	-130.9645403
-127.8128	-134.1939492
-132.3594	-137.2854632
-136.525	-140.4303559
-141.097	-143.4195608
-145.7198	-146.0973902
-150.2664	-148.7707714
-154.3812	-151.3284988
-159.004	-153.5348167
-163.6014	-155.567654
-168.0464	-156.5551592
-172.2882	-158.1209332
-176.8602	-158.8504416
-177.1904	-158.2944139
-177.4444	-152.6318278
-173.736	-131.4138107
-169.1894	-109.3105976
-164.6174	-89.34697906
-160.0962	-70.89575586
-155.9306	-55.11791385
-151.3332	-39.42458804
-146.7612	-26.20447345
-142.2146	-15.37750207
-138.0744	-7.14384389
-133.4516	-0.662785018
-128.8796	4.430428714
-124.333	8.496103256
-120.1674	11.56982438
-115.57	14.02079448
-111.0234	16.17818196
-106.4514	17.7928864
-102.2858	19.18073154
-97.663	20.13709918
-93.1418	21.07567394
-88.5698	21.75625185
-84.3788	22.58806928
-79.8322	22.97061634
-75.2348	23.42433495
-70.6882	23.78908912
-66.548	24.25615238
-61.9506	24.67428522
-57.4294	25.05683227
-52.8574	25.3504149
-48.6918	25.92423548
-44.1198	26.51584896
-39.5224	27.05408377
-34.9758	27.76579923
-30.8102	28.63320244
-26.2128	29.66074163
-21.6662	30.66603971
-17.145	31.81368088
-12.9286	33.09921693
-8.3312	34.43813163
-3.81	35.86156254
0.7874	37.28944167
1.016	37.18268435
1.27	36.10621473
4.9784	38.86856034
9.6012	40.50105767
14.1986	42.04903878
18.7452	42.64065226
22.86	44.50000889
27.4828	45.76775204
32.0294	47.45362803
36.576	49.13950402
40.767	50.87431044
45.339	52.61356508
49.911	54.07258177
54.5084	55.49601268
58.5978	57.16409578
63.246	58.97452197
67.7926	60.86946437
72.3138	62.62206368
76.5048	64.65490096
81.1022	66.84342598
85.6488	68.84067748
90.2462	70.98027207
94.7674	73.066488
98.9584	75.42849367
103.5558	77.70598313
108.1278	80.05019591
112.6744	82.41220158
116.84	85.03665233
121.4374	87.398658
125.9586	89.95638542
130.5306	92.28280531
134.7216	94.71598253
139.2936	97.14915974
143.7894	99.1997899
148.3868	101.6641047
152.6032	104.7066882
157.1752	107.8693738
161.7726	111.1343685
166.3446	114.1947449
170.434	117.0949854
174.9806	119.9285026
179.5526	123.1579114
179.8066	122.7264339
180.1114	118.0869388
176.4792	97.49612103
171.8564	75.82883362
167.3352	58.07153299
162.7632	42.55168783
158.623	30.52814484
154.051	19.7901379
149.479	11.29403464
144.907	4.897491982
140.7668	0.41813283
136.144	-3.25164999
131.572	-6.378749774
127	-8.825271654
122.428	-10.60011207
118.2624	-12.26819517
113.7158	-13.76279763
109.1438	-14.97716213
104.5718	-15.98690843
100.4062	-16.680831
95.758	-17.67278442
91.2114	-18.38449987
86.6394	-18.99390623
82.4992	-19.7901379
77.9272	-20.45292292
73.3552	-21.16463837
68.8594	-21.77404473
64.6176	-22.72596415
60.0202	-23.52664404
55.4482	-24.42963303
50.9524	-25.2481058
46.7614	-26.3601612
42.164	-27.36545928
37.592	-28.49530757
33.02	-29.67853452
28.8798	-30.86176146
24.3332	-32.00495441
19.7612	-33.18818136
15.2146	-34.26465098
11.0236	-35.43008504
6.4008	-36.54214044
1.8542	-37.5830243
1.4478	-37.39175077
1.016	-35.79483922
1.016	-23.59781559
1.016	-19.96361854
35.306	-0.053378659
35.4076	0.017792886
35.1536	-0.191273529
35.1028	-0.244652188
