"Sritharan 1996_Specimen_No._IC2"	
-39.4922	-280.24
-39.9222	-282.84
-40.3922	-285.34
-40.8422	-287.54
-41.6022	-289.94
-42.1722	-292.34
-42.4822	-294.64
-42.8522	-297.34
-43.2722	-299.44
-43.6922	-301.84
-44.2022	-304.44
-44.9322	-306.54
-45.3322	-308.64
-45.8422	-310.94
-46.2822	-313.24
-46.9722	-315.34
-47.2722	-317.34
-47.6022	-319.74
-48.0122	-321.94
-48.3922	-324.04
-48.8022	-326.54
-49.5422	-328.74
-49.9222	-330.84
-50.3422	-333.04
-50.7822	-335.54
-51.1222	-337.34
-51.7022	-339.54
-52.4722	-341.54
-52.9622	-343.64
-53.5522	-345.74
-53.8122	-347.94
-54.1322	-350.24
-54.8522	-352.54
-55.3522	-354.64
-56.0522	-356.64
-56.6522	-358.84
-57.1622	-360.94
-57.6222	-363.44
-57.9022	-365.24
-58.3522	-367.24
-59.2122	-369.44
-59.6322	-371.54
-60.6422	-373.24
-60.8022	-371.14
-60.8022	-370.94
-60.8322	-368.84
-60.8422	-366.84
-60.9022	-364.74
-60.9022	-362.64
-60.8922	-364.64
-60.8922	-366.64
-60.8922	-364.64
-60.8922	-362.54
-60.8822	-360.34
-60.8822	-362.94
-60.8922	-360.74
-60.8922	-358.64
-60.8922	-360.74
-60.9022	-362.84
-60.8922	-360.24
-60.8922	-358.44
-60.8922	-356.44
-60.9022	-358.44
-60.8922	-356.34
-60.8922	-354.24
-60.8922	-356.84
-60.9022	-354.34
-60.8922	-357.74
-60.7722	-355.14
-60.6722	-352.54
-60.6122	-350.54
-60.4922	-348.44
-60.3922	-346.14
-60.2722	-343.84
-60.1222	-340.94
-60.0022	-338.84
-59.8822	-336.54
-59.7622	-334.24
-59.6522	-331.84
-59.5322	-329.74
-59.3922	-327.14
-59.2722	-324.44
-59.1622	-322.34
-59.0422	-319.64
-58.9722	-317.74
-58.8322	-315.74
-58.7122	-313.34
-58.6322	-311.44
-58.4922	-308.84
-58.3922	-307.14
-58.2722	-304.64
-58.1422	-302.64
-58.0022	-300.44
-57.8922	-298.34
-57.7422	-295.64
-57.6122	-293.24
-57.4822	-290.84
-57.3222	-288.54
-57.2022	-286.44
-57.0722	-284.24
-56.8722	-281.74
-56.7422	-279.54
-56.6022	-277.44
-56.4522	-274.84
-56.2922	-272.84
-56.1622	-270.44
-56.0322	-268.14
-55.7122	-263.84
-55.5922	-261.74
-55.4322	-259.64
-55.2822	-257.44
-55.1322	-254.84
-54.9822	-252.24
-54.8322	-250.04
-54.6822	-247.44
-54.5122	-245.04
-54.3722	-242.64
-54.2322	-240.24
-54.0522	-237.44
-53.9122	-235.24
-53.7622	-233.24
-53.5922	-231.14
-53.4622	-229.04
-53.2722	-226.34
-53.0922	-223.74
-52.9422	-221.24
-52.7722	-219.04
-52.5722	-216.04
-52.3922	-213.44
-52.2122	-210.84
-52.0522	-208.44
-51.8722	-205.84
-51.7122	-203.44
-51.4822	-200.04
-51.3222	-197.64
-51.1222	-195.14
-50.9722	-192.84
-50.7822	-190.14
-50.6122	-187.64
-50.3822	-184.54
-50.2422	-182.44
-50.0822	-179.84
-49.9022	-177.34
-49.6622	-174.34
-49.5222	-172.04
-49.3022	-169.34
-49.1422	-167.34
-48.9622	-164.14
-48.7922	-161.64
-48.5722	-158.84
-48.4122	-156.44
-48.2322	-154.24
-48.0222	-151.54
-47.8322	-148.74
-47.6322	-146.14
-47.4322	-143.24
-47.2022	-140.54
-47.0422	-138.44
-46.7822	-136.24
-46.5822	-133.34
-46.4222	-131.04
-46.1922	-128.64
-45.9922	-126.24
-45.8522	-124.04
-45.6122	-121.54
-45.3622	-118.44
-45.1122	-115.24
-44.9222	-113.04
-44.7122	-110.34
-44.4622	-107.94
-44.2822	-105.64
-44.0722	-103.24
-43.8922	-101.04
-43.6522	-98.54
-43.4522	-96.44
-43.2122	-94.04
-42.9722	-91.54
-42.7922	-89.14
-42.5722	-86.84
-42.3822	-84.82
-42.1722	-82.31
-41.9622	-80.21
-41.7522	-77.79
-41.5022	-75.61
-41.2622	-73.05
-41.0822	-70.86
-40.8322	-68.14
-40.5922	-65.89
-40.3822	-63.68
-40.1822	-61.46
-39.9722	-59.22
-39.7422	-57.02
-39.4722	-54.64
-39.2422	-52.36
-39.0522	-50.17
-38.6622	-48.1
-38.4422	-45.71
-38.0922	-43.38
-37.8422	-41.34
-37.5822	-39.12
-37.2622	-36.89
-36.9522	-34.66
-36.6822	-32.52
-36.3222	-30.19
-36.0722	-28.18
-35.6422	-25.72
-35.4222	-23.56
-35.0122	-21.29
-34.5422	-18.82
-34.1722	-16.91
-33.8322	-14.9
-33.4522	-12.94
-33.0522	-10.32
-32.6222	-7.73
-32.2822	-5.11
-31.9522	-3.23
-31.5622	-1.21
-31.1922	0.95
-30.7622	3.01
-30.2422	5.151
-29.8822	7.281
-29.5222	9.364
-29.0422	11.708
-28.5022	13.623
-28.0022	15.706
-27.3522	18.219
-26.9622	20.44
-26.4722	22.524
-26.0422	24.68
-25.5722	27.06
-24.9322	31.27
-24.1922	35.42
-23.1722	37.46
-22.5822	39.65
-22.0922	41.75
-21.7622	43.94
-21.2122	46.22
-20.5922	48.69
-20.1522	50.73
-19.7722	52.89
-19.2922	54.95
-18.6922	57.5
-17.9922	59.96
-17.6922	62.03
-16.9722	65.02
-16.4522	67.5
-15.8822	69.86
-15.4922	72.24
-14.9022	74.29
-14.4022	76.51
-13.8822	78.76
-13.2722	81.23
-12.9022	83.3
-12.3822	85.59
-11.7922	87.72
-11.1522	90.21
-10.8322	92.4
-10.2022	94.88
-9.5822	97.28
-9.0922	99.63
-8.5422	101.86
-7.9572	104.07
-7.2282	106.73
-6.7852	109.14
-6.1522	111.61
-5.5662	114.06
-5.1042	116.06
-4.4472	118.66
-3.4182	121.66
-2.8562	124.06
-2.1902	126.66
-1.6422	128.86
-0.7852	131.36
-0.2942	133.76
0.3198	135.76
0.8534	138.06
1.5535	140.16
2.0774	142.56
2.7818	144.76
3.5828	146.96
4.1058	149.26
4.7108	151.46
5.3678	153.66
5.8968	155.76
6.4778	157.86
7.0498	159.86
7.5348	162.06
8.4448	164.46
9.0398	166.76
9.7168	168.96
10.2878	171.26
11.1878	173.76
11.6978	176.36
12.2878	178.26
13.2578	180.66
13.7678	182.56
14.1978	184.56
14.7078	186.96
15.4278	189.06
16.1678	191.66
16.7878	193.76
17.4478	196.06
18.2478	199.06
18.6878	201.36
19.3178	203.56
19.9678	205.66
20.9678	207.76
21.2678	209.96
21.9178	212.06
22.5778	214.36
23.1778	216.36
23.5778	218.36
24.1778	220.46
24.7478	222.56
25.4278	225.16
25.8378	227.16
26.3378	229.26
26.8078	231.46
27.4278	233.56
27.8178	235.66
28.3978	237.86
29.0678	240.46
29.6678	242.76
29.9478	244.86
30.4678	247.16
30.9178	249.76
31.6478	252.16
32.2978	253.96
32.6578	256.06
33.0278	258.36
33.4978	260.36
33.9778	262.36
34.3478	264.86
34.7278	267.16
35.1978	269.36
35.7278	271.76
36.2478	273.96
36.8778	276.06
37.3178	278.56
37.6378	280.66
38.1078	283.26
38.6778	285.56
39.3478	288.76
39.6678	291.06
40.0378	293.06
40.6778	295.56
41.2478	298.46
41.6778	300.56
42.2078	302.86
43.0078	305.06
43.3078	307.06
43.7778	309.66
44.2278	311.46
44.7478	313.76
45.3378	316.26
45.6678	318.46
46.2678	321.36
46.6178	324.06
47.1978	326.16
48.0478	328.16
48.4378	330.56
48.8178	332.86
49.5678	335.46
49.8978	337.76
50.4878	339.66
50.8978	341.96
51.2578	343.86
51.8678	346.76
52.1678	349.16
52.5578	351.16
53.0678	353.36
53.5578	355.56
54.1578	357.76
54.6478	360.06
55.1178	362.36
55.6378	365.06
56.2678	366.86
56.7278	369.76
57.0578	371.56
57.5478	373.56
58.2178	376.26
59.0078	378.86
59.4178	381.16
59.7378	382.76
60.4978	384.96
61.4378	387.16
62.4578	389.16
63.1178	391.16
63.7278	393.66
64.3978	395.76
65.2578	397.76
66.4578	399.86
67.4878	401.96
68.3478	404.46
69.1378	406.46
69.6578	403.96
70.0978	406.06
71.2578	409.06
72.5378	410.76
73.9378	413.66
75.7478	415.36
76.3978	417.66
77.5078	419.76
79.2778	422.16
80.1378	423.96
80.4178	421.86
80.7778	423.96
83.1978	426.26
85.3178	428.06
87.1978	430.56
87.6878	428.46
87.8978	427.86
88.6278	427.86
88.8778	425.56
89.1678	427.56
89.3278	427.26
89.4078	425.26
89.4578	423.36
89.4978	420.86
89.5278	418.86
89.5478	416.26
89.5478	414.06
89.5578	411.96
89.5478	409.76
89.5478	411.76
89.5478	409.86
89.5478	408.36
89.5378	405.76
89.5378	408.26
89.5378	406.16
89.5278	408.16
89.5378	406.06
89.5278	403.86
89.5278	406.06
89.5278	403.96
89.5378	406.36
89.5278	404.46
89.5278	406.26
89.5278	404.26
89.3878	402.26
89.2878	400.16
89.1178	397.56
88.9578	394.56
88.7578	391.56
88.6578	389.46
88.4878	386.56
88.3678	384.16
88.2178	381.66
88.1078	379.36
87.9578	377.26
87.7978	374.66
87.6978	372.66
87.4578	369.86
87.2678	366.86
87.1278	364.66
86.9778	362.66
86.8178	360.36
86.6078	357.36
86.4578	355.16
86.2978	352.76
86.0778	349.76
85.9278	347.36
85.7478	345.06
85.5778	342.56
85.3878	340.36
85.1878	337.66
84.9978	334.86
84.8178	332.46
84.6478	330.36
84.4678	327.96
84.2878	325.46
84.0978	322.66
83.8678	319.46
83.7378	317.16
83.5778	314.76
83.3878	312.06
83.2078	309.26
82.9678	306.46
82.7578	303.36
82.5278	300.16
82.3078	296.96
82.0678	293.66
81.8478	291.16
81.6778	288.66
81.4778	286.46
81.3178	284.46
81.1178	281.96
80.9578	279.26
80.7478	276.56
80.5678	274.26
80.4278	272.06
80.2278	269.46
80.0278	266.66
79.8078	263.66
79.5878	261.46
79.3678	258.66
79.1678	256.06
78.9578	253.06
78.7378	250.26
78.5278	247.66
78.3478	245.26
78.1278	242.36
77.9078	240.36
77.7278	238.26
77.5478	236.16
77.3478	233.46
77.1378	230.26
76.9178	227.96
76.7078	225.66
76.5678	223.16
76.3678	220.96
76.1878	218.76
75.9878	216.16
75.7578	213.46
75.5378	210.96
75.3078	208.06
75.0878	205.26
74.8578	202.26
74.5878	199.16
74.3378	195.86
74.0678	192.76
73.7978	189.16
73.5378	186.26
73.2878	183.56
72.9778	180.26
72.8478	177.66
72.5478	175.16
72.3378	172.86
72.1578	170.76
71.9278	168.16
71.6878	165.76
71.5378	163.56
71.3078	160.96
71.0578	158.06
70.8078	155.06
70.5678	152.16
70.3278	149.66
70.1178	147.46
69.8778	145.16
69.6678	143.06
69.4678	140.76
69.2078	138.16
68.9278	135.56
68.6978	132.86
68.4378	130.16
68.2378	128.16
67.9978	125.66
67.8378	123.66
67.5978	121.66
67.3378	118.86
67.0678	116.26
66.8478	114.26
66.5678	111.55
66.3178	109.14
66.1178	107.13
65.6978	104.76
65.4778	102.52
65.2078	100.24
64.9578	97.73
64.7678	95.52
64.5078	92.95
64.2378	90.37
63.9778	87.97
63.6378	85.52
63.4478	83.27
63.1678	80.89
62.9278	78.81
62.6678	76.33
62.3978	73.89
62.1278	71.55
61.8778	69.52
61.6178	67.16
61.3578	64.91
61.1078	62.71
60.8378	60.47
60.5778	58.26
60.3178	56.04
60.0378	53.88
59.6778	51.4
59.4478	49.36
59.1278	47.16
58.8678	45.07
58.5878	42.79
58.1178	40.78
57.8978	38.64
57.7178	36.6
57.3978	34.09
57.0578	31.84
56.6778	29.48
56.3978	27.12
56.0678	24.93
55.7178	22.631
55.4178	20.333
55.0178	18.066
54.6278	16.013
54.2778	13.8834
53.9678	11.708
53.5878	9.349
53.1978	7.051
52.7478	5.197
52.3978	3.01
52.0978	0.89
51.7378	-1.6
51.3078	-3.92
50.8578	-6.17
50.3978	-8.3
50.0778	-10.37
49.2878	-12.39
48.8778	-14.53
48.4178	-16.83
47.8478	-18.85
47.3178	-21.17
46.6978	-23.19
45.9678	-25.4
45.3278	-27.4
44.8378	-29.65
44.3978	-31.71
43.7678	-33.88
43.0378	-35.9
42.1278	-37.97
41.6278	-40.29
40.8878	-42.78
40.3878	-45.02
39.7778	-47.43
39.1778	-49.6
38.6178	-51.91
37.9978	-54.03
37.3478	-56.17
36.7978	-58.36
36.3578	-60.42
35.8078	-62.55
35.1778	-64.81
34.7078	-66.93
34.1078	-69
33.5478	-71.17
32.8178	-73.32
32.3078	-75.57
31.7878	-77.6
31.2378	-79.6
30.6178	-81.66
29.8678	-83.75
29.3178	-85.79
28.2578	-88.14
27.7378	-90.34
27.0278	-92.54
26.5378	-94.54
25.9978	-97.04
25.4578	-99.14
24.8278	-101.44
23.7778	-103.54
23.2578	-106.04
22.6278	-108.24
21.9278	-110.34
21.0178	-112.44
20.2378	-115.14
19.7378	-117.64
19.1578	-119.74
18.5478	-121.74
17.8278	-123.94
16.7878	-125.94
16.3578	-127.94
15.3078	-130.24
14.8578	-132.54
14.2778	-134.94
13.5378	-137.24
12.5078	-139.64
11.4308	-141.84
10.9498	-143.94
10.3548	-146.04
9.4978	-148.24
8.5498	-150.24
7.1928	-152.64
6.9068	-154.94
6.3158	-156.94
5.4588	-159.04
4.7258	-161.14
3.7538	-163.34
3.0968	-165.34
2.2679	-167.34
0.9773	-169.44
0.1958	-171.84
-0.3892	-173.94
-1.1232	-176.04
-1.9422	-178.14
-3.1522	-180.24
-3.5992	-182.34
-4.2472	-184.54
-5.0282	-186.74
-5.9712	-188.84
-7.3002	-191.24
-8.3382	-193.74
-8.8722	-195.74
-9.8622	-197.84
-10.8722	-199.94
-11.3522	-202.04
-12.5522	-204.24
-13.1122	-206.44
-13.9222	-208.54
-14.9022	-211.14
-15.4222	-213.34
-16.7722	-215.64
-17.1922	-217.94
-17.8522	-220.04
-19.4722	-222.24
-19.9222	-224.44
-20.9422	-226.84
-21.8022	-229.24
-22.5822	-231.44
-23.5022	-233.44
-24.4322	-235.84
-25.3922	-238.34
-25.8522	-240.34
-26.4122	-242.74
-27.1422	-245.34
-28.1922	-247.54
-28.7922	-249.64
-29.9122	-252.04
-30.5322	-254.24
-31.1422	-256.54
-32.0222	-258.64
-32.8422	-260.74
-33.2222	-263.04
-33.8222	-265.04
-34.5122	-267.44
-35.1022	-269.64
-36.0722	-271.74
-37.0322	-274.14
-37.4622	-276.44
-38.1122	-278.54
-38.6822	-281.04
-39.2722	-282.84
-40.1822	-285.24
-40.6322	-287.44
-41.1622	-289.64
-42.1822	-292.44
-42.6022	-294.74
-43.0522	-296.84
-43.7522	-298.84
-44.6422	-300.94
-45.2022	-303.24
-46.0722	-305.84
-46.4622	-308.34
-46.9722	-310.94
-47.5522	-313.34
-48.2322	-315.54
-49.1622	-318.04
-50.1222	-320.54
-50.3822	-322.64
-50.9022	-325.44
-51.6322	-327.84
-52.2722	-329.84
-53.2422	-332.14
-53.8722	-334.24
-54.3622	-336.54
-55.2022	-338.54
-55.8222	-341.04
-56.3522	-343.74
-56.9722	-345.84
-57.9922	-348.24
-58.4522	-350.34
-59.0222	-352.34
-59.5922	-354.64
-60.1722	-356.84
-60.9322	-359.34
-62.1322	-361.84
-63.3022	-363.94
-63.9422	-366.34
-64.4122	-368.44
-65.1822	-370.54
-66.5722	-372.74
-67.5122	-374.94
-67.9522	-377.64
-68.4522	-379.44
-69.3022	-381.44
-70.0522	-383.54
-71.8722	-385.54
-72.3122	-387.94
-72.8522	-390.04
-73.3922	-392.14
-75.4422	-394.44
-75.8622	-396.74
-76.3522	-398.94
-76.9622	-401.04
-78.7422	-403.04
-79.9622	-405.44
-81.5122	-407.34
-83.7222	-409.74
-84.1722	-411.84
-85.2722	-413.84
-87.9322	-415.74
-89.6222	-415.64
-90.5322	-414.34
-90.5822	-412.24
-90.6022	-410.24
-90.6222	-408.14
-90.6622	-405.94
-90.6622	-403.74
-90.6722	-406.04
-90.6622	-403.94
-90.6422	-401.84
-90.6422	-399.64
-90.6322	-397.74
-90.6422	-395.64
-90.6422	-397.74
-90.6422	-395.74
-90.6422	-393.34
-90.6422	-395.94
-90.5322	-393.34
-90.4522	-391.54
-90.3422	-389.24
-90.2522	-387.44
-90.1422	-385.24
-90.0422	-382.94
-89.9222	-380.54
-89.8122	-378.94
-89.7122	-376.54
-89.5722	-374.14
-89.4722	-371.84
-89.3422	-369.54
-89.2322	-367.44
-89.1222	-365.14
-88.9822	-362.64
-88.8222	-360.64
-88.7122	-357.94
-88.5522	-355.44
-88.3822	-352.14
-88.1922	-349.34
-88.0522	-346.74
-87.9322	-344.54
-87.6722	-341.24
-87.5522	-339.14
-87.4122	-337.14
-87.2422	-334.84
-87.0722	-332.64
-86.9522	-330.44
-86.8222	-328.14
-86.6722	-325.74
-86.5022	-323.14
-86.3322	-320.84
-86.1822	-318.64
-86.0422	-316.54
-85.8522	-313.84
-85.6822	-311.74
-85.5122	-309.24
-85.3322	-306.54
-85.0922	-303.04
-84.8822	-300.54
-84.7322	-298.54
-84.5722	-296.24
-84.4122	-294.04
-84.2522	-292.04
-84.1422	-290.04
-83.9522	-287.94
-83.7922	-285.74
-83.6322	-283.44
-83.4922	-281.34
-83.3522	-279.24
-83.2022	-276.94
-82.9722	-274.84
-82.8222	-272.54
-82.6522	-270.14
-82.4822	-267.94
-82.3022	-265.84
-82.1622	-263.24
-81.9922	-261.04
-81.8222	-258.84
-81.6522	-256.34
-81.5122	-254.24
-81.2922	-251.44
-81.1022	-248.94
-80.9022	-246.14
-80.7422	-243.94
-80.6222	-241.74
-80.4922	-239.64
-80.2822	-237.04
-80.1022	-234.84
-79.9022	-232.24
-79.7722	-230.04
-79.5522	-227.54
-79.3422	-224.74
-79.1622	-222.14
-79.0022	-220.04
-78.8222	-217.84
-78.6722	-215.54
-78.4622	-213.04
-78.3022	-210.94
-78.0922	-208.44
-77.9722	-206.44
-77.7822	-204.14
-77.6122	-201.84
-77.4122	-199.14
-77.2422	-196.94
-77.0722	-194.44
-76.9022	-192.24
-76.6922	-190.24
-76.5422	-187.84
-76.2922	-185.34
-76.1622	-183.14
-75.9522	-180.74
-75.8122	-178.74
-75.5822	-176.54
-75.4422	-174.44
-75.1822	-172.24
-74.9522	-170.04
-74.7922	-168.04
-74.6622	-165.74
-74.4722	-163.24
-74.2322	-160.84
-74.1022	-158.84
-73.7822	-156.54
-73.7522	-154.34
-73.6722	-156.34
-70.0322	-116.04
-65.9622	-75.63
-60.9422	-35.68
-55.9122	-7.58
-50.9122	15.201
-45.9122	32.99
-40.8922	49.44
-35.7822	66.29
-30.7422	84.34
-25.6822	101.43
-20.6222	115.76
-15.5522	131.16
-10.4722	143.56
-5.4852	156.66
-0.4422	169.36
4.5678	181.36
9.6358	194.36
14.6878	206.06
19.7678	217.96
24.8178	230.56
29.8678	243.86
34.8678	256.96
39.9578	270.96
45.1278	284.96
50.1078	299.26
55.1778	313.76
60.1578	329.66
65.1978	344.66
70.2278	359.86
75.2878	374.36
80.3178	386.36
85.3478	397.46
88.0978	400.76
89.4478	402.06
87.0178	361.66
84.0878	321.56
80.9678	281.26
77.6678	240.96
74.1778	200.06
70.4178	159.36
66.3078	118.86
61.9178	78.46
56.8978	40.43
51.8278	8.905
46.8178	-12.45
41.7078	-29.41
36.7278	-45.16
31.6778	-61.73
26.6078	-78.66
21.5478	-96.84
16.4578	-113.44
11.3838	-127.94
6.2918	-143.24
1.2344	-156.04
-3.8372	-169.54
-8.9322	-181.64
-14.0422	-193.54
-19.0622	-204.54
-24.0922	-214.74
-29.1922	-230.14
-34.3622	-243.44
-39.3722	-256.04
-44.3922	-269.24
-49.5222	-288.14
-54.5422	-301.24
-59.5622	-317.14
-64.5922	-331.84
-69.7222	-350.14
-74.8122	-364.24
-79.8522	-379.24
-84.8822	-393.24
-89.9622	-402.44
-90.6722	-400.14
-88.3622	-359.04
-85.6522	-319.34
-82.7222	-279.14
-79.7022	-238.64
-76.5822	-198.64
-73.0622	-157.64
-69.3122	-117.24
-65.0522	-77.25
-60.0322	-38.16
-54.9522	-9.48
-49.8422	12.9949
-44.7822	29.46
-39.7822	44.74
-34.6922	62.11
-29.6322	79.47
-24.5722	96.41
-19.5022	112.33
-14.3722	126.56
-9.2222	140.26
-4.0422	154.26
0.9201	165.96
6.1398	179.56
11.2878	191.46
16.3178	202.76
21.5078	213.16
26.5178	226.06
31.5478	236.86
36.6978	251.06
41.6078	262.96
46.7478	278.26
51.8678	293.26
56.9778	305.56
62.0778	321.66
67.1878	337.76
72.2078	351.66
77.1678	363.66
82.1778	378.06
85.0878	381.66
88.5778	387.96
89.2478	388.56
89.3178	386.96
87.7778	346.46
84.7078	306.36
81.5778	266.16
78.1078	225.66
74.4878	185.16
70.6478	144.86
66.4078	104.41
61.7178	64.18
56.6978	30.12
51.6778	2.85
46.6178	-14.73
41.5678	-30.05
36.3678	-45.63
31.2378	-63.95
26.2878	-80.01
21.1978	-96.94
16.1278	-113.04
11.0878	-128.54
6.1348	-142.24
1.0773	-154.24
-3.9712	-166.84
-9.0522	-179.64
-14.0922	-191.84
-19.0722	-204.04
-24.1322	-213.54
-29.1522	-226.34
-34.1722	-238.54
-39.3022	-252.94
-44.2822	-265.94
-49.4122	-281.04
-54.4022	-295.74
-59.4722	-310.94
-64.5722	-327.34
-69.6022	-340.64
-74.5822	-353.24
-79.6022	-367.54
-84.6222	-380.34
-89.6322	-390.14
-90.5522	-391.24
-90.6622	-390.14
-89.5722	-349.84
-86.9622	-309.34
-83.9322	-269.14
-80.7622	-228.14
-77.4122	-188.54
-73.7022	-147.44
-69.6522	-106.64
-65.1322	-66.94
-60.0422	-30.34
-55.0322	-5.17
-50.0222	15.431
-44.9522	29.59
-39.9522	44.63
-34.7922	61.79
-29.7722	78.44
-24.7722	94.1
-19.7722	110.63
-14.7322	124.46
-9.7222	138.26
-4.6332	151.16
0.4148	163.86
5.4778	175.76
10.4788	186.96
15.7478	200.26
20.8278	211.06
25.8278	221.96
30.8278	233.36
35.8478	244.76
41.0078	258.56
46.0178	270.36
51.0178	284.56
56.0878	298.76
61.1178	312.56
66.2478	326.76
71.3078	340.86
76.2578	353.66
81.3378	367.66
86.3778	377.66
91.4378	391.06
96.4578	398.16
101.4674	405.36
106.5674	409.96
111.6674	415.86
116.6674	418.36
119.3674	416.76
119.3674	413.46
118.0674	372.66
114.9674	332.76
111.6674	291.66
108.0674	251.46
104.3674	210.56
100.3378	169.56
96.0378	129.46
91.3278	89.67
86.2578	52.37
81.1978	21.206
76.1978	-2.16
71.0978	-21.61
66.1478	-33.67
61.1078	-46.49
55.9878	-60.35
50.8978	-75.37
45.8078	-90.14
40.8378	-101.74
35.7578	-115.54
30.7478	-128.24
25.7778	-138.34
20.7178	-149.64
15.6978	-160.74
10.6068	-172.84
5.5348	-182.34
0.4248	-192.04
-4.5522	-200.14
-9.6522	-210.54
-14.7822	-221.04
-19.8722	-229.94
-24.8922	-238.14
-30.0122	-249.44
-35.0422	-259.04
-40.2022	-270.84
-45.2722	-280.54
-50.3222	-292.64
-55.3422	-304.54
-60.3822	-314.94
-65.4322	-324.24
-70.4922	-336.54
-75.5922	-350.74
-80.6222	-360.44
-85.6422	-370.44
-90.6522	-381.74
-95.7522	-390.54
-100.8326	-398.14
-105.7326	-405.74
-110.8326	-414.24
-115.8326	-419.84
-120.2326	-420.64
-120.4326	-416.04
-120.5326	-414.44
-119.2326	-373.74
-116.4326	-333.24
-113.2326	-293.14
-109.5326	-252.24
-105.8326	-211.74
-102.0326	-171.84
-97.8122	-130.34
-93.2322	-90.94
-88.2122	-53.08
-83.1122	-23.97
-78.0422	-0.69
-72.9222	17.775
-67.8222	29.14
-62.7022	40.51
-57.6722	52.66
-52.6022	65.34
-47.5122	80.08
-42.4922	92.37
-37.4522	106.35
-32.3822	117.96
-27.3822	130.46
-22.3622	141.26
-17.2922	151.86
-12.2122	161.56
-7.0852	171.66
-2.0282	180.96
2.9918	190.16
8.0638	199.16
13.1378	208.76
18.1478	215.16
23.1878	225.46
28.2678	233.36
33.3478	242.66
38.4378	251.96
43.6778	261.36
48.6678	268.66
53.6878	278.16
58.7278	287.86
63.9578	298.66
68.9578	307.26
73.9778	317.36
78.9878	326.36
84.1278	336.96
89.1078	345.26
94.1278	355.56
99.1678	364.56
104.1674	372.26
109.1674	378.86
114.1674	388.96
118.8674	389.86
119.3674	387.76
119.3674	387.16
116.3674	346.16
112.9674	306.26
109.4674	265.96
105.5674	225.86
101.4374	184.86
96.9578	144.36
92.0578	103.98
86.9778	66.6
81.9178	35.21
76.8878	11.785
71.7178	-10.49
66.6878	-22.3
61.6678	-33.15
56.6278	-43.52
51.5778	-56.62
46.4878	-69.36
41.4678	-83.47
36.3878	-95.04
31.3378	-106.64
26.1878	-120.64
21.1278	-132.34
15.7378	-145.34
10.7218	-154.74
5.6208	-164.64
0.4538	-176.04
-4.4992	-184.84
-9.6622	-194.64
-14.6922	-202.14
-19.7922	-213.64
-24.9922	-222.54
-30.1022	-232.04
-35.1222	-240.74
-40.1922	-250.34
-45.1222	-259.64
-50.2322	-269.84
-55.2722	-279.64
-60.3522	-291.04
-65.4222	-301.74
-70.5622	-310.94
-75.6222	-323.64
-80.6122	-333.74
-85.6922	-343.04
-90.6422	-354.64
-95.7222	-364.74
-100.7326	-373.24
-105.9326	-383.14
-111.0326	-392.34
-115.9326	-397.04
-119.5326	-400.44
-120.5326	-396.84
-117.8326	-356.44
-114.6326	-315.94
-111.1326	-274.64
-107.2326	-234.14
-103.2326	-193.34
-99.1326	-153.24
-94.5822	-112.84
-89.5022	-73.97
-84.4822	-40.1
-79.4822	-14.63
-74.4322	6.898
-69.4222	20.088
-64.4022	28.9
-59.3822	37.58
-54.4022	47.94
-49.3322	59.24
-44.2122	72.43
-38.9622	86.02
-33.8022	98.48
-28.7922	110.43
-23.7122	122.16
-18.6422	133.76
-13.5622	144.36
-8.4382	155.46
-3.3372	164.96
1.6773	173.56
6.7208	182.56
11.8278	190.86
16.9178	199.76
21.9278	208.76
26.9378	217.06
32.0178	225.76
37.2578	235.06
42.5778	244.46
47.5478	252.56
52.5678	262.06
57.7078	268.96
62.7078	278.76
67.7878	288.26
72.8278	297.66
77.8778	307.26
82.9678	315.86
88.0278	324.46
93.0978	331.76
98.1178	341.46
103.1674	351.36
108.2674	356.66
113.2674	364.06
116.5674	366.96
119.1674	366.76
119.1674	365.06
118.1674	324.36
114.5674	283.66
110.8674	242.86
106.8674	203.16
102.4674	161.66
97.5378	121.36
92.3278	82.04
87.3478	50.71
82.4078	24.29
77.3278	0.54
72.2778	-16.8
67.1078	-25.9
61.9278	-35.06
56.9478	-44.05
51.8578	-55.15
46.7078	-66.12
41.7578	-78.48
36.6478	-89.04
31.6878	-100.84
26.5278	-111.94
21.4478	-123.24
16.3978	-133.04
11.2838	-144.84
6.1778	-153.74
1.0582	-163.04
-4.1332	-172.34
-9.1722	-181.94
-14.2222	-190.94
-19.3922	-201.64
-24.3222	-207.94
-29.5222	-219.24
-34.5222	-226.84
-39.5022	-236.54
-44.6422	-247.54
-49.6622	-257.64
-54.6722	-266.84
-59.8122	-278.14
-64.9522	-287.64
-70.0022	-297.24
-75.1922	-308.74
-80.2922	-318.04
-85.3822	-326.64
-90.4722	-335.44
-95.4622	-342.44
-100.6326	-351.54
-105.7326	-357.64
-110.7326	-362.74
-115.6326	-367.44
-119.8326	-370.64
-120.7326	-367.84
-120.8326	-363.64
-119.3326	-323.34
-116.0326	-282.94
-112.1326	-242.84
-108.0326	-202.44
-103.7326	-162.04
-98.7326	-117.24
-93.7322	-80.56
-88.5422	-45.76
-83.5422	-20.88
-78.4822	1.52
-73.3122	17.637
-68.1722	27.17
-63.0222	33.35
-57.9322	40.43
-52.9222	47.77
-47.7822	57.85
-42.4822	69.02
