"Sritharan 1996_Specimen_No._IC2"	
10.6978	161.66
12.6678	182.16
14.5678	203.26
16.3678	223.76
18.0478	243.66
19.8578	264.26
21.6378	284.66
23.4378	305.46
25.4178	325.56
27.4678	345.86
29.4578	359.66
29.7178	359.76
28.8078	338.86
27.8378	319.06
26.8078	298.76
25.7278	278.16
24.6078	257.66
23.5178	237.06
22.3478	216.56
21.1678	195.46
19.8678	174.06
18.5778	152.86
17.2578	131.46
15.8678	110.09
14.5078	90.89
12.8978	70.53
10.2468	39.18
8.1948	18.878
6.1548	-1.62
4.0688	-14.56
1.9808	-29.98
-0.0413	-41.6
-2.1182	-56.72
-4.1382	-70.97
-6.2202	-87.24
-8.2752	-102.94
-10.4822	-121.44
-12.4522	-137.14
-14.4622	-154.94
-16.4922	-175.54
-18.5022	-195.44
-20.5222	-214.44
-22.5822	-233.74
-24.6122	-252.34
-26.6122	-270.94
-28.6122	-287.54
-30.6122	-303.14
-30.6522	-304.34
-29.6422	-282.94
-28.7122	-262.24
-27.6222	-240.94
-26.4922	-220.24
-25.3222	-199.44
-24.0922	-178.24
-22.7822	-156.54
-21.4222	-134.64
-20.0622	-113.14
-18.5822	-91.44
-17.0522	-70.63
-15.3422	-49.78
-13.3222	-31.26
-11.3122	-13.2
-9.3282	2.04
-7.2772	15.048
-5.2432	32.04
-3.1722	48.46
-1.1542	64.02
0.8588	79.02
2.8848	94.11
4.9748	109.37
7.0628	126.56
9.0538	142.56
11.1178	161.26
13.1478	181.86
14.9578	202.46
16.7478	222.96
18.4778	242.46
20.2478	262.86
22.0078	283.56
23.9178	303.56
25.8478	324.16
27.8578	343.46
29.3778	354.96
29.6178	355.86
29.2178	333.36
28.2578	313.26
27.2378	293.46
26.1178	272.06
24.9678	251.06
23.7978	230.06
22.5578	209.16
21.2278	186.86
19.9778	166.06
18.7778	146.66
17.4078	125.86
16.0978	105.63
14.6478	85.47
12.9878	65.02
11.1478	43.24
9.2928	23.274
7.2848	4.11
5.2278	-10.58
3.2468	-23.62
1.2176	-36.7
-0.7682	-50.24
-2.8132	-64.54
