"Ng 1978, Spec. 2"	
42.263	27.796
43.962	28.355
46.037	28.774
47.734	29.332
50.376	30.031
52.075	30.59
53.96	31.009
55.659	31.288
58.113	31.847
59.433	31.986
61.13	32.126
61.697	32.126
62.263	32.405
62.451	32.126
62.451	31.288
62.263	30.45
61.885	29.332
61.697	28.634
61.509	27.517
60.942	26.12
60.564	24.863
60.188	23.326
59.809	22.349
59.055	20.952
58.867	20.114
57.922	18.717
57.546	17.739
56.792	16.063
56.225	14.946
55.471	13.689
54.15	12.292
53.584	11.035
52.639	9.7776
51.697	8.7999
50.754	7.1234
50	6.425
49.433	5.587
48.301	4.1904
47.358	2.9332
46.601	1.8158
45.093	0.27936
43.962	-0.83809
42.075	-2.3745
41.509	-2.9332
39.809	-4.0507
38.489	-5.1679
37.358	-6.1457
35.847	-7.1234
33.962	-8.2412
32.642	-9.2189
31.13	-9.9173
29.621	-11.035
27.734	-12.012
25.659	-12.711
23.773	-13.409
21.886	-14.108
20.566	-14.806
18.867	-15.644
17.169	-16.482
16.037	-16.761
13.207	-17.739
11.509	-18.437
9.811	-18.856
7.7356	-19.275
6.2263	-19.695
3.3962	-20.533
1.6981	-20.672
-0.18867	-21.231
-1.5094	-21.231
-3.5847	-21.65
-5.8489	-21.93
-8.113	-22.349
-10.943	-22.628
-13.773	-23.187
-16.037	-23.326
-18.49	-23.746
-20.566	-23.885
-23.018	-24.304
-25.282	-24.584
-26.98	-24.444
-28.489	-24.584
-29.621	-24.584
-31.321	-24.584
-33.396	-25.003
-35.847	-25.561
-38.301	-25.701
-40.942	-26.26
-43.772	-26.958
-45.847	-27.098
-47.734	-27.656
-49.621	-27.936
-51.697	-28.494
-53.205	-29.053
-54.905	-29.612
-56.98	-30.31
-58.677	-30.59
-60.376	-31.288
-61.318	-31.707
-62.075	-31.986
-62.263	-31.428
-62.451	-30.59
-62.451	-29.612
-62.263	-28.913
-62.075	-27.936
-61.13	-25.561
-60.564	-24.165
-60.188	-22.628
-59.621	-21.231
-59.055	-19.834
-58.301	-18.018
-57.168	-16.622
-56.037	-14.666
-55.093	-13.549
-54.338	-11.873
-53.205	-10.616
-51.885	-8.9396
-51.321	-7.8222
-49.809	-6.1457
-48.489	-4.7489
-47.168	-3.2126
-45.847	-1.8158
-43.962	-0.5587
-43.584	0
-42.642	0.69837
-40.942	2.5142
-39.433	3.6317
-38.113	4.7489
-36.413	5.7266
-34.717	6.844
-33.396	7.5429
-31.697	8.7999
-30	10.057
-28.113	10.895
-26.038	11.873
-23.584	12.99
-20.943	14.108
-18.867	15.085
-16.981	15.644
-15.094	16.342
-12.641	17.041
-10.566	17.599
-7.9243	18.298
-5.6601	18.577
-3.2075	19.136
-0.56601	19.834
0.18867	19.695
1.3207	19.834
3.7734	20.393
5.4717	20.812
7.9243	21.091
9.9997	21.511
11.509	21.93
13.773	22.209
17.547	22.907
19.622	23.187
22.264	23.606
25.282	23.885
27.17	24.165
29.809	24.584
32.263	25.142
34.717	25.561
37.358	25.98
39.433	26.539
42.642	27.098
44.717	27.656
46.225	27.936
48.679	28.494
50.754	29.193
53.205	29.751
55.471	29.891
58.301	30.31
60.376	30.729
62.451	31.148
65.281	31.428
67.168	31.707
70.188	31.986
71.509	32.126
74.905	32.126
76.98	32.405
79.621	32.405
82.072	32.266
84.338	32.266
86.789	31.986
89.243	31.707
90.942	31.707
92.451	31.567
93.205	31.148
93.772	31.009
93.96	30.59
93.205	29.472
