"Graff, 2001, C5"	
5014	
3.703736712	63.91758818
3.886575183	65.32575051
3.953671849	66.8588646
4.11302647	68.65820225
4.255606907	70.22925482
4.27741334	71.78651426
4.419993776	73.13797413
4.584380646	74.49563232
4.622961239	76.08249628
4.835993198	78.32556573
5.117799239	79.96348679
5.02050906	78.5150878
4.893025368	76.8061385
4.817541597	74.93666599
4.71521917	73.26419712
4.668251497	71.54843837
4.617928991	70.22627196
4.515606539	68.86153303
4.490445299	66.07089557
4.237155331	64.54171886
4.188510241	63.03514476
4.133155462	61.71278768
3.978833114	60.40957154
3.896639679	58.94438964
3.811091413	57.02431968
3.70038188	55.06065957
3.462188681	53.55555714
3.520898267	51.66247647
3.281027626	50.10585918
3.217285793	48.2689901
3.128382694	46.78017653
3.031092515	45.06376742
2.955608745	43.40405934
2.85664115	41.58714287
2.695609112	40.05231235
2.573157668	38.332978
2.506060977	36.6080178
2.366835373	34.87047976
2.341674133	32.96388418
2.137029254	31.25082538
2.033029386	29.48599635
1.99780365	27.48001704
1.840126444	25.774217
1.731094328	23.99779096
1.615352573	22.04822539
1.45264312	20.14448256
1.407352862	18.31405969
1.378836765	16.3326774
1.214449895	14.32220491
1.100385556	12.62416122
1.003095352	10.61935428
0.912514837	8.753724401
0.790063393	7.006337254
0.711224816	4.921013431
0.580386292	3.064040554
0.42941875	1.497031728
0.236515808	-0.163180506
0.1073547	-1.694598233
-0.112386948	-4.571512368
-0.249935136	-6.606575209
-0.410967174	-8.697900368
-0.436128414	-10.67138175
-0.525031513	-12.64881722
-0.733031224	-14.56149949
-0.754837657	-16.62742157
-0.889031013	-18.67117075
-0.984643776	-20.35404547
-1.080256539	-22.45561008
-1.182578991	-24.5495422
-1.320127179	-26.22615115
-1.405675446	-28.07115136
-1.4610302	-30.10699772
-1.679094407	-31.72758617
-1.699223424	-33.80709322
-1.868642542	-35.48752622
-1.949158535	-37.4213773
-2.073287395	-39.16048807
-2.182319511	-40.8918481
-2.289674186	-42.41144187
-2.390319222	-44.20435126
-2.41212563	-45.88702069
-2.636899501	-47.52762679
-2.6838672	-49.00104137
-2.792899291	-50.60034566
-2.886834638	-52.20602086
-2.999221586	-53.6216636
-3.108253677	-55.14641302
-3.13006011	-56.73265265
-3.329672741	-58.0224938
-3.393414575	-59.50294974
-3.633285215	-60.821524
-3.603091702	-62.3102049
-3.702059296	-63.649175
-3.831220405	-65.11525222
-3.951994433	-66.47346106
-4.101284558	-69.3144138
-4.314316517	-71.90823383
-4.47534853	-73.27306827
-4.726961082	-75.52887537
-4.815864181	-76.9109825
-4.70683209	-74.04022446
-4.658187001	-72.21651009
-4.488767883	-70.59484485
-4.373026103	-68.76169267
-4.274058508	-67.06309473
-4.149929648	-65.38111885
-4.025800788	-63.84133314
-3.98051053	-62.20838827
-3.834575237	-60.61944584
-3.688639968	-59.24115121
-3.628252967	-57.77417859
-3.390059743	-56.28072146
-3.289414732	-53.25466797
-3.255866386	-51.55982124
-3.046189259	-48.70535844
-2.87341531	-47.23781891
-2.737544538	-45.78081087
-2.688899448	-44.21019246
-2.547996403	-42.56313804
-2.537931907	-40.97145363
-2.39535147	-39.51991342
-2.204125919	-37.73999559
-2.059868067	-36.08041593
-1.912255383	-32.79736172
-1.813287763	-30.87199509
-1.736126576	-29.16866451
-1.60193322	-27.32085576
-1.442578624	-25.63930059
-1.336901339	-23.69176717
-1.303352994	-21.68781453
-1.209417647	-19.66828217
-1.130579044	-17.93191117
-0.961159927	-16.09142762
-0.848773004	-14.13614759
-0.746450552	-12.0411488
-0.53677345	-10.27640616
-0.548515362	-8.489079258
-0.410967174	-6.45545099
-0.362322059	-4.559602456
-0.137548188	-2.632595071
-0.139225604	-0.658281458
-0.050322505	0.902181679
0.340515651	2.877580017
0.362322059	4.571418448
0.571999186	6.370677453
0.592128204	8.58202764
0.811869827	10.39841915
0.821934323	12.2101786
0.967869616	14.33168932
1.083611371	16.3663194
1.103740388	18.1127804
1.231224081	20.0065134
1.373804517	21.89442478
1.516384953	23.61864042
1.516384953	25.75213838
1.769674921	27.46520204
1.767997505	29.23410728
1.887094118	31.31730997
1.984384296	33.00096624
2.143738918	34.76106412
2.150448582	36.91107624
2.309803204	38.57364181
2.437286896	40.22208022
2.536254491	42.04237329
2.660383351	43.72082136
2.781157379	45.10651358
2.829802468	46.97359421
2.965673241	48.56608367
3.059608587	50.11488476
3.116640782	51.53817386
3.307866308	53.21988699
3.371608167	54.60839563
3.450446744	56.39602442
3.685285136	57.779689
3.678575472	59.1950719
3.854704254	60.75438153
3.921800919	62.31072652
4.062703965	63.63434201
4.134832878	65.15433723
4.260639155	66.45394541
4.371348687	68.87826927
4.55921938	70.32674775
4.619606407	71.71634817
4.720251418	73.50638058
4.849412526	75.24366208
4.998702626	76.59517495
5.032250972	77.99481229
4.934960793	75.51659088
4.837670614	73.80131368
4.700122426	71.71426326
4.626316071	70.05331751
4.515606539	68.46998251
4.451864706	66.50431642
4.238832747	65.19618366
4.066058797	62.62175912
4.000639522	60.85746566
3.903349343	59.2443022
3.686962552	57.26187804
3.61651103	55.59903938
3.470575761	53.9754215
3.472253177	52.41677604
3.249156722	50.76570631
3.173672952	49.36707771
3.083092437	47.39714394
2.970705489	46.09184615
2.927092647	44.28050624
2.811350892	42.64173299
2.698963944	40.91375627
2.558060924	39.0676892
2.526189995	37.40221309
2.334964444	35.79952293
2.234319433	33.94303131
2.224254937	32.04924311
2.03135197	30.19743664
1.977674632	28.54406
1.89883603	26.61361416
1.759610425	24.60366398
1.613675157	22.8345074
1.598578388	20.89818849
1.42915927	19.25285085
1.382191597	17.23574271
1.263094985	15.22333583
1.100385556	13.37976773
1.003095352	11.45158695
0.930966439	9.532353371
0.733031224	7.660654095
0.655870037	5.746321491
0.61057978	3.906827999
0.454580015	1.867731915
0.192902967	0.137825257
-0.015096744	-1.233195668
-0.062064417	-3.161777137
-0.231483535	-5.077399878
-0.369031749	-7.303030092
-0.457934847	-9.245738645
-0.526708929	-11.56806166
-0.733031224	-13.54786649
-0.769934401	-15.74972248
-0.872256828	-17.52013276
-1.02322437	-19.51089883
-1.165804806	-21.75281946
-1.194320903	-23.34265997
-1.289933666	-25.69864175
-1.501288209	-27.74363541
-1.571739732	-29.65050454
-1.672384743	-31.33629043
-1.710965336	-33.32669593
-1.960900472	-35.30369508
-1.918965047	-37.21061837
-2.081674501	-39.10327429
-2.200771087	-40.89840798
-2.313158036	-42.55814414
-2.42051271	-44.43477767
-2.509415809	-46.18661851
-2.651996271	-47.95447253
-2.794576707	-49.52427278
-2.940512001	-51.02098406
-2.937157143	-52.83171134
-3.078060189	-54.33052494
-3.16193104	-55.9864995
-3.277672794	-57.42629013
-3.334704989	-58.86520627
-3.492382169	-60.32839778
-3.636640047	-61.76748043
-3.70038188	-63.33713719
-3.784252731	-64.7795518
-3.958704097	-66.19971703
-4.136510294	-67.51785313
-4.099607142	-68.95737389
-4.233800499	-70.31253249
-4.374703519	-71.73142672
-4.48373561	-73.03076762
-4.581025814	-74.34076893
-4.737025578	-75.68521991
-4.893025368	-78.19537386
-5.043992909	-79.55793884
-5.283863524	-81.82041121
-5.456637474	-83.92892516
-5.691475866	-85.82352378
-5.891088472	-87.88018688
-6.094055935	-89.65488443
-6.266829884	-91.28384393
-6.572119774	-93.00577558
-6.751603388	-94.96437291
-6.979732116	-96.62225953
-7.211215651	-98.10041086
-7.41586053	-99.80677049
-7.71276334	-101.1431832
-7.981150052	-103.280705
-8.261278677	-105.0898351
-8.544762159	-106.4280395
-8.719213524	-107.9074968
-8.989277653	-109.1459589
-9.13353553	-110.5737287
-9.443857668	-111.6469264
-9.658567043	-112.9189496
-9.967211765	-114.5177623
-10.38992085	-116.048459
-10.72037201	-117.8625079
-11.05921024	-119.6437829
-11.35108078	-121.4604501
-11.66643519	-122.7121963
-11.96166058	-123.9907236
-12.09920877	-125.2274626
-12.39946641	-126.3816685
-12.6443693	-128.1232362
-12.95804627	-129.1030222
-13.29352967	-130.9174904
-13.54346479	-132.4039061
-13.76488385	-133.6465804
-14.10875433	-135.2552448
-14.55326983	-136.711037
-14.74952763	-138.3866462
-15.08333359	-139.9405784
-15.06991426	-138.53227
-14.91223705	-135.8357979
-14.63378585	-133.4879319
-14.47107639	-132.0991771
-14.31675402	-129.8857435
-14.1943026	-128.5993053
-14.14062524	-127.3016562
-14.01649638	-125.5957462
-13.81017411	-123.4382219
-13.55017447	-121.2696427
