SPECIMEN A7			
DISP(mm)	SHEAR(kN)		
3.793482939	29.25956478		
5.054911226	36.13500859		
4.456422431	27.91976392		
3.19039174	19.59760794		
1.94737924	12.37137253		
0.676744595	3.608028333		
-0.566267905	-5.796804047		
-1.832299358	-15.73184223		
-1.275245329	-6.837534464		
-0.018420994	4.686944723		
1.238401816	14.57753393		
2.499830078	22.29096654		
3.75204896	28.97525306		
4.985855052	35.77995514		
4.502460388	28.18430015		
3.25484396	20.03502062		
1.988813244	12.5926983		
0.750404697	3.880447103		
-0.515625994	-5.489039259		
-1.767846375	-15.25258183		
-1.316679333	-7.247361997		
-0.069062905	4.295406134		
1.201571765	14.29467011		
2.453792146	22.06827723		
3.68759674	28.64270826		
4.958231384	35.60452091		
4.57612049	28.81279969		
3.291674011	20.31783991		
2.053265464	13.03006257		
0.78263082	4.413362343		
-0.46038168	-5.012395849		
-1.735620278	-14.84536305		
-1.362716528	-7.909885499		
-0.105892956	3.949713245		
1.150931379	13.92408978		
2.384735972	21.58770161		
3.65997457	28.50908834		
4.893779163	35.18817526		
4.608346613	29.09441977		
3.365334113	20.54841395		
2.099303421	13.2945989		
0.851686994	4.66352921		
-0.414343723	-4.643126074		
-1.661960151	-14.4682196		
-2.918784485	-23.87696883		
-4.009872803	-28.37862384		
-2.799086426	-14.50033816		
-1.510036756	-4.432896794		
-0.276231401	4.487503084		
0.999007197	13.88063477		
2.242019697	21.37931333		
3.406768117	26.92821432		
2.149943808	14.88011294		
0.897724925	6.122062393		
-0.354495456	-3.117803462		
-1.620526909	-12.15216422		
-2.863539409	-20.73999079		
-4.055909998	-28.53823563		
-2.81289826	-14.29473724		
-1.569885786	-4.82706952		
-0.303853545	4.395817087		
0.939158929	13.486443		
2.218999956	21.20510653		
3.429786333	27.47949219		
2.200585693	15.3973544		
0.962177146	6.685129015		
-0.313061452	-2.477528354		
-1.569885786	-11.50924291		
-2.794483235	-19.73576815		
-4.055909998	-28.3288781		
-2.877350481	-14.75309599		
-1.59750793	-4.918760481		
-0.354495456	3.96238045		
0.911535261	13.22716483		
2.163755642	20.97980889		
3.425183904	27.64584973		
2.255830007	15.79022987		
1.00361115	7.03213816		
-0.257817112	-2.04277168		
-1.491621706	-10.87941055		
-2.766860303	-19.24605075		
-4.00526885	-27.89548203		
-2.904972651	-14.8238122		
-1.652753032	-5.290684369		
-0.391325506	3.679529052		
0.828668752	12.88927188		
2.122321638	20.7375351		
3.374542019	27.48476189		
2.311075845	16.28779932		
1.058855464	7.424982665		
-0.165741223	-1.388017179		
-1.454791655	-10.49176814		
-2.707011274	-18.72622155		
-3.977646706	-27.44764908		
-2.969425633	-15.26111307		
-1.694187036	-5.428205542		
-0.446569846	3.349515092		
0.805649036	12.65223548		
2.076285205	20.55678583		
3.323900109	27.23982184		
2.361716232	16.63739799		
1.127911638	8.010344531		
-0.165741223	-1.136654343		
-1.385735506	-9.948359157		
-2.679389129	-18.32024404		
-3.908590532	-26.94607098		
-3.006255684	-15.52307131		
-1.74943135	-5.737239265		
-0.483399897	3.150457462		
0.741196816	12.25675396		
2.021039367	20.20586282		
3.277863675	27.01711637		
2.430773904	17.20180426		
1.155533808	8.206761432		
-0.082874739	-0.484528638		
-1.353509383	-9.687785073		
-2.59191793	-17.89727362		
-3.871760481	-26.55848412		
-3.056896807	-15.95644775		
-1.790865354	-6.021422599		
-0.538645735	2.820448622		
0.708970693	11.91237791		
1.98420929	20.00678136		
3.208807527	26.70413096		
2.458396074	17.46104938		
1.22459148	8.708304106		
-0.041440735	-0.179413589		
-1.284453235	-9.12340045		
-2.555087879	-17.55158193		
-3.802704307	-25.99413644		
-3.102934002	-16.24201935		
-1.84611043	-6.330523326		
-0.575475786	2.474745263		
0.649122425	11.53915871		
1.892134925	19.6033527		
3.171977451	26.46320394		
2.532056201	18.06864382		
1.238401816	8.858874434		
0.018407532	0.319494703		
-1.247623159	-8.861484632		
-2.499842778	-16.99114885		
-3.75666635	-25.6039152		
-3.144368006	-16.69373468		
-1.901355532	-6.576712627		
-0.635324053	2.26910989		
0.59848054	11.16856159		
1.873719138	19.40961129		
3.093713396	26.12665986		
4.373555947	32.92353442		
