"Potangaroa 1979, Spec. 5b"	
-5.8329	320.68
-5.2497	343.59
-4.4996	366.49
-3.9997	387.32
-3.333	410.22
-2.4998	435.21
-1.6665	458.12
-0.99992	476.85
-0.49997	499.76
0.24998	526.85
0.99992	553.89
1.9165	574.71
2.4998	593.48
3.1664	608.03
4.083	628.85
5.083	658.03
5.6662	672.62
6.4996	691.34
7.666	716.34
8.4993	730.89
9.3327	751.71
10.499	768.39
11.249	785.02
12.082	795.43
12.916	810.02
13.582	822.52
14.749	832.93
15.332	841.25
15.999	851.66
17.082	860.02
18.165	868.34
19.082	870.43
19.915	872.52
20.582	876.66
21.665	876.66
22.582	876.66
23.331	876.66
23.998	874.56
24.748	872.52
25.499	866.25
26.248	862.11
26.998	855.84
27.666	853.75
28.247	845.43
28.997	841.25
29.497	832.93
30.081	830.84
30.582	824.61
30.914	822.52
30.914	812.11
30.914	795.43
30.914	778.79
30.998	757.98
31.082	743.39
30.998	722.57
30.998	707.98
30.998	687.16
30.998	670.53
31.082	655.93
31.082	635.12
31.082	614.3
30.998	595.53
30.914	574.71
30.831	551.8
30.747	524.76
30.582	508.08
30.665	489.35
30.498	466.44
30.33	439.37
30.33	408.14
30.165	376.9
29.997	351.92
29.83	326.93
29.665	314.43
29.581	304.02
29.413	289.45
29.248	274.87
29.08	254.05
28.832	233.22
28.58	210.32
28.247	187.41
27.831	164.5
27.414	133.27
27.081	114.53
26.581	91.624
26.248	72.88
25.916	58.307
25.415	39.564
25.081	22.906
24.498	8.3293
24.081	-4.1647
23.665	-18.741
23.248	-37.482
22.582	-56.221
21.748	-79.129
21.165	-99.952
20.498	-110.36
19.832	-141.6
19.248	-156.18
18.332	-183.24
17.749	-206.15
17.332	-216.56
16.749	-237.39
15.915	-258.21
15.332	-279.03
14.665	-299.85
13.749	-329.01
13.166	-351.92
12.249	-374.82
11.582	-397.72
10.582	-428.96
9.7493	-456.03
8.9159	-474.76
8.416	-495.58
7.7493	-518.48
7.0828	-537.26
6.2494	-562.21
5.4163	-585.12
4.333	-614.3
3.5832	-633.03
2.8331	-647.62
2.2498	-664.25
1.5832	-680.93
1.0833	-691.34
0.49997	-701.75
-0.16665	-718.39
-0.99992	-735.07
-1.6665	-751.71
-2.5832	-766.3
-3.4163	-774.61
-3.9997	-782.98
-4.9997	-793.38
-6.2494	-805.88
-7.0828	-810.02
-8.0828	-820.43
-8.666	-824.61
-10.083	-828.79
-11.083	-830.84
-12.166	-835.02
-13.082	-837.11
-13.832	-837.11
-14.665	-832.93
-15.499	-830.84
-16.499	-826.7
-17.499	-818.34
-18.249	-810.02
-18.998	-805.88
-19.582	-795.43
-20.498	-789.2
-21.165	-780.89
-22.081	-768.39
-22.998	-755.89
-23.665	-741.3
-24.248	-735.07
-24.665	-726.75
-25.081	-718.39
-25.58	-710.07
-26.165	-699.66
