"Potangaroa 1979, Spec. 3"	
-15.476	-423.92
-15.34	-407.42
-15.204	-387.63
-15.068	-367.83
-14.898	-351.34
-14.762	-333.19
-14.558	-308.45
-14.252	-296.91
-14.048	-280.41
-13.707	-258.97
-13.469	-242.47
-13.197	-224.33
-12.925	-204.53
-12.585	-191.34
-12.279	-173.2
-11.905	-151.75
-11.599	-133.61
-11.259	-120.41
-10.85	-107.22
-10.442	-87.421
-10	-67.631
-9.5918	-51.132
-9.2857	-39.587
-8.9456	-29.691
-8.5374	-14.845
-8.2654	-4.9486
-7.8572	11.546
-7.415	28.041
-7.0068	46.186
-6.5646	64.33
-6.0884	77.524
-5.7483	90.721
-5.3061	105.57
-4.8979	117.11
-4.3878	138.56
-3.7414	160
-3.2654	181.44
-2.8572	192.99
-2.3809	212.79
-1.7687	232.58
-1.2925	252.37
-0.57823	277.11
0	296.91
0.44219	316.7
0.81633	331.54
1.4966	356.29
2.2109	379.38
2.653	390.93
3.1974	412.37
3.8776	433.81
4.5578	456.92
4.966	471.73
5.3401	486.59
6.1224	511.32
6.7008	531.12
7.4491	557.54
7.9591	570.71
8.5374	590.5
9.1836	611.94
9.8301	631.74
10.408	651.53
11.02	664.74
11.769	684.54
12.551	702.69
13.061	709.27
13.537	714.21
13.912	717.54
14.252	719.19
14.388	719.19
14.49	719.19
14.388	709.27
14.422	697.75
14.456	687.83
14.422	677.95
14.422	663.1
14.32	644.95
14.354	626.8
14.286	608.65
14.15	593.79
14.116	572.35
14.048	557.54
13.98	539.39
13.878	521.24
13.775	503.09
13.707	486.59
13.64	465.15
13.435	450.29
13.265	432.16
13.027	412.37
12.959	390.93
12.687	372.78
12.415	354.64
12.177	333.19
11.973	316.7
11.735	298.56
11.394	272.16
11.02	247.42
10.646	224.33
10.408	206.18
10	186.39
9.6258	163.3
9.2517	140.21
8.9116	115.46
8.5374	90.721
8.0612	69.277
7.653	49.486
7.2448	34.639
6.9728	18.144
6.4625	0
5.9525	-21.443
5.5783	-39.587
5.034	-57.733
4.5237	-75.878
4.1156	-94.022
3.4694	-118.76
2.8913	-140.21
2.3469	-160
1.7007	-183.09
1.1905	-199.59
0.57823	-224.33
0.034013	-242.47
-0.40815	-257.32
-0.98638	-273.81
-1.6327	-296.91
-2.1088	-313.4
-2.585	-329.9
-3.1974	-349.69
-3.5034	-364.54
-3.9456	-376.08
-4.4557	-395.87
-4.762	-404.12
-5.238	-418.97
-5.7142	-433.81
-6.2245	-450.29
-6.6667	-463.5
-7.0409	-475.07
-7.5171	-488.24
-7.8572	-499.8
-8.3332	-512.97
-8.7414	-524.53
-9.2517	-536.1
-9.6258	-552.56
-10	-560.83
-10.442	-572.35
-10.884	-587.21
-11.361	-595.48
-11.837	-605.36
-12.143	-613.59
-12.585	-621.86
-12.959	-628.44
-13.333	-636.72
-13.674	-643.3
-14.15	-653.18
-14.524	-661.45
-15	-664.74
-15.272	-671.33
-15.544	-672.97
-15.884	-676.31
-16.19	-677.95
-16.395	-679.6
-16.531	-681.25
-16.633	-681.25
-16.633	-671.33
-16.633	-661.45
-16.599	-646.59
-16.599	-631.74
-16.565	-610.3
-16.463	-588.86
-16.463	-567.42
-16.428	-549.27
-16.395	-529.47
-16.293	-511.32
-16.19	-489.88
-16.054	-463.5
-15.987	-445.36
-15.782	-422.27
-15.612	-399.17
-15.374	-379.38
-15.17	-356.29
-14.83	-331.54
-14.558	-308.45
-14.184	-288.66
-13.775	-263.92
-13.231	-239.18
-12.755	-216.08
-12.347	-194.64
-11.871	-176.5
-11.394	-155.05
-10.918	-136.91
-10.544	-120.41
-10	-98.968
-9.4897	-75.878
-9.0815	-59.379
-8.6055	-42.887
-8.1973	-29.691
-7.5171	-1.6495
-7.0749	19.794
-6.5646	42.887
-6.0203	65.98
-5.4422	92.372
-4.966	107.22
-4.2857	133.61
-3.9456	150.1
-3.1293	181.44
-2.3469	206.18
-1.5987	234.23
-1.1565	249.07
-0.34013	275.47
0.57823	301.86
1.3265	323.3
1.8708	341.44
2.5509	359.59
2.9251	379.38
3.7414	402.48
4.4897	423.92
5.1361	445.36
5.7142	463.5
6.3944	486.59
6.9388	499.8
7.381	514.66
7.9931	532.76
8.6055	552.56
9.3878	570.71
10.034	588.86
10.884	608.65
11.463	623.51
12.143	636.72
12.789	646.59
13.401	659.8
14.048	669.68
14.524	676.31
15.034	686.18
15.612	694.41
16.156	697.75
16.633	704.33
16.905	704.33
17.075	705.98
