"Vu,Priestley,Seible,Benzoni 1998,Specimen nr NH6"	
-4.442	-368.7
-4.34675	-358.7
-4.244	-346.4
-4.155	-335.6
-4.0445	-325.4
-3.95525	-314.9
-3.842	-303.7
-3.74675	-293.7
-3.6635	-283.4
-3.54125	-272.1
-3.4415	-260.7
-3.328	-249.8
-3.24175	-239.7
-3.121	-228.7
-3.02725	-217.3
-2.90325	-206.2
-2.806625	-194.9
-2.714425	-185.3
-2.592	-174.3
-2.498325	-164.7
-2.380375	-153.9
-2.279175	-143
-2.155225	-132.2
-2.044775	-121.3
-1.930075	-110.2
-1.83315	-99.4
-1.71075	-88.39
-1.605	-77.57
-1.49	-66.74
-1.3905	-55.5
-1.275575	-44.22
-1.17575	-33.76
-1.0608	-22.84
-0.961275	-10.83
-0.8478	-0.6422
-0.738925	8.394
-0.599825	20.55
-0.5214	31.79
-0.4019	43.58
-0.302	53.94
-0.213	65.92
-0.086	76.97
0.0425	87.93
0.13475	99.22
0.24375	108.9
0.34775	119.7
0.47025	130.4
0.555	139.9
0.6835	150.5
0.7785	161.5
0.8875	170.9
1.0145	182.8
1.12925	193.1
1.23525	202.4
1.362	214.3
1.4785	224.8
1.6175	235.2
1.743	246
1.8595	256.5
1.9865	267.5
2.11025	277.8
2.23425	287.9
2.35225	298.2
2.46725	308.8
2.59125	319.3
2.73175	331.1
2.86425	341.5
2.9865	351.6
3.10575	362.7
3.2235	373.3
3.3445	383.6
3.46925	394
3.5935	404.3
3.71375	414.7
3.82725	424.8
3.9475	435.2
4.10275	446.9
4.23525	456.9
4.34275	466.9
4.48775	477.9
4.62775	488.2
4.79025	499.6
4.96025	510.6
5.13025	520.9
5.24025	526
5.38775	515.4
5.38775	505
5.39025	495
5.38775	484.9
5.36775	474.7
5.32775	464.6
5.26025	454.6
5.26525	464.6
5.26275	475.3
5.30275	485.7
5.34275	496.2
5.42025	506.4
5.47025	496.1
5.47275	486.1
5.47525	475.6
5.47025	465.2
5.43775	454
5.35525	441.5
5.24775	430.3
5.14525	419.8
5.01775	409.3
4.93275	398.2
4.81025	386.5
4.69525	375.8
4.58525	364.7
4.45275	353.4
4.34025	342.3
4.24275	333
4.11025	319.8
3.9825	307.5
3.87725	297.1
3.7605	287
3.61625	276.7
3.5135	263.9
3.399	252.2
3.11925	229.3
2.986	216.9
2.86175	206.5
2.74525	197.2
2.61225	186
2.49275	175.9
2.34925	166.7
2.316	177.2
2.3145	187.4
2.319	198.1
2.35675	208.9
2.402	219.8
2.49575	229.9
2.60175	241.1
2.67725	253.3
2.7785	264.8
2.898	277.1
3.01475	288.5
3.12725	299.7
3.2295	310.2
3.35775	319.9
3.4725	330.3
3.573	340.5
3.68125	351
3.79375	361.2
3.9035	372.1
4.00525	382.6
4.12275	393.4
4.24775	404.3
4.36025	414.5
4.48025	425.3
4.61775	435
4.71025	444.7
4.84525	455.6
4.97025	465.1
5.07275	475.5
5.18775	465.4
5.18775	455.2
5.18525	444.5
5.16275	433.5
5.09775	423.5
5.01275	412.9
4.87775	402.7
4.78775	392.1
4.68025	381.9
4.58775	371
4.47525	360.8
4.36525	350.9
4.25025	340.3
4.15525	329.6
4.02775	319.6
3.9205	309.5
3.8175	299.4
3.7255	289.1
3.5975	278.7
3.51475	268.7
3.39175	258.4
3.27475	248.2
3.166	237.8
3.04075	227.7
2.94925	217.3
2.81775	206.9
2.70575	196
2.59575	185.4
2.46425	175.3
2.378	165.2
2.266	154.4
2.165	144.2
2.0545	133.5
1.94575	124
1.82025	114
1.72525	102.9
1.61025	92.43
1.48775	81.6
1.37125	70.27
1.261	58.94
1.14625	47.66
1.03275	37.8
0.924	27.34
0.8105	16.83
0.6925	6.468
0.593	-3.715
0.48875	-14.17
0.37825	-23.76
0.25125	-34.86
0.16525	-45.59
0.03225	-56.6
-0.078	-66.6
-0.1915	-76.74
-0.29425	-87.06
-0.43475	-75.23
-0.436275	-66.19
-0.4015	-55.37
-0.33675	-45.55
-0.2535	-35.37
-0.2415	-49.22
-0.24	-58.12
-0.249	-68.58
-0.3035	-78.62
-0.3985	-88.99
-0.4408	-78.3
-0.4408	-68.35
-0.4408	-61.42
-0.434775	-55.14
-0.4135	-48.03
-0.4015	-39.26
-0.338	-32.71
-0.3155	-23.81
-0.2475	-17.38
-0.2325	-12.25
