BRI No. 3 (Japan) ws22bs	
-2.7555	-42.356
-2.1222	-30.917
-1.3303	-18.241
-0.63346	-4.9469
-0.12669	4.0192
0.25339	12.676
0.63346	22.569
1.2669	34.627
1.8054	46.066
2.4072	55.34
3.0723	65.233
3.9275	74.819
4.8461	84.405
5.4795	91.206
5.7962	93.68
5.4795	87.803
5.1628	80.077
4.7509	70.184
3.9592	56.888
3.0723	43.284
2.3122	33.081
1.6471	22.879
1.0769	13.604
0.63346	4.3284
0.31674	-3.7101
0	-11.749
-0.50677	-24.425
-1.0135	-35.864
-1.7421	-48.232
-2.5339	-60.905
-3.3257	-69.873
-4.0858	-78.84
-4.7509	-86.26
-5.3212	-91.513
-5.5745	-93.986
-5.7962	-96.46
-5.7012	-91.513
-5.5428	-85.33
-5.1628	-74.819
-4.5926	-65.851
-4.0225	-59.05
-3.389	-50.087
-2.8506	-41.429
-2.0588	-31.227
-1.3936	-21.642
-0.82351	-9.8933
-0.34841	-0.30917
0.031674	7.7292
0.41175	15.458
1.1402	29.371
1.6787	39.574
2.2488	50.705
3.0406	60.598
3.8641	71.421
4.466	78.222
5.1628	85.33
5.5745	89.04
5.7962	90.277
5.4478	81.314
5.0994	74.201
4.5293	64.308
3.7691	53.178
2.8823	39.883
2.027	27.825
1.3936	16.696
0.76016	6.4926
0.31674	-1.855
-0.19004	-14.222
-0.66514	-25.661
-1.2036	-37.101
-1.7421	-46.377
-2.2488	-55.652
-2.9773	-65.545
-3.6107	-72.964
-4.2442	-79.766
-4.7509	-84.405
-5.226	-89.351
-5.5428	-92.443
-5.7012	-93.68
-5.8595	-94.298
-5.7012	-89.351
-5.5428	-82.55
-5.226	-75.437
-4.6559	-66.781
-4.2442	-59.98
-3.5474	-51.012
-2.7555	-41.12
-2.1538	-31.536
-1.3303	-18.86
-0.85518	-10.203
-0.25339	0.9275
0.22172	12.058
0.76016	24.425
1.4253	36.792
2.1538	49.157
2.7555	58.432
3.5157	67.093
4.0858	73.894
4.6243	79.459
5.1311	84.405
5.5112	87.185
5.7645	88.733
5.3528	80.695
4.9727	71.421
4.3392	61.523
3.4524	47.921
2.5655	35.245
1.9321	26.28
1.1719	13.604
0.57012	2.7825
0.22172	-5.256
-0.25339	-16.386
-0.82351	-29.371
-1.3303	-40.192
-2.0588	-51.631
-2.6289	-60.598
-3.2306	-68.329
-3.9592	-76.674
-4.6243	-82.857
-5.226	-88.422
-5.6378	-92.443
-5.7645	-93.368
-5.5745	-87.185
-5.2894	-77.604
-4.9093	-68.947
-4.1492	-59.98
-3.2624	-49.157
-2.5972	-37.101
-1.7103	-25.043
-1.0135	-14.222
-0.47509	-3.0917
-0.063346	5.8743
0.38009	15.768
0.9502	27.516
1.4253	37.101
2.0588	47.302
2.5655	54.415
3.199	63.378
3.8325	71.109
4.466	77.292
5.1944	84.094
5.5428	86.567
5.7329	87.497
5.3212	78.84
5.0044	72.346
4.5926	66.474
4.0542	56.888
3.199	44.829
2.4388	35.245
1.8371	25.043
1.2036	13.604
0.76016	5.256
0.25339	-4.0192
-0.50677	-20.405
-0.9502	-30.917
-1.4253	-41.429
-2.027	-51.324
-2.5022	-57.814
-3.2624	-68.018
-4.0542	-76.056
-4.7509	-83.168
-5.3844	-90.277
-5.7645	-92.75
-5.5745	-86.878
-5.3844	-80.384
-4.9411	-72.039
-4.2126	-60.905
-3.5157	-53.178
-2.4705	-38.647
-1.7103	-26.898
-0.98188	-13.604
-0.47509	-3.4009
-0.063346	3.7101
0.34841	14.222
0.79183	24.116
1.3619	35.245
2.1538	48.539
2.7555	57.195
3.389	65.233
3.9275	71.109
4.5926	78.222
5.1628	83.168
5.5428	86.567
5.7329	87.497
5.226	78.222
4.7193	68.018
4.0858	58.125
3.4207	48.539
2.4388	34.936
1.8371	25.661
1.1719	14.531
0.69681	4.3284
0.19004	-5.5652
-0.28506	-17.314
-0.85518	-30.299
-1.5203	-43.284
-2.2488	-53.797
-3.104	-64.615
-3.8641	-73.582
-4.6559	-82.55
-5.3844	-89.658
-5.6695	-92.132
-5.8279	-92.443
-5.6378	-86.878
-5.4162	-80.077
-5.0044	-72.039
-4.5293	-63.997
-3.7057	-54.104
-2.7873	-41.738
-2.0588	-31.536
-1.3303	-19.787
-0.63346	-7.4201
-0.19004	1.2367
0.15837	11.439
0.82351	23.188
1.2986	32.772
2.027	45.759
2.6605	55.652
3.389	65.233
4.0542	73.276
4.7509	79.459
5.3212	84.712
5.6062	86.26
5.3212	79.147
5.1628	74.819
4.6559	64.308
3.6107	50.705
2.6289	37.41
1.9004	24.734
1.1086	12.367
0.50677	0.9275
-0.063346	-10.821
-0.50677	-22.569
-1.4253	-40.192
-2.2172	-52.56
-3.0723	-65.233
-4.1175	-76.674
-4.8143	-83.787
-5.4162	-90.588
-5.7645	-92.75
-5.6695	-87.803
-5.3528	-80.695
-5.0044	-73.894
-4.371	-64.308
-3.6107	-52.867
-2.7873	-42.975
-1.9954	-31.536
-1.3936	-20.714
-0.50677	-5.8743
-0.063346	4.9469
0.41175	16.696
1.1402	31.845
1.8371	43.593
2.5655	54.415
3.389	65.233
4.0225	72.657
4.7193	79.459
5.226	83.475
5.5112	85.023
5.0994	77.292
4.6243	66.781
3.9275	55.033
2.9456	42.047
2.1538	29.68
1.3303	16.386
0.72848	5.5652
0.31674	-1.855
-0.22172	-13.913
-0.9502	-29.68
-1.5519	-42.047
-2.4388	-55.959
-3.294	-67.093
-4.1492	-76.985
-4.8461	-84.405
-5.4162	-90.588
-5.7645	-92.75
-5.6062	-87.803
-5.3844	-80.384
-4.9411	-72.039
-4.2442	-61.835
-3.3257	-49.157
-2.5655	-39.265
-1.8371	-27.207
-0.98188	-14.222
-0.44342	-3.7101
0	5.5652
0.41175	15.458
1.0135	28.444
1.4569	36.792
2.0588	46.684
2.7555	56.27
3.389	63.997
4.1492	71.728
4.9093	79.147
5.3212	81.932
5.5428	82.55
5.1311	74.512
4.6559	66.474
3.9275	55.033
3.0723	42.975
2.3755	32.772
1.4887	20.096
0.98188	10.203
0.57012	2.7825
0.22172	-5.5652
-0.44342	-19.787
-0.98188	-32.154
-1.4569	-42.047
-2.2488	-54.415
-3.199	-67.093
-4.1492	-76.985
-5.0994	-86.567
-5.7329	-92.443
-5.5745	-85.023
-5.1628	-76.367
-4.4976	-65.233
-3.8325	-57.195
-3.0723	-46.995
-2.4388	-37.719
-1.8054	-27.825
-1.1086	-16.696
-0.57012	-7.7292
-0.12669	2.1642
0.22172	9.8933
0.63346	18.86
1.2986	30.608
1.7421	38.647
2.3755	48.232
3.009	58.125
3.7057	67.093
4.561	75.749
5.0677	80.384
5.4478	83.168
5.5745	83.168
5.0994	75.13
4.4976	62.76
3.6425	49.469
2.7555	37.719
2.0588	26.589
1.3619	15.458
0.72848	4.9469
0.09502	-7.1109
-0.53844	-20.714
-1.3303	-35.864
-1.9004	-46.995
-2.6605	-58.432
-3.7691	-69.873
-4.7827	-81.002
-5.3212	-86.567
-5.7329	-89.97
-5.5112	-83.475
-5.1311	-75.437
-4.7193	-67.711
-4.0542	-58.743
-3.104	-48.539
-2.4072	-38.647
-1.9004	-28.135
-1.3303	-17.623
-0.79183	-8.6567
-0.28506	0.61835
-0.063346	5.5652
0.28506	13.294
0.66514	21.333
1.2036	30.917
1.7737	39.883
2.2488	48.232
2.6289	52.867
2.6605	53.485
2.5339	48.85
2.1222	39.883
1.5837	30.608
0.9502	18.86
0.66514	10.512
0.31674	1.5458
-0.09502	-9.275
-0.60179	-21.951
-1.0769	-32.463
-1.5203	-40.811
-1.9954	-48.85
-2.5022	-55.959
-2.7239	-57.814
-2.5022	-51.942
-2.1538	-44.212
-1.9004	-34.009
-1.6153	-25.661
-1.0135	-14.531
-0.38009	-2.1642
0	6.4926
0.53844	17.623
1.1402	28.753
1.8687	42.356
2.3438	51.324
3.1356	60.287
4.1492	71.421
5.0044	79.147
5.6378	85.949
6.0813	89.04
6.9365	93.061
7.6332	95.223
8.2034	96.46
8.6468	97.389
8.8368	97.389
8.8052	93.986
8.5834	86.878
8.3618	81.62
7.9183	73.894
7.3798	64.926
6.7464	56.27
6.1129	48.85
5.3844	42.356
4.5926	35.245
3.7375	28.444
3.0406	23.188
2.3122	16.696
1.6153	9.8933
1.0452	3.4009
0	-12.985
-0.50677	-23.188
-1.1719	-34.936
-1.6153	-43.903
-2.5339	-55.959
-3.8641	-71.728
-4.9411	-83.787
-5.7962	-90.588
-6.588	-94.298
-7.4116	-97.696
-8.0133	-100.79
-8.4251	-101.41
-8.9002	-102.03
-8.7735	-96.771
-8.3301	-87.185
-7.9183	-78.84
-7.1899	-67.399
-6.398	-57.507
-5.6062	-50.087
-4.8777	-43.284
-4.2442	-36.792
-3.2624	-28.444
-2.4705	-21.024
-1.6153	-12.985
-1.0452	-4.9469
-0.38009	1.855
0.15837	11.439
0.85518	22.26
1.6471	34.318
2.3755	42.666
3.009	51.942
3.9908	61.523
5.1628	71.109
6.303	79.147
7.1265	85.642
7.9817	90.277
8.4884	93.061
8.7735	93.986
8.8052	94.298
8.6468	88.115
8.3618	78.84
7.76	68.018
7.0949	59.05
6.2396	49.776
5.3844	41.738
4.4976	33.391
3.6425	26.589
2.8823	20.714
1.8371	11.439
1.1086	4.0192
0.50677	-3.7101
0.09502	-10.821
-0.50677	-22.26
-1.1086	-31.845
-1.7103	-40.811
-2.4388	-49.776
-3.3257	-58.432
-4.1492	-65.545
-5.0361	-72.964
-6.1446	-80.077
-6.9365	-85.642
-7.6016	-90.588
-8.0767	-93.061
-8.4884	-95.534
-8.8052	-97.389
-8.4568	-90.277
-8.1717	-83.168
-7.8233	-76.367
-7.2532	-68.329
-6.3664	-57.814
-5.6695	-50.087
-4.8143	-42.666
-3.9908	-34.627
-3.0723	-25.352
-1.9004	-15.768
-1.0135	-6.4926
-0.28506	2.4734
0.31674	12.676
0.9502	24.116
1.8687	36.482
2.6923	46.377
3.4207	55.34
4.2442	63.378
5.1944	71.109
6.208	78.529
7.1265	84.094
7.8867	88.422
8.5202	91.825
8.8685	93.061
8.7418	87.803
8.4251	81.314
8.0133	73.276
7.5382	65.233
6.9681	56.577
6.1763	49.469
5.3212	40.811
4.4342	32.772
3.5791	25.97
2.7555	19.478
1.9321	12.058
1.2036	4.9469
0.69681	-1.5458
0.25339	-8.0384
-0.25339	-17.314
-0.91853	-27.825
-1.6471	-38.956
-2.5022	-48.539
-3.389	-57.814
-4.371	-66.163
-5.226	-72.657
-6.1129	-79.459
-7.0315	-85.642
-7.9183	-90.588
-8.3301	-93.061
-8.6468	-94.605
-8.7735	-94.916
-8.4884	-87.497
-8.0133	-79.459
-7.6016	-70.802
-6.9999	-63.69
-6.303	-55.959
-5.6378	-49.776
-4.8143	-41.738
-4.1175	-34.936
-3.4524	-28.135
