Kowalsky & Moyer 2001 No.1	
9.598	52.96713381
9.578	52.93655232
9.578	52.93655232
9.578	52.93655232
9.598	52.99771529
9.557	52.96713381
9.557	52.90597083
9.638	52.84480786
9.557	53.02829678
9.598	52.87538935
9.578	52.99771529
9.618	53.05887826
9.598	52.99771529
9.578	52.93655232
9.578	52.90597083
9.578	52.90597083
9.598	52.99771529
9.578	53.05887826
9.557	52.96713381
9.618	52.96713381
9.638	52.96713381
9.618	52.90597083
9.598	52.93655232
9.598	52.99771529
9.638	52.96713381
9.578	52.93655232
9.638	52.90597083
9.578	53.05887826
9.557	52.93655232
9.557	52.96713381
9.578	52.90597083
9.578	52.96713381
9.557	53.02829678
9.578	52.93655232
9.557	52.99771529
9.557	53.05887826
9.598	53.05887826
9.578	52.87538935
9.578	52.93655232
9.578	52.90597083
9.537	52.90597083
9.557	52.96713381
9.578	52.87538935
9.598	52.99771529
9.557	52.93655232
9.578	52.96713381
9.578	52.90597083
9.578	52.87538935
9.578	52.96713381
9.578	52.93655232
9.557	52.96713381
9.578	52.96713381
9.578	52.81422638
9.557	52.93655232
9.578	52.99771529
9.578	52.99771529
9.578	52.93655232
9.598	52.96713381
9.557	52.99771529
9.537	52.93655232
9.598	52.93655232
9.598	52.93655232
9.598	52.96713381
9.598	52.93655232
9.638	52.96713381
9.598	52.93655232
9.578	53.02829678
9.557	52.93655232
9.578	52.99771529
9.557	52.93655232
9.578	52.93655232
9.638	53.08945975
9.598	52.93655232
9.598	52.81422638
9.598	52.99771529
9.557	52.99771529
9.578	52.90597083
9.557	53.02829678
9.557	53.05887826
9.598	52.96713381
9.537	52.87538935
9.598	52.93655232
9.598	52.96713381
9.578	53.02829678
9.557	52.96713381
9.598	53.02829678
9.578	52.96713381
9.638	52.90597083
9.537	53.05887826
9.598	53.02829678
9.578	52.93655232
9.598	52.93655232
9.578	52.93655232
9.598	53.05887826
9.598	52.93655232
9.598	52.93655232
9.578	52.93655232
9.578	53.05887826
9.598	52.99771529
9.598	52.99771529
9.557	52.99771529
9.578	53.05887826
9.598	52.87538935
9.557	52.99771529
9.557	52.87538935
9.598	52.99771529
9.578	52.96713381
9.557	52.93655232
9.557	53.02829678
9.578	52.93655232
9.557	52.90597083
9.598	52.87538935
9.578	53.02829678
9.578	52.90597083
9.578	52.96713381
9.598	52.96713381
9.598	52.93655232
9.557	52.99771529
9.598	52.90597083
9.578	52.90597083
9.598	52.90597083
9.638	52.93655232
9.598	53.02829678
9.578	52.87538935
9.578	52.87538935
9.598	52.96713381
9.578	52.99771529
9.578	52.93655232
9.598	52.99771529
9.557	53.05887826
9.578	52.96713381
9.578	52.87538935
9.598	52.87538935
9.598	52.93655232
9.638	52.96713381
9.618	52.87538935
9.578	52.90597083
9.578	52.96713381
9.598	52.99771529
9.557	52.99771529
9.598	52.96713381
9.578	52.81422638
9.598	53.05887826
9.618	52.99771529
9.598	52.96713381
9.557	52.99771529
9.618	52.93655232
9.598	53.02829678
9.598	52.99771529
9.557	52.99771529
9.598	53.02829678
9.598	52.93655232
9.598	52.96713381
9.578	53.02829678
9.578	53.02829678
9.598	53.02829678
9.598	52.99771529
9.598	53.02829678
9.598	52.96713381
9.598	52.93655232
9.578	52.99771529
9.578	51.4380595
9.638	48.19642199
9.578	45.1076919
9.598	42.04954329
9.578	38.9608132
9.598	35.74975717
9.598	32.69160857
9.638	29.57229699
9.436	26.39182244
9.092	23.15018493
8.889	20.12261781
8.504	17.03388772
7.775	13.85341317
7.249	10.61177565
6.723	7.523045564
6.075	4.250826558
5.589	1.253840927
5.103	-1.92663362
4.495	-4.954200737
4.009	-7.951186368
3.564	-11.34573132
3.037	-14.46504289
2.572	-17.7372619
2.065	-20.5813401
1.762	-23.91472208
1.336	-27.06461514
0.688	-30.03101928
0.283	-32.844516
-0.466	-36.08615352
-1.215	-38.83848726
-1.964	-41.95779883
-2.835	-45.23001784
-3.564	-48.34932942
-4.374	-51.59096693
-5.184	-54.71027851
-5.346	-55.26074526
-5.346	-55.35248972
-5.366	-55.26074526
-5.346	-55.35248972
