"Benzoni and Priestley 1994,specimen nr.1"	
3.27914	230.89568
3.64871	253.80288
3.9878	276.2208
4.32816	298.59424
4.67487	320.9232
5.05079	343.29664
5.76072	365.49216
7.17423	376.47872
7.12089	353.52704
6.87197	328.9296
6.59765	304.33216
6.29793	281.1136
5.98551	256.60512
5.60324	230.27296
5.25653	207.67712
4.86537	184.68096
4.43611	161.95168
3.91922	136.73152
3.37439	111.55584
2.86893	88.55968
2.3622	66.14176
1.82245	42.74528
1.25222	19.895904
0.60452	-1.921536
-0.00889	-25.251296
-0.29718	-49.95104
-0.59309	-74.10368
-1.00203	-97.6336
-1.42875	-120.58528
-1.83388	-143.04768
-2.25552	-164.84288
-2.66827	-186.86048
-3.06324	-209.18944
-3.46837	-231.60736
-3.88747	-254.06976
-4.2926	-276.62112
-4.70408	-298.77216
-5.22224	-321.1456
-6.03123	-343.47456
-7.16788	-356.952
-7.0866	-331.42048
-6.79069	-304.99936
-6.49859	-282.27008
-6.14426	-256.78304
-5.73151	-230.00608
-5.32384	-206.29824
-4.8768	-181.96768
-4.40436	-158.52672
-3.85445	-133.84032
-3.29565	-110.62176
-2.73558	-87.26976
-2.23774	-65.29664
-1.68148	-42.83424
-1.11252	-20.634272
-0.5207	1.716928
-0.22606	24.490688
0.26416	47.5936
0.70993	69.87808
1.17348	93.1856
1.62687	116.27072
2.10058	139.75616
2.56921	162.97472
3.01371	185.4816
3.45186	207.81056
3.90398	231.20704
4.36499	253.9808
4.826	276.53216
5.31368	298.86112
5.83819	321.10112
6.41731	343.1632
7.14883	361.6224
6.9977	338.22592
6.72846	314.78496
6.45414	291.52192
6.14045	267.59168
5.81533	243.39456
5.45973	220.6208
5.08635	197.58016
4.69265	175.56256
4.2418	153.10016
3.77317	130.50432
3.2385	107.33024
2.6797	83.93376
2.13614	60.75968
1.58877	37.71904
0.99822	15.336704
0.23114	-6.912192
