"Munro 1976, Spec. 1"	
68.44	106.71
70.754	108.69
72.862	111.06
76.23	113.83
79.39	116.2
82.758	119.36
86.34	121.73
89.075	123.71
92.446	125.29
95.814	126.47
99.184	128.45
101.92	128.84
104.24	129.63
107.82	131.22
109.92	132.01
111.82	133.19
112.87	133.59
113.5	133.19
113.5	131.22
113.08	128.45
113.08	125.68
112.66	121.73
112.24	116.99
111.4	113.43
111.19	108.69
110.13	104.34
109.5	100.39
108.24	95.646
107.61	92.087
106.97	87.345
105.71	82.603
104.66	78.258
103.18	72.724
102.34	69.165
101.29	65.607
100.03	60.073
98.341	54.148
97.079	49.798
95.395	44.66
94.13	41.894
92.446	35.966
90.762	31.223
88.656	25.295
86.548	19.366
84.653	14.624
82.758	9.4854
80.653	4.3475
78.547	-1.1857
76.02	-7.114
72.862	-13.833
69.492	-20.157
65.913	-24.899
63.597	-28.852
60.648	-33.594
57.699	-37.547
54.752	-41.894
51.803	-45.452
49.276	-48.615
46.327	-52.169
40.643	-58.89
37.483	-62.84
32.85	-67.19
29.06	-69.957
25.27	-73.115
21.69	-75.491
16.636	-78.258
12.214	-81.02
8.2126	-82.999
4.6327	-83.787
2.527	-84.974
0	-86.162
-2.3164	-87.741
-4.4221	-88.533
-6.5281	-89.32
-8.634	-89.716
-11.792	-90.904
-14.53	-91.691
-17.899	-92.483
-22.322	-94.067
-25.692	-95.646
-28.639	-96.437
-31.798	-97.621
-34.747	-98.017
-38.959	-99.596
-41.486	-99.596
-43.381	-100.78
-45.908	-101.18
-48.433	-101.58
-50.96	-102.36
-53.698	-103.55
-56.225	-103.55
-59.385	-104.74
-61.491	-106.32
-64.648	-107.5
-67.597	-108.69
-69.281	-109.88
-71.808	-111.06
-74.125	-112.25
-76.23	-113.03
-78.547	-114.22
-80.442	-115.41
-82.547	-116.59
-84.864	-118.17
-86.759	-118.96
-87.813	-120.15
-88.445	-120.15
-88.864	-121.33
-89.708	-121.73
-91.813	-123.31
-95.395	-125.29
-97.92	-126.08
-100.03	-128.06
-101.71	-129.63
-104.24	-131.22
-106.34	-132.8
-108.03	-133.98
-110.13	-135.56
-111.82	-136.75
-112.45	-137.14
-113.71	-138.33
-113.92	-135.96
-113.92	-133.98
-113.29	-131.22
-113.08	-127.26
-112.66	-124.1
-112.24	-120.55
-111.61	-117.78
-110.98	-113.83
-110.13	-108.69
-109.08	-104.34
-108.03	-99.204
-106.97	-94.458
-106.34	-91.691
-105.29	-86.554
-103.82	-81.02
-102.55	-75.882
-101.5	-71.932
-100.66	-68.374
-99.606	-64.819
-98.763	-60.073
-97.5	-56.519
-96.657	-52.961
-96.025	-49.011
-94.341	-45.056
-92.867	-39.128
-91.181	-33.199
-89.075	-26.876
-86.759	-21.343
-84.442	-15.019
-82.758	-11.462
-80.653	-7.114
-78.336	-1.5809
-76.02	3.5571
-73.703	7.114
-71.598	11.857
-69.281	16.204
-67.175	19.762
-65.07	23.714
-62.542	27.666
-60.437	30.828
-57.909	35.175
-56.015	37.152
-53.909	40.709
-51.592	43.871
-49.698	46.244
-47.17	48.615
-44.854	51.773
-42.748	54.54
-40.432	56.519
-38.115	59.286
-35.799	61.261
-33.693	64.424
-31.587	66.399
-28.849	67.978
-25.9	69.957
-22.953	72.328
-19.795	75.095
-17.057	75.882
-13.898	77.466
-10.95	79.441
-8.8445	79.837
-6.5281	81.416
-4.4221	81.812
-1.4741	83.787
0	84.183
1.8952	85.37
4.2116	86.554
6.9492	86.949
9.8974	87.741
12.214	88.924
15.162	90.508
17.478	91.691
20.426	92.879
23.796	94.067
26.954	95.646
29.271	96.437
31.798	98.017
34.747	98.412
37.272	99.204
40.221	100.39
43.17	101.18
46.116	101.58
47.803	101.58
50.119	101.97
52.436	102.76
54.331	103.15
56.225	102.76
58.12	102.76
58.964	102.76
60.648	102.76
62.964	102.36
65.281	102.36
68.019	101.97
72.019	103.55
74.757	104.34
77.704	104.74
82.337	106.32
83.812	107.5
86.34	108.69
88.864	110.27
91.392	111.45
94.551	113.03
97.5	115.01
101.29	116.59
104.45	118.17
