BRI No. 3 (Japan) ws26bs	
0.7987	15.651
0.59163	8.4054
0.26623	-0.86949
-0.088745	-10.724
-0.53247	-21.448
-0.85786	-29.853
-1.1537	-36.809
-1.5086	-46.084
-1.834	-55.647
-2.2482	-65.211
-2.5735	-74.196
-2.7807	-79.703
-2.899	-80.864
-2.5735	-69.561
-2.2482	-59.126
-2.0116	-50.14
-1.6566	-40.287
-1.2128	-29.273
-0.82828	-19.129
-0.50288	-8.6949
-0.23665	-1.4492
0.1479	7.5357
0.56205	15.651
0.97619	28.114
1.3608	36.519
1.7158	46.373
2.1299	55.647
2.3665	62.604
2.6623	66.372
2.7511	65.794
2.4257	55.069
1.9524	43.765
1.5086	32.751
0.97619	18.26
0.56205	7.5357
0.23665	-1.739
-0.088745	-11.883
-0.50288	-22.897
-1.0354	-35.07
-1.3903	-44.345
-1.8636	-55.358
-2.2777	-66.083
-2.6327	-76.225
-2.7807	-82.025
-2.6327	-72.457
-2.2777	-62.893
-2.0707	-53.041
-1.6566	-41.736
-1.3016	-31.592
-0.97619	-21.738
-0.50288	-10.434
-0.059163	-0.86949
0.29582	8.985
0.68038	18.839
0.91703	26.954
1.272	36.229
1.6862	45.505
2.0411	54.491
2.4257	64.344
2.6919	70.429
2.8103	70.718
2.6623	63.472
2.3665	53.619
1.982	42.896
1.4495	30.723
1.0058	18.55
0.56205	6.9561
0.1775	-4.9273
-0.11833	-13.912
-0.59163	-25.795
-1.0354	-34.78
-1.3903	-45.505
-1.775	-55.358
-2.1595	-63.472
-2.5441	-73.329
-2.7807	-78.836
-2.8694	-81.153
-2.6327	-71.301
-2.189	-58.837
-1.9228	-47.823
-1.5086	-36.229
-1.0945	-25.506
-0.68038	-15.071
-0.29582	-4.9273
0	3.1882
0.53247	15.651
0.88745	24.346
1.3016	33.621
1.7454	44.923
2.0707	54.197
2.3961	61.737
2.6919	68.111
2.8398	69.272
2.5735	58.548
2.0411	45.216
1.6862	35.939
1.272	26.085
0.88745	14.492
0.59163	6.0865
0.26623	-3.1882
-0.1479	-13.332
-0.73953	-26.665
-1.1833	-39.708
-1.627	-49.273
-2.0411	-59.415
-2.4257	-67.244
-2.7511	-74.779
-2.5145	-64.922
-2.189	-54.491
-1.775	-42.606
-1.272	-29.853
-0.85786	-18.26
-0.44373	-8.985
-0.1479	1.4492
0.23665	11.593
0.73953	23.766
1.1537	33.331
1.7454	46.955
2.3369	62.026
2.7511	72.457
3.2244	80.286
3.7864	87.239
4.2301	91.006
4.733	95.067
5.1472	96.807
5.4726	98.546
5.7683	99.413
5.7683	95.935
5.7387	91.006
5.5909	84.632
5.3542	78.258
5.1176	70.429
4.6739	60.576
4.2893	50.723
3.7273	39.708
3.1948	29.563
2.6327	17.39
2.0411	7.2457
1.3903	-2.0288
0.73953	-11.303
0.1775	-17.97
-0.26623	-24.926
-0.82828	-33.331
-1.3903	-44.633
-1.8932	-57.097
-2.4257	-70.14
-2.7807	-78.836
-3.1652	-85.793
-3.6386	-92.167
-4.2301	-97.674
-4.8514	-101.44
-5.4726	-102.89
-5.7683	-102.6
-5.7387	-99.702
-5.5613	-92.456
-5.2951	-83.764
-4.9402	-72.457
-4.4668	-63.183
-4.0823	-52.751
-3.4314	-42.316
-2.9286	-32.751
-2.3665	-23.477
-1.8636	-15.651
-1.0649	-4.0577
-0.50288	3.478
0.1479	12.753
0.91703	22.607
1.8044	33.331
2.6031	44.055
3.4018	55.936
3.8752	64.344
4.4964	73.04
4.9696	80.286
5.443	88.4
5.6205	92.167
5.6797	93.617
5.6501	86.371
5.443	78.836
5.236	72.457
4.8218	62.604
4.3781	52.462
3.8752	42.026
3.106	27.824
2.4257	16.81
1.5678	5.2169
0.76912	-4.3475
0.059163	-13.332
-0.59163	-22.897
-1.479	-34.49
-2.3961	-45.216
-3.1652	-55.069
-3.9343	-67.244
-4.4964	-77.675
-4.9106	-84.921
-5.2655	-90.428
-5.5613	-96.224
-5.7093	-98.252
-5.5613	-92.456
-5.4134	-86.371
-5.1176	-76.807
-4.7922	-66.95
-4.4077	-58.548
-3.9343	-49.562
-3.4018	-39.128
-2.8694	-30.143
-2.3073	-20.868
-1.7158	-12.463
-1.3016	-7.2457
-0.82828	-1.1593
-0.35498	5.2169
0	11.303
0.73953	20.288
1.7158	30.723
2.4553	40.577
3.106	50.14
3.609	59.126
4.2005	67.822
4.6739	75.357
5.1176	82.603
5.5021	87.821
5.7683	91.006
5.5909	83.764
5.3542	75.646
5.088	67.533
4.6739	57.965
4.2597	48.69
3.816	40.867
3.1356	30.143
2.5145	19.419
1.775	9.8546
1.0945	0.57965
0.56205	-5.7965
0	-13.332
-0.85786	-23.477
-1.5974	-35.07
-2.3369	-44.345
-3.0469	-55.069
-3.6681	-64.922
-4.1119	-71.011
-4.733	-80.286
-5.2655	-90.428
-5.6501	-95.067
-5.4726	-87.239
-5.1176	-77.964
-4.6739	-64.344
-4.1709	-53.619
-3.6977	-44.345
-3.2244	-34.201
-2.4553	-23.187
-1.834	-14.202
-1.272	-5.7965
-0.70996	1.1593
-0.1479	7.2457
0.44373	15.361
1.0354	23.187
1.834	32.172
2.5441	41.157
3.1356	49.562
3.6977	58.837
4.0823	66.083
4.733	74.779
5.236	82.314
5.5613	87.821
5.7387	90.139
5.5909	82.314
5.3247	73.618
4.881	63.183
4.4668	53.041
3.8752	43.765
3.4314	35.36
2.7511	23.477
2.1595	15.071
1.3903	4.0577
0.85786	-3.478
0.1479	-11.593
-0.53247	-19.129
-1.1833	-27.824
-1.8636	-36.809
-2.6031	-46.662
-3.2244	-56.519
-3.9343	-67.822
-4.526	-76.225
-4.9696	-84.054
-5.3838	-91.3
-5.6501	-95.357
-5.4726	-87.821
-5.1472	-77.097
-4.6739	-65.505
-4.2005	-53.908
-3.6386	-42.896
-2.9877	-31.882
-2.2482	-19.709
-1.4199	-8.6949
-0.68038	0.57965
0.059163	9.2745
0.70996	17.68
1.479	26.085
2.0411	33.041
2.8398	43.186
3.3132	51.012
3.8752	59.704
4.2893	67.244
4.8218	74.779
5.2064	81.153
5.4726	85.499
5.6797	88.978
5.5613	82.025
5.3838	74.485
4.9992	64.922
4.3781	52.751
4.0527	46.084
3.5498	35.65
2.9582	25.795
2.2186	15.651
1.3608	4.0577
0.70996	-5.5069
-0.1479	-14.492
-0.85786	-24.926
-1.5086	-34.49
-2.3073	-43.765
-2.9286	-53.041
-3.6681	-63.765
-4.3781	-74.779
-4.8218	-82.025
-5.236	-88.689
-5.4726	-92.167
-5.6205	-93.906
-5.4134	-86.371
-5.1768	-77.675
-4.8218	-66.95
-4.2893	-56.23
-3.6681	-43.765
-2.9582	-31.882
-2.3369	-22.317
-1.5974	-11.303
-1.0058	-2.8983
-0.3254	4.3475
0.1775	9.2745
0.82828	18.55
1.5086	26.665
2.2777	35.36
2.8398	44.055
3.461	53.041
4.0231	61.737
4.5555	70.718
4.9696	77.675
5.3838	83.471
5.6205	87.239
5.7387	87.821
5.4726	81.153
5.2951	74.485
5.1176	66.661
4.6443	56.808
4.3485	49.851
3.816	39.997
3.1356	28.404
2.5145	19.129
1.8636	10.724
1.2424	1.1593
0.50288	-7.8258
-0.20707	-16.231
-0.76912	-23.766
-1.5382	-33.621
-2.189	-42.026
-2.9582	-52.169
-3.6977	-63.183
-4.2301	-72.457
-4.7034	-79.992
-5.1768	-87.239
-5.5317	-93.328
-5.7093	-95.646
-5.5317	-89.271
-5.2951	-81.732
-5.0584	-72.168
-4.6443	-62.893
-4.2301	-53.908
-3.9047	-46.955
-3.5202	-39.708
-2.8398	-28.404
-2.3073	-20.868
-1.5974	-10.724
-1.0354	-2.6085
-0.38456	4.9273
0.1479	12.173
1.0058	21.448
1.7454	29.273
2.3369	37.389
2.8398	44.633
3.4018	52.751
3.9047	61.154
4.4077	69.85
4.7922	76.225
5.3542	83.182
5.6205	86.949
5.7093	85.21
5.4134	76.518
5.1768	70.429
4.733	60.287
4.2597	49.562
3.609	38.548
2.9877	28.404
2.3665	17.68
1.3903	5.5069
0.56205	-4.9273
-0.029582	-13.912
-0.76912	-23.766
-1.5678	-34.201
-2.3073	-43.186
-2.899	-51.301
-3.609	-61.154
-4.2005	-70.718
-4.7034	-79.703
-5.1768	-87.239
-5.4726	-92.167
-5.6797	-94.485
-5.7683	-95.646
-5.5613	-88.689
-5.3838	-82.314
-5.0584	-73.907
-4.7922	-65.794
-4.3485	-55.647
-3.9639	-47.245
-3.5498	-38.838
-2.9877	-30.723
-2.5145	-23.187
-1.9228	-13.912
-1.3016	-5.7965
-0.73953	0.86949
-0.3254	5.2169
0.23665	11.593
0.85786	18.839
1.5678	27.244
2.1299	35.36
2.6327	42.606
3.2244	51.301
3.9047	61.154
4.4668	69.272
4.9402	77.097
5.2951	82.314
5.5909	85.793
5.7093	87.821
5.5613	81.442
5.2951	75.357
4.9402	66.661
4.6443	59.126
4.2893	51.59
3.7568	40.867
3.1356	30.723
2.5441	21.738
2.0116	13.912
1.272	3.478
0.62121	-4.9273
0.059163	-11.883
-0.68038	-21.448
-1.5678	-32.751
-2.0707	-39.417
-2.8103	-50.14
-3.5794	-59.704
-4.1119	-69.272
-4.6443	-77.964
-5.1176	-86.371
-5.4726	-91.878
-5.7387	-95.067
-5.5613	-88.4
-5.2655	-79.125
-4.8514	-67.822
-4.3485	-56.23
-3.8752	-47.534
-3.2836	-36.809
-2.6919	-26.375
-1.982	-16.231
-1.4199	-8.4054
-0.88745	0
-0.4733	4.3475
0.088745	11.014
0.73953	17.97
1.5678	26.375
2.1595	34.78
2.6327	41.446
3.0764	47.823
3.7273	56.23
4.2893	64.633
4.6443	71.011
5.1472	78.547
5.443	82.893
5.6797	86.66
5.6205	82.603
5.3542	75.646
5.0584	66.372
4.7626	58.548
4.3781	50.14
3.8456	40.867
3.1948	31.302
2.6623	21.158
2.1003	13.332
1.3312	2.0288
0.41415	-9.5646
-0.1479	-17.1
-0.91703	-27.534
-1.5678	-35.65
-2.1595	-42.606
-2.899	-52.169
-3.3428	-60.287
-4.1415	-71.301
-4.8218	-80.575
-5.3838	-89.85
-5.6797	-94.485
-5.3838	-84.632
-5.1176	-75.646
-4.7626	-65.505
-4.2005	-53.041
-3.609	-42.316
-2.9582	-31.592
-2.4257	-23.477
-1.6566	-12.753
-1.0649	-4.0577
-0.56205	0.57965
0	7.2457
0.68038	15.071
1.3608	21.448
1.8932	28.404
2.4553	36.229
2.9582	44.055
3.6386	53.041
4.1415	61.154
4.7034	71.59
5.1176	77.675
5.4134	81.732
5.7093	85.21
5.5613	80.864
5.2655	73.04
4.881	62.026
4.526	53.33
3.8752	39.417
3.1948	28.404
2.5441	19.709
1.8932	11.303
1.2128	1.739
0.68038	-4.3475
0.059163	-11.303
-0.59163	-20.288
-1.3608	-31.012
-2.1299	-39.128
-2.7807	-48.112
-3.4018	-56.808
-4.0231	-65.794
-4.6443	-75.646
-5.0288	-81.442
-5.236	-86.949
-5.4726	-89.561
-5.6797	-92.745
-5.4134	-84.343
-5.088	-74.485
-4.7922	-65.211
-4.4373	-57.676
-4.0823	-49.851
-3.5202	-38.838
-2.9286	-29.273
-2.2777	-18.55
-1.4495	-6.9561
-0.70996	0.86949
-0.11833	6.9561
0.6508	15.941
1.3016	22.607
1.834	28.404
2.3073	34.78
2.6327	39.128
2.7511	40.867
2.7215	35.939
2.2777	28.404
1.8636	20.868
1.3016	12.463
0.82828	6.0865
0.11833	-2.8983
-0.23665	-8.6949
-0.7987	-15.651
-1.4495	-24.346
-1.9228	-31.012
-2.4257	-38.548
-2.6919	-42.316
-2.8398	-44.055
-2.7511	-36.519
-2.6327	-31.592
-2.4257	-24.346
-2.0411	-17.39
-1.5678	-9.5646
-0.97619	-3.478
-0.4733	2.6085
0.1775	9.5646
0.6508	14.492
1.479	24.636
2.1003	32.461
2.8103	42.026
3.4906	51.59
4.2301	63.183
4.7922	73.04
5.4134	81.732
5.7979	87.821
6.2713	92.167
6.8334	95.646
7.4841	98.252
8.1053	100.57
8.4012	101.15
8.6378	101.73
8.5194	96.513
8.2828	88.11
8.0758	78.547
7.8095	71.59
7.3362	60.865
6.8925	52.169
6.3896	43.475
5.5909	31.592
4.8514	22.317
4.2301	14.202
3.5498	5.5069
2.8398	-2.8983
2.0707	-9.8546
0.7987	-17.68
-0.059163	-24.056
-0.7987	-29.563
-1.4199	-33.331
-1.982	-38.258
-2.5441	-44.345
-3.1652	-52.751
-3.6681	-59.998
-4.2893	-70.14
-4.881	-79.125
-5.3247	-86.949
-5.6797	-91.3
-5.9755	-95.646
-6.567	-99.413
-7.0108	-101.44
-7.6321	-103.76
-8.2236	-104.34
-8.549	-104.63
-8.6674	-104.34
-8.6082	-99.992
-8.342	-92.745
-8.1644	-84.632
-7.9278	-75.357
-7.6321	-67.244
-7.2475	-59.998
-6.8334	-52.169
-6.4488	-44.633
-5.9459	-37.389
-5.4726	-30.433
-4.8514	-23.766
-4.2005	-17.1
-3.3132	-9.8546
-2.6031	-3.7679
-1.8636	1.1593
-0.97619	6.0865
-0.62121	8.985
0.35498	15.941
1.479	22.607
2.3665	30.143
3.3428	38.548
4.1119	45.794
5.0288	55.936
5.7387	62.893
6.4192	71.011
6.8925	76.518
7.4545	82.603
7.8687	88.11
8.2236	92.456
8.4604	95.646
8.5786	96.224
8.4012	88.11
8.2236	82.314
7.987	73.907
7.5433	63.183
7.07	53.041
6.508	44.345
5.7387	31.882
4.9696	22.317
4.1415	12.753
3.3428	4.0577
2.4257	-4.3475
1.4199	-11.303
0.53247	-17.97
-0.23665	-22.607
-1.1537	-29.853
-2.0411	-35.65
-3.0764	-42.606
-3.7864	-50.723
-4.5555	-58.837
-5.236	-66.083
-6.0642	-73.618
-6.863	-82.893
-7.6617	-91.589
-8.1053	-95.357
-8.49	-99.992
-8.697	-102.02
-8.5194	-96.513
-8.4012	-91.006
-8.194	-84.054
-8.0462	-77.097
-7.7503	-68.979
-7.3067	-60.576
-6.922	-52.751
-6.3896	-44.345
-5.7683	-35.65
-5.2064	-27.534
-4.5555	-20.578
-3.7864	-13.043
-2.9286	-5.7965
-2.0411	0
-1.0354	6.3765
-0.11833	13.622
0.76912	20.578
1.6566	26.665
2.6623	33.041
3.5202	40.287
4.4077	49.562
5.2064	56.808
5.8571	63.765
6.4192	71.011
7.07	77.675
7.6025	83.764
8.0166	88.4
8.342	93.039
8.6082	95.646
8.4012	86.371
8.1349	77.675
7.7799	67.533
7.2179	55.647
6.6854	45.794
5.9459	35.36
5.1768	24.636
4.4668	16.81
3.6977	8.4054
2.8398	0
2.3073	-4.3475
1.5678	-9.8546
0.23665	-18.839
-0.35498	-23.766
-1.3312	-31.302
-2.4553	-38.258
-3.3132	-45.216
-3.9639	-52.462
-4.7922	-59.415
-5.2951	-65.211
-5.9163	-72.168
-6.567	-79.703
-7.3362	-87.821
-7.9574	-94.485
-8.342	-97.963
-8.6082	-100.86
-8.7266	-101.44
-8.4308	-93.039
-8.2532	-86.082
-8.0462	-76.807
-7.6617	-66.95
-7.2179	-57.387
-6.6854	-47.534
-6.0347	-37.679
-5.4726	-28.983
-4.526	-19.709
-3.609	-11.593
-2.6623	-3.478
-1.4495	2.8983
-0.38456	10.434
0.11833	15.071
0.76912	20.288
1.7158	24.926
2.4849	31.012
3.1356	36.519
3.9047	43.475
4.6147	49.851
5.2655	56.519
5.8571	63.765
6.5375	70.429
7.0996	77.097
7.6912	84.343
8.1349	89.271
8.5194	93.328
8.6082	94.774
8.4012	86.082
8.1644	79.414
7.8983	70.718
7.4841	61.443
7.07	52.462
6.508	42.606
5.9163	33.911
4.9992	22.317
4.1709	12.753
3.3722	4.9273
2.7215	-1.1593
2.3073	-4.9273
1.6566	-8.6949
1.0354	-13.043
0.23665	-18.26
-0.41415	-23.187
-1.1537	-28.404
-1.8932	-33.331
-2.6031	-38.548
-3.461	-45.505
-4.0527	-51.59
-4.881	-58.548
-5.6501	-66.372
-6.2713	-73.618
-6.8334	-80.286
-7.3657	-86.082
-7.8095	-91.006
-8.194	-94.774
-8.4308	-97.385
-8.6674	-99.413
-8.4308	-91.006
-8.2236	-82.893
-7.9278	-74.196
-7.6321	-66.083
-7.1883	-56.519
-6.6262	-46.662
-6.1234	-38.838
-5.4726	-30.723
-4.7626	-23.187
-3.9935	-15.361
-3.254	-8.4054
-2.4553	-2.0288
-1.3903	4.3475
-0.1775	11.593
0.6508	17.39
1.6566	23.187
2.3961	28.694
3.2244	35.939
4.0231	43.475
5.0288	52.169
5.7683	60.576
6.5375	68.979
7.0996	75.936
7.7799	83.764
8.194	88.4
8.4308	91.589
8.6378	93.617
8.4604	86.371
8.194	77.386
7.7503	67.244
7.3067	56.808
6.5966	43.765
5.7979	33.041
4.9402	22.028
4.0527	11.593
3.254	3.478
2.3961	-3.478
1.5678	-8.985
0.70996	-15.651
0.059163	-19.419
-0.50288	-23.477
-1.3016	-28.983
-2.4257	-37.389
-3.3722	-44.633
-3.9935	-50.429
-4.8514	-58.548
-5.7093	-66.661
-6.5966	-75.646
-7.1883	-82.314
-7.7799	-89.271
-8.1644	-93.328
-8.4308	-95.935
-8.6378	-97.674
-8.4604	-89.271
-8.1644	-79.992
-7.7503	-69.272
-7.3657	-59.704
-6.8334	-50.14
-6.2417	-40.287
-5.5613	-31.012
-4.8514	-22.897
-4.0823	-15.071
-3.1652	-7.8258
-2.2777	-0.28983
-1.2128	5.2169
-0.53247	9.2745
0.3254	15.071
1.0945	20.288
1.8044	25.506
2.4849	30.433
3.254	36.809
3.9935	42.896
4.8514	51.301
5.5613	59.415
6.3304	66.95
7.0996	76.225
7.8095	82.893
8.342	88.689
8.5786	91.006
8.4308	85.793
8.194	78.258
7.8095	68.689
7.3953	59.704
6.8925	49.851
6.1529	39.128
5.5021	28.983
4.7626	19.419
3.9935	10.434
3.254	2.8983
2.4849	-2.8983
1.6862	-8.6949
0.91703	-13.912
0.1775	-18.55
-0.73953	-25.216
-1.3312	-29.273
-2.3369	-36.229
-2.9286	-40.287
-3.7864	-47.245
-4.4964	-54.197
-5.3247	-61.154
-6.0938	-69.272
-6.922	-78.547
-7.6912	-86.371
-8.2236	-92.456
-8.4604	-95.935
-8.5786	-96.224
-8.4012	-89.271
-8.1644	-80.864
-7.8391	-71.011
-7.4545	-62.604
-7.0404	-53.33
-6.3896	-42.896
-5.7683	-33.911
-5.0584	-25.216
-4.2597	-17.39
-3.5202	-10.724
-2.6919	-3.7679
-1.9524	0.86949
-0.94661	7.5357
0.029582	13.912
0.94661	19.709
1.8044	25.506
2.6031	31.302
3.5498	39.128
4.3781	46.662
5.1176	54.491
5.7683	60.865
6.3896	67.822
6.9812	75.068
7.5137	80.864
8.1349	87.239
8.4604	90.717
8.5786	91.006
8.3716	83.764
8.0166	73.618
7.6025	63.472
7.07	52.751
6.3896	41.446
5.6205	31.302
4.733	19.999
4.0231	11.303
3.0764	2.0288
2.0411	-5.7965
1.2424	-12.173
0.29582	-17.68
-0.29582	-22.897
-1.5678	-31.302
-2.5145	-38.258
-3.3722	-44.923
-4.3781	-52.751
-5.0288	-59.415
-6.0051	-69.85
-6.715	-77.964
-7.3953	-84.343
-7.8687	-89.271
-8.2828	-92.745
-8.549	-95.357
-8.3716	-89.271
-8.1053	-79.992
-7.8687	-71.011
-7.4249	-60.287
-6.863	-50.14
-6.2417	-40.287
-5.5317	-31.302
-4.7922	-22.317
-4.0527	-15.071
-3.106	-7.2457
-2.3073	-1.4492
-1.5086	3.1882
-0.6508	8.985
0.11833	13.912
1.0058	19.129
1.834	24.636
2.8398	32.751
3.816	40.867
4.5555	47.245
5.3542	55.358
6.1529	62.893
6.715	70.14
7.2475	75.936
7.8391	82.893
8.2532	87.532
8.5786	91.006
8.549	86.371
8.2236	79.125
7.9278	69.85
7.5137	60.576
6.9812	50.429
6.4192	39.708
5.5613	28.983
4.6443	18.55
3.9639	10.144
3.2836	2.3187
2.2777	-5.5069
1.1833	-12.173
0.20707	-18.55
-0.6508	-25.506
-1.5974	-31.882
-2.5735	-39.708
-3.5202	-47.534
-4.3781	-53.908
-5.1176	-60.287
-5.9163	-68.4
-6.8038	-76.807
-7.5729	-85.793
-8.0462	-90.717
-8.3716	-94.196
-8.549	-95.646
-8.4012	-89.271
-8.1349	-79.992
-7.6617	-68.979
-7.1291	-57.387
-6.567	-46.955
-6.1234	-39.417
-5.3838	-30.143
-4.6739	-21.158
-3.5794	-11.014
-2.5441	-3.478
-1.5974	2.8983
-0.6508	8.1153
0.1479	13.622
0.73953	17.97
1.834	25.506
2.6031	31.302
3.4906	37.389
4.2301	44.345
4.9106	50.429
5.5909	57.387
6.2417	64.633
7.0108	72.751
7.6321	81.442
8.1644	86.949
8.5786	90.717
8.4012	84.632
8.1644	75.936
7.6617	65.794
7.2475	55.647
6.8334	47.534
6.2713	37.389
5.6797	30.143
4.881	20.288
4.1119	11.593
3.3428	3.1882
2.7215	-2.8983
1.9228	-7.5357
1.0945	-14.202
0.059163	-20.868
-0.76912	-26.954
-1.4199	-31.592
-2.2482	-36.809
-3.2244	-43.475
-4.1119	-50.723
-4.7626	-55.936
-5.443	-62.315
-6.2121	-70.429
-6.922	-78.258
-7.5729	-85.499
-8.0758	-91.3
-8.3716	-94.196
-8.5786	-95.646
-8.3124	-87.239
-8.1644	-79.125
-7.8391	-70.14
-7.3362	-59.704
-6.8038	-49.273
-6.1234	-38.838
-5.4134	-29.273
-4.7626	-21.448
-3.8752	-13.912
-2.9286	-5.5069
-1.8932	2.0288
-0.82828	8.1153
0.059163	13.043
0.62121	17.1
1.6566	23.477
2.9877	33.041
3.8456	39.708
4.7922	49.273
5.6797	58.548
6.3896	66.372
7.07	73.329
7.5729	79.992
8.1349	85.499
8.49	89.561
8.549	90.139
8.2828	82.603
8.1644	75.357
7.8983	67.822
7.2475	55.358
6.5375	42.026
5.7387	30.143
4.733	16.81
3.8752	7.2457
2.9286	-2.0288
2.189	-5.7965
1.3016	-12.463
0.4733	-17.97
-0.3254	-23.766
-1.272	-29.273
-2.1003	-35.07
-3.1948	-42.316
-4.1709	-49.562
-4.7626	-54.78
-5.443	-62.026
-6.0642	-68.111
-6.715	-75.068
-7.3657	-81.153
-7.7799	-86.082
-8.194	-90.717
