BRI No. 2 (Japan) spbaa1	
-0.24074	-3.98
-0.020061	6.6332
0.16049	16.583
0.32098	27.86
0.5216	40.463
0.74228	52.071
1.0031	64.673
1.2037	73.961
1.3842	79.93
1.5246	86.233
1.625	90.544
1.8658	95.188
2.2268	100.49
2.4877	102.48
2.7885	104.14
3.0093	105.14
3.1496	105.47
3.2098	105.8
3.1897	104.14
3.0894	98.506
2.9892	91.54
2.8889	82.252
2.7484	73.631
2.5277	62.684
2.3271	51.408
2.0663	40.463
1.7855	28.191
1.4644	14.593
1.1435	3.6483
0.84258	-5.97
0.5216	-16.915
0.26079	-23.217
0.020061	-30.513
-0.26079	-39.8
-0.66203	-50.083
-0.94289	-62.684
-1.2037	-73.298
-1.3842	-83.248
-1.625	-92.536
-1.9459	-102.48
-2.2268	-107.13
-2.4676	-110.11
-2.7484	-112.1
-3.0293	-113.76
-3.2098	-114.76
-3.3503	-115.09
-3.4105	-114.09
-3.3302	-107.13
-3.3101	-99.169
-3.1897	-90.877
-3.0894	-83.911
-2.9491	-75.286
-2.7685	-68.325
-2.5477	-60.362
-2.3271	-52.405
-2.1265	-43.78
-1.8457	-35.488
-1.5447	-25.206
-1.2639	-16.915
-0.94289	-8.6233
-0.64196	-1.3266
-0.34105	7.2964
-0.040123	15.257
0.20061	21.89
0.50154	31.508
0.82252	41.79
1.1636	51.408
1.4845	61.025
1.8457	70.313
2.1666	79.601
2.4676	88.555
2.7083	93.862
2.929	98.172
3.0493	99.169
3.1295	100.16
3.0293	94.191
2.8889	83.248
2.7283	73.631
2.5277	62.351
2.3071	52.405
2.0462	40.463
1.7855	29.85
1.5246	20.231
1.1435	5.6381
0.76233	-3.3166
0.48147	-11.608
0.18056	-20.563
-0.22068	-30.182
-0.62191	-38.473
-1.1034	-51.742
-1.4444	-60.696
-1.7654	-70.976
-1.986	-77.942
-2.3271	-87.892
-2.7083	-98.506
-2.9089	-103.15
-3.0293	-105.8
-3.1496	-106.46
-3.0894	-100.49
-3.0493	-94.854
-2.8889	-85.9
-2.7083	-76.945
-2.4676	-67.991
-2.287	-59.366
-2.0061	-49.42
-1.625	-39.136
-1.3241	-29.518
-0.90277	-18.573
-0.62191	-9.6184
-0.38117	-0.66332
-0.18056	6.6332
0.24074	18.905
0.48147	27.196
0.76233	36.152
1.1636	46.764
1.5046	57.711
1.7454	65.669
2.0462	74.294
2.3271	81.923
2.6681	90.214
2.8889	95.521
2.9691	96.847
2.9892	94.854
2.9089	90.214
2.8889	84.908
2.7885	76.945
2.6079	68.654
2.5076	62.022
2.2669	52.071
1.986	41.458
1.7855	32.503
1.4644	20.231
1.1836	10.945
0.86263	0.99498
0.66203	-3.98
0.40123	-11.94
0.12037	-20.231
-0.10031	-26.865
-0.44135	-33.498
-0.7824	-41.79
-1.2237	-51.742
-1.5046	-59.7
-1.8858	-70.313
-2.1666	-78.605
-2.4475	-87.23
-2.8287	-97.176
-3.0093	-102.15
-3.1295	-105.8
-3.1095	-99.169
-3.0293	-91.54
-2.8287	-83.578
-2.6681	-74.957
-2.4475	-64.01
-2.2068	-55.718
-1.966	-47.427
-1.6651	-38.141
-1.2438	-26.865
-0.92282	-15.92
-0.56172	-6.965
-0.42128	-1.3266
-0.12037	9.2866
0.18056	16.583
0.38117	21.89
0.68209	31.84
0.94289	40.131
1.2037	48.423
1.4243	56.052
1.6651	62.684
1.9459	69.65
2.2268	76.945
2.5277	84.574
2.8086	91.54
2.9491	95.188
2.9892	95.85
3.0493	95.85
2.9691	90.544
2.8086	80.593
2.6481	68.654
2.3873	57.378
2.1265	47.098
1.8256	36.152
1.5046	25.206
1.1234	13.266
0.80245	4.6435
0.58177	-1.6583
0.3611	-9.2866
0.040123	-17.578
-0.30093	-27.196
-0.68209	-36.152
-1.0432	-45.105
-1.5046	-59.037
-1.8457	-68.654
-2.2469	-80.593
-2.5879	-89.552
-2.9089	-98.835
-3.0693	-103.81
-3.1697	-103.81
-3.0693	-95.85
-2.9691	-88.555
-2.8086	-79.267
-2.5678	-67.657
-2.287	-58.04
-2.0663	-49.749
-1.7454	-40.463
-1.4444	-31.176
-1.0833	-20.895
-0.64196	-9.6184
-0.26079	0.99498
0.040123	11.277
0.34105	20.231
0.64196	30.182
1.0633	42.785
1.2639	49.749
1.6651	61.025
1.926	68.987
2.1265	73.961
2.4475	82.252
2.8287	89.881
2.929	93.199
2.9691	90.544
2.9691	86.562
2.6882	77.279
2.5076	66.003
2.3071	56.052
2.1064	46.101
1.7654	35.82
1.4243	26.201
1.1636	16.252
0.84258	5.3067
0.54166	-3.3166
0.26079	-10.282
0	-18.905
-0.44135	-29.518
-0.80245	-39.468
-1.304	-51.408
-1.7253	-63.018
-2.0262	-72.964
-2.5076	-87.892
-2.7083	-93.199
-2.9491	-100.16
-3.1095	-102.15
-3.0293	-95.521
-2.929	-86.896
-2.6681	-72.301
-2.3873	-62.684
-2.0061	-51.408
-1.6852	-41.458
-1.304	-29.85
-0.90277	-16.583
-0.62191	-9.6184
-0.3611	-1.99
-0.040123	7.2964
0.18056	15.257
0.46142	24.543
0.7824	34.825
1.1034	43.448
1.4444	53.396
1.7052	62.684
2.0061	70.976
2.3673	80.264
2.6079	86.233
2.8688	91.869
2.9691	93.199
2.9089	87.23
2.6882	74.294
2.5277	64.344
2.287	56.381
1.986	45.768
1.6852	34.161
1.3842	23.548
1.1034	13.266
0.84258	4.6435
0.5216	-5.3067
0.20061	-13.598
-0.10031	-20.231
-0.60184	-30.513
-0.90277	-39.136
-1.2037	-49.42
-1.5447	-59.037
-1.9459	-70.647
-2.287	-80.593
-2.5879	-88.884
-2.8287	-96.513
-2.9892	-100.49
-3.0693	-101.82
-2.9892	-93.528
-2.8487	-84.245
-2.6882	-74.957
-2.4275	-64.673
-2.1064	-54.393
-1.8457	-45.439
-1.4845	-34.825
-1.1836	-25.87
-0.90277	-16.252
-0.62191	-7.9601
-0.32098	0.99498
0.040123	11.277
0.34105	20.231
0.66203	29.518
0.94289	39.136
1.3241	50.745
1.7052	61.688
2.0262	70.976
2.4475	81.923
2.8688	91.869
2.9691	93.199
2.8287	84.908
2.628	73.298
2.4074	63.681
2.0663	51.408
1.7454	39.468
1.5046	29.187
1.2037	17.91
0.92282	7.2964
0.58177	-1.99
0.26079	-10.282
0	-15.588
-0.26079	-23.88
-0.58177	-34.825
-1.0432	-46.435
-1.4243	-55.056
-1.7855	-66.003
-2.1265	-75.62
-2.4676	-87.23
-2.6681	-92.536
-2.8889	-98.835
-3.0293	-103.48
-3.1095	-102.48
-2.9892	-91.869
-2.8688	-81.923
-2.6079	-71.972
-2.3472	-62.022
-2.0663	-52.734
-2.1064	-52.734
-1.8457	-44.776
-1.5046	-33.498
-1.1234	-22.553
-0.70214	-11.277
-0.34105	0.66332
0.10031	13.266
0.5216	25.538
0.90277	36.483
1.3241	49.086
1.6651	60.696
1.926	69.65
2.3873	80.927
2.8086	90.214
2.9089	92.536
2.9691	92.203
2.929	86.896
2.8287	78.271
2.6882	70.976
2.4275	59.366
2.0462	47.098
1.7052	35.82
1.2639	20.895
0.98301	10.945
0.70214	0.99498
0.5216	-7.6283
0.20061	-12.272
-0.10031	-18.905
-0.76233	-36.152
-1.2037	-46.435
-1.645	-59.366
-2.0061	-70.976
-2.4275	-83.578
-2.7283	-90.877
-2.9089	-96.513
-3.0493	-99.831
-3.0293	-93.528
-2.8487	-85.237
-2.6681	-74.957
-2.4877	-65.669
-2.1867	-54.393
-1.7855	-42.122
-1.4042	-32.503
-1.0231	-20.895
-0.64196	-9.9498
-0.3611	-1.6583
-0.060184	7.2964
0.18056	16.915
0.54166	28.191
0.8827	37.478
1.2237	46.764
1.4845	55.718
1.8056	65.669
2.1466	74.623
2.6079	87.23
2.8688	91.869
3.0093	92.536
2.8889	84.245
2.5879	70.313
2.3071	58.04
1.986	45.439
1.7454	36.483
1.4243	26.533
1.1234	14.593
0.84258	5.6381
0.56172	-2.3217
0.30093	-10.282
0.060184	-15.257
-0.22068	-22.222
-0.60184	-31.176
-0.92282	-39.8
-1.2037	-48.423
-1.6852	-60.033
-1.986	-68.987
-2.3271	-79.267
-2.6481	-88.884
-2.8688	-95.85
-3.0693	-102.15
-3.1095	-100.16
-3.0293	-90.214
-2.8688	-80.927
-2.6079	-70.647
-2.3071	-58.703
-1.986	-50.412
-1.645	-40.795
-1.3642	-31.508
-1.0432	-20.895
-0.64196	-10.613
-0.28086	0.99498
0.040123	11.608
0.40123	21.558
0.80245	33.166
1.1836	43.448
1.4644	53.067
1.7654	63.018
2.0663	72.635
2.5277	83.911
2.9089	91.869
3.0093	93.199
2.8287	83.911
2.5879	70.313
2.3673	57.711
2.1064	49.749
1.6852	36.152
1.3442	22.885
0.96295	10.613
0.62191	0
0.38117	-6.965
0.080245	-14.925
-0.22068	-23.217
-0.64196	-33.166
-1.0231	-44.443
-1.4644	-55.718
-1.8658	-66.995
-2.1265	-75.286
