"Soderstrom, 2001,C1"	
6.302695217	13.71730957
5.400772347	10.82168369
4.311525513	8.402978882
2.995616843	4.723827936
1.832582808	2.691223212
0.799645594	1.021971742
-0.395612666	-0.022732969
-1.536746554	-3.05461805
-2.770281857	-6.17735184
-3.830975044	-9.084330341
-4.861902725	-12.11622928
-6.034412378	-16.37447491
-7.265456953	-20.97342399
-8.258688355	-26.66247441
-9.648504944	-32.65811497
-10.76676713	-38.26771089
-11.80693885	-43.11645927
-12.75679483	-47.60184053
-14.05764968	-53.18867576
-15.07657693	-58.44624333
-16.00249548	-64.31699117
-17.3425317	-70.32398435
-18.38071085	-76.35371051
-18.41499781	-75.78594073
-17.36306834	-69.26792702
-16.17887116	-62.92027197
-15.19644085	-57.29933728
-14.20643094	-52.10992704
-13.17182342	-46.6820424
-12.02690906	-39.90287677
-10.8942192	-34.92920795
-9.621830753	-27.95699228
-8.441368404	-22.69945244
-7.391438334	-17.6463014
-6.260265804	-13.11550964
-4.893591535	-9.027553363
-3.746295474	-3.315783832
-2.710496281	-0.62456062
-1.745595837	1.442129696
-0.733949602	3.156777798
0.440321082	4.553497001
1.048977135	5.359727317
2.052685902	7.187943236
3.058285777	9.3454684
4.330981347	11.5370653
5.513719817	15.74991429
6.570275684	19.33821653
8.025985307	24.07342481
9.037570628	29.33097852
10.05921707	32.53319453
11.06189231	38.18820095
11.23978538	39.14202922
12.27522947	43.60470524
13.21834237	48.57837406
14.15362614	51.87142492
15.21752912	58.16231685
16.22920746	62.51143891
17.29822303	68.63199991
18.33907583	73.71919496
16.9525531	65.97484843
15.802575	58.80958272
14.71742071	54.75571204
13.80736421	47.62450419
12.78242518	42.29883475
11.41250984	36.75741001
9.886825736	31.29545364
9.795100085	28.10457639
8.671775945	24.17562614
7.194899548	19.00892114
5.869644417	14.09202931
5.993927378	12.62719436
4.988148255	9.640705913
4.080490283	7.097108388
2.902289325	4.644345711
1.850193221	2.838821177
0.611823461	1.2036553
-0.562890582	-0.817624523
-1.757937159	-3.281725962
-2.957442631	-6.165999217
-4.046625113	-9.01620074
-5.244916019	-13.30853196
-6.393737856	-17.70307837
-8.07474994	-24.9705177
-9.232038691	-28.75188384
-10.28830257	-35.21309284
-11.4518549	-40.82266104
-12.50727899	-45.71683377
-13.50127331	-50.74727957
-14.79374762	-55.20994172
-15.78286945	-62.78398504
-16.77221039	-67.3374959
-17.96174606	-73.48077601
-17.84044346	-72.00456072
-17.81268672	-69.63130799
-16.8422551	-66.19060372
-15.69007229	-59.93378352
-14.45729316	-53.50663238
-13.2363969	-47.02270427
-12.18026489	-41.48126567
-11.18277682	-35.87171133
-10.17480644	-30.72772544
-9.048505376	-25.8562441
-7.793096301	-20.3148055
-6.659068534	-14.06935178
-5.644459735	-10.07224421
-4.633111366	-6.586143309
-3.507813422	-3.770013517
-2.41989958	-0.408819192
-1.389903783	2.055323831
-0.227087889	3.270317893
0.907962534	5.098547673
1.951895412	6.642892564
2.909847006	8.607395409
3.925859072	10.8103172
5.064131853	14.34185633
5.980108629	17.101223
7.042049405	20.43971208
8.137686057	24.95913735
9.211922467	29.11520937
10.14245985	33.79362681
11.21207417	38.85814433
12.13844791	42.54863404
13.08997258	46.82965422
14.09714566	52.05312234
15.00973014	56.24326609
16.01512875	61.10338095
16.98115161	66.44038916
18.19799009	70.83493557
17.20198436	66.7583735
16.15763707	60.04729589
15.0662097	53.85863301
14.05464805	49.47545308
12.86359742	42.40104994
11.53364246	38.415295
11.48939418	36.34860468
10.55231993	31.37494972
9.284829106	25.90164073
8.231611455	21.77962658
7.004710988	17.23746834
5.859753282	13.01326672
4.755906944	8.686863772
3.769162412	6.313569458
2.84566088	4.428590422
1.738983022	2.691209351
0.796611016	1.907698144
0.1838226	0.545050672
-2.213913052	-4.178804987
-4.611429454	-10.83305017
-7.027792808	-19.46317855
-9.438824315	-30.94346687
-11.8350941	-41.64025784
-14.15234652	-53.94950944
-16.66114917	-64.88474709
-19.11894083	-78.5566323
-21.53018306	-88.7765022
-24.00428103	-93.98861769
-23.42242797	-88.95818576
-20.84637672	-72.93571148
-18.44778125	-59.79753818
-16.15336085	-47.10220035
-13.83806884	-36.24643107
-11.33359312	-24.81156711
-8.964193846	-14.46679063
-6.627376466	-5.700416908
-4.214832478	0.8289217
-1.954061946	4.564849625
0.540637898	7.880647318
2.855858272	12.46821605
5.158230771	16.8400295
7.473195753	25.02726695
10.11400179	34.16837427
