"Ang et al. 1985, Spec. 9"	
48.341	326.23
52.649	334.96
56.261	340.41
59.639	346.96
62.436	349.14
64.531	351.32
65.347	353.5
65.58	342.59
64.882	329.5
64.183	305.49
62.901	277.13
60.688	241.12
58.59	210.57
55.679	166.93
52.535	123.29
49.621	86.193
46.825	53.463
43.449	21.821
39.604	-4.3642
35.179	-30.55
30.053	-56.737
25.509	-76.376
21.316	-96.015
17.589	-111.29
14.444	-123.29
9.9009	-138.57
5.3581	-152.75
1.5143	-166.93
-2.7955	-182.21
-7.9207	-202.94
-13.629	-222.58
-17.589	-238.94
-21.549	-254.22
-25.277	-269.49
-29.004	-289.13
-34.945	-316.41
-39.487	-337.14
-44.613	-353.5
-47.991	-365.51
-50.437	-373.14
-53.698	-385.14
-56.612	-389.51
-59.058	-392.78
-60.104	-389.51
-60.571	-382.96
-62.319	-382.96
-63.134	-384.06
-63.368	-375.32
-63.833	-360.05
-63.251	-343.68
-61.735	-312.04
-60.338	-282.59
-58.59	-250.94
-56.378	-218.21
-54.513	-186.57
-51.951	-153.84
-50.203	-123.29
-47.874	-97.105
-45.311	-64.375
-42.517	-41.461
-39.37	-17.457
-37.274	-3.2732
-34.828	9.8195
-32.149	25.094
-27.14	49.099
-22.132	66.554
-17.589	85.103
-11.998	100.38
-5.8242	122.2
0	141.84
4.1933	158.21
9.3188	174.57
15.609	194.21
21.316	217.12
28.189	243.31
33.315	257.49
38.672	271.68
42.748	283.68
46.477	294.59
50.904	307.68
53.932	313.13
58.242	321.86
61.153	326.23
63.95	328.41
65.23	329.5
64.999	318.59
64.648	301.13
63.599	279.31
61.852	250.94
60.221	220.4
58.242	193.12
56.027	160.39
53.116	122.2
50.67	89.467
47.64	56.737
44.846	29.459
41.234	2.1821
36.225	-22.912
32.499	-40.369
28.654	-55.643
25.393	-66.554
20.385	-86.193
14.211	-109.11
10.6	-122.2
4.4265	-144.02
0.23297	-159.3
-4.077	-171.3
-10.717	-195.3
-16.657	-220.4
-20.734	-231.3
-26.675	-250.94
-31.915	-269.49
-37.856	-293.49
-43.914	-316.41
-50.32	-333.87
-54.63	-345.87
-59.174	-354.59
-62.319	-354.59
-63.482	-355.68
-64.414	-353.5
-64.648	-348.05
-63.95	-326.23
-63.017	-301.13
-61.27	-268.4
-59.289	-236.76
-57.31	-204.03
-54.747	-166.93
-52.766	-138.57
-50.787	-112.38
-48.689	-88.377
-45.895	-63.28
-43.564	-38.187
-41.118	-20.73
-38.905	-3.2732
-36.693	8.7283
-32.499	30.55
-26.792	51.279
-21.666	68.738
-16.657	80.74
-12.231	92.741
-7.1054	105.83
-2.7955	116.74
1.7472	135.29
6.1735	152.75
10.717	172.39
16.774	194.21
22.132	210.57
28.771	230.21
33.315	241.12
37.391	250.94
42.982	267.31
48.572	279.31
52.883	288.04
57.076	296.77
61.27	301.13
63.716	304.41
64.882	305.49
65.113	295.68
64.882	284.77
64.066	264.04
62.436	244.4
60.688	212.76
58.941	188.75
56.843	159.3
54.397	123.29
52.067	96.015
50.089	73.102
47.991	53.463
44.148	26.185
41.118	2.1821
36.576	-22.912
32.032	-43.642
29.004	-54.553
25.977	-64.375
22.831	-72.008
18.171	-85.103
13.862	-101.47
9.7846	-112.38
5.7076	-125.47
1.5143	-137.47
-4.3099	-152.75
-9.2022	-166.93
-16.657	-185.48
-20.152	-195.3
-24.345	-210.57
-29.82	-230.21
-35.179	-247.67
-38.905	-257.49
-43.216	-270.59
-46.594	-281.49
-50.089	-286.95
-54.165	-296.77
-58.125	-303.32
-61.387	-305.49
-62.784	-305.49
-63.833	-304.41
-63.599	-285.86
-62.436	-255.31
-60.805	-229.12
-59.174	-207.3
-57.892	-183.3
-55.446	-152.75
-53.35	-127.66
-50.32	-94.921
-47.292	-64.375
-44.379	-38.187
-40.886	-12.002
-36.459	10.911
-33.431	25.094
-29.936	41.461
-27.14	54.553
-22.248	70.918
-17.822	81.829
-14.094	92.741
-7.6878	108.02
-1.9802	122.2
2.9121	135.29
8.8527	147.29
15.376	165.84
21.316	177.84
26.675	193.12
32.032	209.48
36.924	223.67
42.167	237.85
46.594	248.76
51.369	259.67
56.959	267.31
60.919	272.76
63.368	274.95
64.648	274.95
64.999	273.85
65.113	261.85
64.414	242.21
63.251	219.3
61.387	193.12
59.174	164.75
56.495	130.93
54.049	100.38
51.486	72.008
49.388	51.279
46.243	27.276
42.982	7.6376
38.788	-13.093
35.062	-28.368
31.1	-46.915
23.879	-72.008
20.617	-79.645
15.259	-91.651
11.182	-100.38
5.8242	-113.47
1.2813	-123.29
-3.9604	-135.29
-8.5032	-142.93
-16.308	-162.57
-20.268	-172.39
-25.626	-186.57
-30.053	-201.85
-35.527	-213.85
-41.118	-233.49
-46.594	-249.85
-52.067	-262.95
-56.261	-269.49
-59.058	-270.59
-60.688	-272.76
-62.667	-272.76
-63.716	-272.76
-63.482	-257.49
-61.968	-220.4
-59.873	-197.48
-57.544	-163.66
-54.747	-128.74
-52.301	-99.289
-50.32	-79.645
-47.409	-52.369
-44.379	-26.185
-41.468	-3.2732
-39.256	10.911
-35.293	27.276
-30.518	46.915
-25.393	61.101
-19.802	77.466
-13.862	86.193
-9.2022	99.289
-4.5428	106.92
-0.11648	117.83
4.5428	126.57
8.9692	134.2
15.376	141.84
21.2	154.93
26.909	166.93
32.032	175.66
35.062	184.39
39.37	195.3
44.379	205.12
48.689	213.85
53.698	221.49
58.359	229.12
61.62	231.3
63.716	233.49
65.113	230.21
65.347	223.67
65.23	212.76
64.183	196.39
62.667	173.48
60.688	147.29
58.473	122.2
55.913	93.831
53.698	68.738
50.32	41.461
46.942	17.457
44.496	0
41.351	-15.275
37.739	-31.641
34.364	-41.461
29.936	-54.553
26.208	-65.464
22.598	-72.008
17.589	-84.014
12.813	-94.921
8.0373	-101.47
3.6109	-111.29
0	-116.74
-3.4945	-120.02
-8.2702	-129.83
-12.697	-135.29
-16.54	-141.84
-19.919	-150.57
-24.461	-159.3
-30.053	-171.3
-33.315	-180.02
-36.924	-188.75
-40.653	-197.48
-44.963	-207.3
-47.991	-214.94
-51.951	-222.58
-56.261	-231.3
-59.058	-235.67
-61.62	-235.67
-63.716	-235.67
-64.765	-231.3
-63.482	-211.66
-61.968	-184.39
-59.522	-150.57
-57.193	-120.02
-54.63	-89.467
-51.486	-57.827
-47.526	-30.55
-44.379	-13.093
-42.283	0
-38.324	17.457
-33.779	34.914
-27.257	55.643
-22.365	68.738
-16.191	84.014
-10.6	93.831
-4.3099	109.11
1.1648	118.93
