"Potangaroa 1979, Spec. 4"	
15.708	515.06
15.479	487.57
15.402	461.9
15.172	441.76
15.019	416.1
14.712	392.27
14.482	368.44
14.176	340.94
13.869	318.94
13.563	296.95
13.026	271.28
12.643	245.62
12.413	223.63
11.954	199.8
11.417	170.47
10.728	144.81
10.344	120.98
9.7315	93.484
9.1951	67.822
8.5822	45.826
7.969	14.664
7.586	-5.4989
7.0495	-29.328
6.5898	-56.822
5.9769	-76.985
5.5171	-102.65
5.2106	-128.31
4.4442	-153.98
4.0612	-177.8
3.5248	-203.47
2.9119	-232.79
2.452	-258.46
1.839	-284.12
1.3026	-311.61
0.76627	-337.27
0.3065	-351.94
0	-370.27
-0.68964	-408.76
-1.4559	-439.92
-2.0689	-463.77
-2.6053	-491.26
-3.2949	-527.91
-3.8313	-553.58
-4.6741	-586.54
-5.3637	-614.08
-5.9769	-634.23
-6.8964	-663.54
-7.6627	-687.38
-8.2756	-707.53
-8.9652	-725.86
-10.191	-744.19
-11.187	-749.7
-12.184	-757.04
-13.103	-762.51
-13.869	-764.38
-14.482	-762.51
-15.095	-764.38
-15.479	-764.38
-15.785	-764.38
-16.321	-762.51
-16.398	-749.7
-16.321	-729.55
-16.245	-709.36
-16.015	-681.87
-15.708	-656.2
-15.708	-628.71
-15.632	-601.22
-15.325	-575.56
-15.095	-557.23
-15.095	-542.55
-14.789	-511.41
-14.635	-491.26
-14.482	-471.07
-14.329	-447.27
-13.946	-427.09
-13.793	-397.76
-13.41	-381.27
-13.026	-355.6
-12.567	-322.61
-12.184	-300.62
-11.8	-276.79
-11.187	-245.62
-10.804	-225.46
-10.191	-186.97
-9.7315	-161.31
-9.2718	-133.81
-8.7353	-111.81
-8.1991	-84.32
-7.586	-62.324
-6.9731	-36.66
-6.3599	-14.664
-5.8235	10.998
-5.2873	34.827
-4.6741	58.654
-4.1379	84.32
-3.6782	104.48
-2.9119	135.64
-2.3754	155.81
-1.7624	174.13
-0.91951	201.63
-0.3065	221.79
0.22988	249.29
0.8429	269.45
1.6091	293.28
2.2221	313.44
2.8351	333.61
3.6782	359.27
4.3678	384.93
5.0574	412.43
5.5936	436.25
6.0536	452.74
6.7432	472.93
7.5093	498.6
8.2756	524.22
8.9652	542.55
9.5016	559.05
10.191	579.25
10.804	593.88
11.57	610.39
12.03	621.37
12.873	639.74
13.41	654.38
14.329	670.88
15.019	683.69
15.785	698.37
16.628	709.36
16.934	711.23
16.781	694.72
16.705	681.87
16.628	661.72
16.475	639.74
16.551	617.72
16.475	590.23
16.168	570.08
15.938	544.42
16.015	524.22
15.785	498.6
15.708	469.24
15.402	441.76
15.095	408.76
14.865	381.27
14.482	350.11
14.099	318.94
13.793	295.11
13.18	263.95
12.95	234.63
12.567	212.63
12.03	185.13
11.264	153.98
10.728	130.15
10.268	106.31
9.8082	86.153
9.3485	64.157
8.5822	32.994
7.8158	-1.833
7.3561	-21.996
6.7432	-43.992
6.2835	-65.989
5.8235	-84.32
5.2873	-100.81
4.7508	-122.81
3.9845	-148.47
3.2182	-177.8
2.5287	-205.3
1.7624	-236.46
1.1494	-256.62
0.45977	-282.28
0	-304.28
-0.613	-326.28
-1.3793	-348.27
-1.839	-366.6
-2.0689	-377.6
-2.9119	-397.76
-3.448	-414.26
-4.2144	-439.92
-4.9807	-461.9
-5.2106	-480.23
-5.747	-498.6
-6.5133	-522.4
-7.2029	-540.73
-7.969	-560.92
-8.5054	-573.73
-9.5016	-597.57
-10.498	-621.37
-11.494	-645.21
-12.337	-665.37
-12.797	-676.4
-13.716	-698.37
-14.559	-711.23
-15.708	-725.86
-16.015	-725.86
-16.091	-707.53
-16.015	-683.69
-15.938	-663.54
-15.708	-628.71
-15.402	-593.88
-15.095	-562.74
-14.865	-533.39
-14.559	-505.9
-14.252	-472.93
-13.869	-443.59
-13.563	-414.26
-13.256	-388.6
-13.026	-370.27
-12.72	-350.11
-12.184	-318.94
-11.8	-295.11
-11.341	-267.62
-10.958	-249.29
-10.651	-221.79
-10.191	-196.13
-9.8082	-168.64
-9.3485	-146.64
-8.812	-124.64
-8.2756	-100.81
-7.8925	-75.153
-7.5093	-60.491
-6.9731	-34.827
-6.4366	-16.497
-5.747	12.831
-5.2106	34.827
-4.6741	58.654
-4.2911	75.153
-3.7546	98.982
-3.1417	120.98
-2.5287	144.81
-2.2221	159.47
-1.4559	183.3
-0.68964	208.96
0	232.79
0.613	256.62
1.6091	284.12
2.3754	307.95
2.9119	329.94
3.448	344.61
4.1379	368.44
4.904	390.43
5.5171	406.93
6.2067	427.09
6.9731	450.92
7.7391	476.58
8.3523	496.73
8.9652	518.75
9.7315	540.73
10.421	560.92
11.341	588.41
12.03	608.56
12.95	625.06
13.946	645.21
15.095	663.54
16.398	680.04
17.164	691.03
18.237	703.89
19.233	713.05
20.076	722.21
20.766	727.68
21.609	729.55
22.298	729.55
23.141	729.55
23.754	729.55
24.061	729.55
24.52	729.55
24.674	714.87
24.52	703.89
24.597	694.72
24.597	681.87
24.444	665.37
24.444	647.04
24.367	632.4
24.291	619.55
24.291	603.05
24.061	584.72
23.907	568.22
23.831	548.07
23.677	531.56
23.601	513.24
23.524	489.39
23.371	472.93
23.218	449.09
22.911	427.09
22.835	401.43
22.528	383.1
22.068	355.6
21.992	339.11
21.762	326.28
21.532	302.45
21.149	282.28
20.766	262.12
20.153	243.79
19.77	218.13
19.386	197.96
18.773	172.3
18.16	152.14
17.701	131.98
17.164	108.15
16.628	84.32
15.862	58.654
15.172	31.161
14.865	16.497
14.252	-3.666
13.563	-31.161
13.026	-54.989
12.413	-75.153
11.647	-97.149
10.575	-124.64
9.8847	-146.64
9.1186	-164.97
8.2756	-186.97
7.5093	-210.8
6.6665	-229.13
5.9002	-251.12
4.9807	-273.12
4.3678	-293.28
3.2182	-318.94
2.2988	-340.94
1.4559	-359.27
0.15325	-388.6
-0.99614	-423.43
-1.9156	-449.09
-2.9883	-469.24
-3.9845	-494.91
-4.9807	-518.75
-6.13	-553.58
-7.3561	-573.73
-8.7353	-604.91
-9.8082	-626.89
-10.728	-647.04
-11.877	-667.23
-12.797	-689.21
-13.946	-700.19
-14.865	-713.05
-15.785	-727.68
-16.628	-740.54
-17.471	-744.19
-18.314	-747.88
-18.85	-753.35
-19.54	-755.22
-20.076	-758.87
-20.229	-747.88
-20.153	-729.55
-20.229	-709.36
-20.076	-687.38
-19.923	-659.89
-19.693	-630.54
-19.31	-603.05
-19.156	-579.25
-19.08	-560.92
-18.85	-538.9
-18.697	-515.06
-18.314	-487.57
-18.16	-461.9
-17.854	-436.25
-17.471	-410.59
-17.241	-392.27
-16.934	-368.44
-16.551	-346.44
-16.168	-328.11
-15.785	-309.78
-15.325	-291.45
-14.942	-273.12
-14.635	-254.79
-14.176	-232.79
-13.793	-216.29
-13.486	-203.47
-13.18	-190.63
-12.643	-172.3
-11.877	-148.47
-11.187	-124.64
-10.651	-106.31
-9.9614	-80.651
-9.5783	-69.655
-8.8887	-49.491
-8.2756	-32.994
-7.8925	-12.831
-7.4328	1.833
-6.8964	18.33
-6.2835	36.66
-5.5171	56.822
-4.9807	73.32
-4.4442	93.484
-3.7546	117.31
-3.065	131.98
-2.452	150.31
-1.6091	172.3
-0.99614	194.3
-0.3065	214.46
0.38313	241.96
1.0728	262.12
1.6091	276.79
2.2988	296.95
2.9883	313.44
3.8313	333.61
4.5209	348.27
5.2873	362.93
6.2067	384.93
6.7432	397.76
7.4328	417.93
8.3523	436.25
9.2718	460.08
9.8082	478.41
10.421	496.73
11.187	515.06
12.184	533.39
13.18	553.58
14.406	579.25
15.402	593.88
16.475	610.39
17.624	630.54
18.773	645.21
19.923	659.89
20.919	672.7
21.838	683.69
22.452	685.56
23.294	692.9
24.061	696.55
24.597	700.19
24.98	700.19
25.363	702.06
25.441	685.56
25.21	669.06
25.21	656.2
25.21	636.05
24.903	617.72
24.827	599.4
24.827	582.9
24.597	562.74
24.674	540.73
24.291	526.09
24.137	502.25
24.061	480.23
23.831	463.77
23.677	443.59
23.371	412.43
22.988	390.43
22.681	364.77
22.375	342.78
21.992	318.94
21.455	293.28
20.996	265.79
20.536	247.45
19.923	216.29
19.233	190.63
18.62	170.47
18.084	150.31
17.471	122.81
16.934	98.982
16.168	76.985
15.555	58.654
14.942	38.493
14.329	20.163
13.64	-1.833
12.95	-21.996
12.03	-42.159
11.341	-65.989
10.575	-84.32
9.8847	-104.48
8.9652	-128.31
8.1991	-148.47
7.3561	-166.8
6.4366	-190.63
5.8235	-205.3
5.1338	-223.63
4.3678	-247.45
3.6015	-265.79
2.7584	-282.28
1.9923	-296.95
1.3026	-315.28
0.68964	-331.78
0.68964	-331.78
0	-351.94
-0.53637	-370.27
-1.1494	-386.76
-1.7624	-403.26
-2.6053	-425.26
-3.7546	-452.74
-4.6741	-476.58
-5.3637	-496.73
-6.2835	-509.59
-7.2794	-533.39
-8.3523	-559.05
-9.6548	-582.9
-10.421	-593.88
-11.647	-619.55
-12.413	-630.54
-13.563	-648.91
-14.559	-663.54
-15.325	-674.53
-16.168	-685.56
-17.011	-700.19
-18.39	-716.7
-19.003	-718.52
-20.229	-738.72
-21.072	-742.36
-21.992	-747.88
-22.835	-757.04
-23.448	-758.87
-23.907	-758.87
-24.367	-760.69
-24.444	-749.7
-24.291	-731.38
-24.291	-711.23
-24.291	-687.38
-24.214	-658.07
-24.214	-636.05
-23.984	-608.56
-23.677	-581.07
-23.524	-548.07
-23.218	-518.75
-22.911	-491.26
-22.605	-458.26
-22.375	-434.42
-21.992	-410.59
-21.532	-384.93
-21.072	-362.93
-20.612	-342.78
-19.999	-315.28
-19.463	-287.78
-18.85	-263.95
-18.237	-234.63
-17.777	-212.63
-17.011	-186.97
-16.398	-163.14
-15.555	-141.14
-14.865	-111.81
-14.023	-86.153
-13.18	-64.157
-12.49	-45.826
-11.954	-27.495
-11.187	-7.332
-10.498	9.1651
-9.5783	38.493
-8.429	67.822
-7.586	86.153
-6.9731	102.65
-5.9769	128.31
-4.8275	150.31
-3.908	172.3
-2.9883	194.3
-1.9923	214.46
-0.76627	240.12
0.38313	267.62
1.5325	285.95
2.9883	313.44
4.0612	333.61
5.1338	351.94
6.5898	381.27
7.8158	403.26
9.2718	430.76
10.575	456.43
11.341	472.93
12.337	491.26
13.333	511.41
14.559	533.39
15.402	548.07
16.781	573.73
18.16	593.88
19.463	615.9
21.302	637.88
22.988	659.89
24.367	672.7
25.593	681.87
26.744	691.03
28.199	700.19
29.347	703.89
30.343	711.23
31.341	711.23
31.953	711.23
32.337	711.23
32.72	711.23
32.72	698.37
32.642	689.21
32.565	676.4
32.72	661.72
32.565	639.74
32.413	623.24
32.489	610.39
32.261	582.9
32.182	564.57
32.029	548.07
32.029	531.56
31.877	511.41
31.801	494.91
31.722	474.76
31.57	447.27
31.186	421.59
31.034	403.26
30.803	377.6
30.574	353.77
30.19	329.94
29.731	306.11
29.271	278.62
28.735	256.62
28.351	232.79
27.663	207.13
27.125	181.47
26.436	155.81
25.669	126.48
24.674	100.81
23.831	76.985
22.835	51.324
21.915	25.662
21.149	0
20.306	-20.163
19.463	-42.159
18.007	-82.483
17.088	-100.81
15.938	-120.98
15.019	-139.31
13.869	-161.31
13.026	-175.97
11.954	-190.63
11.264	-207.13
10.115	-229.13
8.9652	-247.45
7.969	-260.29
7.1262	-273.12
5.5171	-300.62
4.3678	-318.94
3.2949	-339.11
1.9923	-359.27
1.3026	-370.27
1.0728	-370.27
-0.15325	-390.43
-1.3026	-412.43
-2.1455	-427.09
-3.5248	-449.09
-4.8275	-469.24
-5.9002	-489.39
-7.2029	-509.59
-8.2756	-526.09
-9.2718	-542.55
-10.421	-560.92
-11.8	-579.25
-12.95	-597.57
-14.023	-615.9
-15.019	-628.71
-16.015	-645.21
-17.394	-663.54
-18.62	-680.04
-20.076	-694.72
-20.996	-703.89
-22.528	-720.39
-23.601	-724.04
-24.903	-731.38
-25.977	-736.89
-27.508	-742.36
-28.735	-746.06
-29.731	-742.36
-30.422	-749.7
-31.034	-749.7
-31.493	-747.88
-31.953	-747.88
-32.182	-747.88
-32.565	-747.88
-32.642	-733.2
-32.642	-722.21
-32.565	-702.06
-32.565	-680.04
-32.489	-658.07
-32.337	-634.23
-32.182	-612.21
-32.106	-588.41
-31.877	-560.92
-31.646	-531.56
-31.417	-509.59
-31.11	-482.1
-30.958	-460.08
-30.881	-439.92
-30.498	-414.26
-30.19	-384.93
-29.731	-357.44
-29.195	-333.61
-28.504	-300.62
-27.739	-265.79
-27.125	-243.79
-26.129	-214.46
-25.363	-188.8
-24.75	-172.3
-23.984	-146.64
-22.988	-124.64
-22.298	-108.15
-20.766	-78.818
-19.31	-43.992
-18.314	-16.497
-17.471	7.332
-16.168	36.66
-14.865	60.491
-13.64	84.32
-12.49	102.65
-11.494	119.15
-10.421	142.97
-8.9652	168.64
-7.969	183.3
-6.8964	196.13
-5.9769	210.8
-4.7508	232.79
-3.908	247.45
-2.9119	260.29
-1.5325	276.79
-0.53637	291.45
0.53637	307.95
1.3793	320.78
2.3754	331.78
4.2144	357.44
5.4404	372.1
6.6665	388.6
8.2756	412.43
9.5783	427.09
10.804	443.59
12.49	463.77
13.64	478.41
14.942	493.09
16.321	511.41
17.394	529.74
18.467	544.42
19.693	560.92
20.919	581.07
22.221	595.75
23.371	610.39
24.444	619.55
25.824	632.4
27.125	641.57
28.351	650.73
29.731	659.89
30.726	667.23
31.417	670.88
32.106	670.88
32.565	670.88
32.796	659.89
32.642	643.39
32.565	625.06
32.565	606.74
32.642	593.88
32.565	579.25
32.337	557.23
32.182	540.73
32.182	522.4
31.877	502.25
31.57	476.58
31.262	436.25
30.958	412.43
30.422	383.1
30.267	362.93
29.807	335.44
29.119	309.78
28.583	284.12
28.044	262.12
27.663	232.79
26.896	201.63
26.053	168.64
25.21	137.48
24.367	108.15
23.677	86.153
22.835	58.654
21.685	25.662
20.996	0
20.153	-18.33
19.156	-45.826
18.39	-65.989
17.241	-93.484
16.245	-117.31
14.942	-137.48
13.256	-170.47
12.03	-188.8
11.111	-207.13
9.6548	-227.3
8.5822	-245.62
7.7391	-258.46
6.5898	-274.95
5.4404	-291.45
4.4442	-304.28
3.065	-322.61
1.9923	-340.94
0.76627	-355.6
-0.76627	-375.77
-1.839	-386.76
-3.2182	-399.6
-4.8275	-423.43
-6.3599	-441.76
-7.8925	-460.08
-9.5783	-478.41
-10.498	-491.26
-11.724	-507.76
-12.873	-527.91
-14.099	-546.24
-15.249	-562.74
-16.475	-581.07
-17.547	-592.06
-18.39	-603.05
-19.54	-615.9
-20.919	-632.4
-22.145	-648.91
-23.294	-659.89
-24.367	-672.7
-25.363	-676.4
-26.36	-687.38
-27.508	-694.72
-28.428	-702.06
-29.347	-703.89
-30.038	-711.23
-30.65	-713.05
-31.341	-713.05
-32.029	-714.87
-32.642	-714.87
-32.949	-713.05
-33.332	-711.23
-33.485	-696.55
-33.256	-680.04
-33.256	-661.72
-33.18	-641.57
-33.025	-619.55
-33.025	-601.22
-32.796	-575.56
-32.642	-551.76
-32.337	-527.91
-32.182	-500.42
-32.106	-476.58
-31.722	-449.09
-31.417	-421.59
-31.417	-401.43
-30.958	-377.6
-30.422	-353.77
-30.114	-328.11
-29.502	-306.11
-28.887	-280.45
-28.275	-262.12
-27.816	-245.62
-27.432	-229.13
-26.665	-205.3
-26.129	-183.3
-25.593	-168.64
-25.057	-150.31
-24.214	-126.48
-23.677	-108.15
-23.141	-95.317
-22.605	-80.651
