"Saatcioglu, 1999, Specimen RC-7"	
3294	
-3.9	-22.66891182
-3.95	-23.91633368
-4.66	-24.4717237
-6.1	-29.84546991
-7.9	-33.35264655
-9.38	-36.95231873
-13.12	-44.94740286
-13.44	-46.82489406
-15.36	-50.27983112
-16.17	-50.95003334
-16.32	-51.97229262
-17.11	-52.56952278
-17.2	-53.17287788
-17.87	-54.20229775
-17.99	-54.97010401
-18.46	-55.45984434
-18.8	-55.89029394
-19.01	-56.61145363
-19.75	-57.65125213
-20.01	-58.78982912
-20.33	-58.21730787
-20.35	-57.87027527
-17.25	-39.33029737
-15.34	-33.42686312
-14.65	-31.73446587
-10.96	-19.99682593
-10.51	-18.96003679
-4.92	-4.070317036
-2.78	2.957338609
-1.35	8.33960643
-0.61	9.899451744
0.36	13.42343832
2.92	21.76344277
3.37	22.34023992
6.06	30.97953257
9.78	40.45168844
11.14	43.34354138
11.83	44.06594946
12.85	47.0373318
14.15	48.68026348
16.15	52.97706543
16.48	54.12603572
17.48	55.99442681
18.12	56.15939402
18.67	57.34100448
18.69	57.8339721
19.1	58.44480769
19.27	58.74003189
19.75	59.19125213
20.01	59.53982912
20.01	59.26982912
19.55	48.31157721
17.45	40.89997516
17.36	39.85662018
16.43	37.71861602
15.45	33.81318709
15.02	32.50937484
14.4	31.90736483
13.28	27.88114851
12.79	26.11842708
12.35	25.64312531
11.24	21.95838325
10.43	20.04816309
5.94	6.771720522
4.44	2.349067716
3.34	-0.434213218
2.16	-3.849370633
-1.81	-16.01867568
-3.09	-20.02867727
-3.37	-21.28023992
-3.74	-22.16516185
-4.09	-23.34711487
-4.43	-24.50758335
-5.05	-25.48961366
-5.54	-26.84234683
-5.6	-27.64125291
-6.19	-28.23882892
-6.76	-29.88343555
-6.71	-31.31601395
-7.79	-32.85631931
-8	-34.05748946
-8.83	-35.97068455
-9.14	-36.94669665
-10.27	-38.80441562
-10.76	-40.35714196
-11.81	-42.10298114
-12.41	-43.81203015
-13.24	-44.48521211
-13.53	-45.21825087
-13.89	-46.51167777
-14.58	-47.16407761
-15.11	-48.58273097
-15.3	-49.37092711
-15.86	-49.90403043
-16.49	-51.02751966
-16.65	-51.95126261
-17.49	-52.79591069
-18.22	-54.90423243
-18.97	-55.53551847
-19.04	-55.88590499
-19.34	-56.35041827
-19.54	-57.00009346
-19.8	-57.61867082
-20.11	-57.7346663
-19.18	-45.53667792
-18.72	-43.84842352
-17.44	-39.86849127
-16.79	-37.95203757
-15.73	-34.48473874
-14.99	-32.58492278
-13.74	-28.11941664
-12.36	-24.06460945
-11.55	-22.21439278
-10.5	-18.57855258
-7.76	-11.25186642
-6.83	-9.563825794
-4.28	-0.875317864
-3.59	0.227103779
-2.8	3.544369839
-1.78	5.555777501
-0.01	11.2985156
0.11	12.34632838
0.44	14.0153135
1.03	14.76289292
3.53	23.15398996
4.18	25.15047419
4.52	25.89094263
5.37	27.53711293
5.82	29.11390845
6.18	29.95734458
6.4	31.05999986
6.51	31.52632747
6.94	32.52015329
7.45	33.52585312
7.88	34.27967796
7.92	34.55561513
8.54	36.2076407
9.02	37.57888555
9.47	39.33567696
10	40.45434156
10.38	41.16074201
11.11	41.81908882
11.85	43.78891779
12.62	45.73319695
13.05	47.13701409
13.9	47.85316184
15.12	50.51421498
15.64	51.1113829
16.2	52.29448521
16.84	54.34945717
17.89	55.40526546
19.7	59.67383342
23.68	64.1543067
23.85	64.75952525
24.96	65.54418175
25.32	66.49758166
26.61	67.78892209
27.59	67.69427153
28.18	68.61177353
28.87	69.05410217
29.56	70.33642616
31.12	71.24774968
31.92	71.23636728
33.95	72.28732808
34.71	73.39999105
34.9	72.25815574
36.15	72.48343905
36.55	72.4327257
37.83	72.80242963
38.34	72.698009
38.55	72.62912893
