"McLean 1990, Spec. Con2"	
-1.651	-1.4368
-1.3462	-0.41813
-1.0414	0.55603
-0.7366	1.548
-0.4064	2.5666
-0.127	3.4785
0.3302	4.7151
0.5842	5.5202
0.889	6.1964
1.2192	7.215
1.4986	7.9801
1.8542	9.1411
2.1082	9.8261
2.4384	10.885
2.8702	12.126
3.1496	13.185
3.4036	13.95
3.7084	15.088
4.0386	16.054
4.318	17.041
4.6228	18.091
4.953	19.256
5.2832	19.341
5.6896	21.756
5.9436	22.704
6.2484	23.807
6.5786	25.008
6.8834	26.062
7.1882	27.014
7.5438	28.233
7.3152	24.181
7.0104	21.943
6.6802	20.395
6.3754	19.038
6.096	17.869
5.7658	16.525
5.4356	15.249
5.0546	14.07
4.7244	12.588
4.4704	11.645
4.1656	10.551
3.8608	9.4525
3.556	8.4294
3.2258	7.4374
2.9464	6.5122
2.54	5.8272
2.2098	4.6662
1.9558	3.9144
1.6002	2.9492
1.3462	2.2464
0.9906	1.1076
0.7112	0.14234
0.4318	-0.6272
0.127	-1.548
-0.254	-2.0996
-0.6096	-3.8299
-0.9144	-4.6706
-1.2192	-5.7249
-1.4986	-6.5789
-1.8288	-7.6643
-2.1336	-8.6562
-2.4384	-9.6437
-2.8702	-10.956
-3.175	-12.264
-3.4544	-13.18
-3.7338	-14.27
-4.0386	-15.435
-4.3434	-16.516
-4.6736	-17.802
-5.0292	-19.221
-5.3594	-20.506
-5.6642	-21.552
-5.9436	-22.757
-6.2484	-23.94
-6.5532	-25.115
-6.858	-26.351
-7.1882	-27.548
-7.4676	-28.611
-7.2898	-24.874
-6.9596	-22.188
-6.731	-20.924
-6.4262	-19.408
-6.0706	-17.726
-5.842	-16.765
-5.461	-15.137
-5.0546	-13.505
-4.826	-12.615
-4.5212	-11.352
-4.2164	-10.213
-3.8862	-8.9187
-3.6068	-7.9668
-3.2512	-6.699
-2.9972	-5.7827
-2.5146	-4.4349
-2.2352	-3.3184
-1.9812	-2.5355
-1.6764	-1.7126
-1.3462	-0.67168
-1.0668	0.19127
-0.7366	1.2188
-0.4318	2.1707
-0.127	3.0337
0.0254	2.2063
0.635	5.1911
1.1938	6.5878
1.7526	8.2159
2.3622	9.9863
3.0988	12.09
3.6576	14.065
4.318	16.214
4.9276	18.362
5.6388	20.6
6.2484	23.064
6.858	25.288
7.4676	26.142
8.1534	28.429
8.763	30.279
9.3472	31.467
9.9822	33.108
10.668	34.825
11.354	36.68
12.014	38.295
12.624	39.002
13.208	37.934
13.945	40.056
14.58	40.577
15.215	40.764
14.58	33.575
13.97	31.022
13.36	28.566
12.675	26.142
12.065	23.896
11.43	21.756
10.795	19.577
10.109	17.295
9.525	15.631
8.9408	13.883
8.3566	12.157
7.6708	10.716
6.985	8.674
6.4008	7.2595
5.7912	5.9384
5.0292	4.5283
4.4704	3.1983
3.8608	1.7482
3.2258	0.42703
2.5146	-0.95192
1.9558	-2.2997
1.3462	-3.7054
0.7366	-5.111
0.1524	-6.5211
-0.635	-8.4338
-1.1938	-9.8973
-1.8034	-11.468
-2.4384	-13.229
-3.1242	-15.231
-3.7338	-17.01
-4.3434	-18.878
-4.9784	-20.938
-5.715	-23.273
-6.2484	-24.919
-6.8326	-26.841
-7.4422	-28.7
-8.1788	-30.466
-8.763	-32.001
-9.398	-33.371
-10.008	-34.678
-10.693	-35.555
-11.354	-37.054
-11.938	-38.103
-12.548	-38.931
-13.284	-40.127
-13.843	-40.163
-14.503	-40.621
-15.113	-40.835
-14.681	-34.145
-14.097	-31.093
-13.487	-28.246
-12.751	-25.213
-12.192	-22.962
-11.582	-20.577
-10.973	-18.3
-10.185	-15.582
-9.652	-13.825
-9.0424	-11.868
-8.4328	-9.9596
-7.62	-7.6865
-7.112	-6.2631
-6.5024	-4.6884
-5.8928	-3.2472
-5.1816	-1.548
-4.5974	-0.23131
-3.937	1.1699
-3.3274	2.4376
-2.667	3.7499
-2.0574	4.8308
-1.4224	6.0229
-0.7112	7.5042
-0.1524	8.6963
0.5588	9.9907
1.143	11.218
1.7272	12.415
2.3368	13.549
3.0988	15.075
3.6576	16.147
4.2926	17.464
4.8768	18.7
5.6134	20.222
6.1468	21.343
6.7818	22.659
7.4168	23.936
8.255	25.604
8.8138	26.792
9.3726	27.988
10.008	29.3
10.668	29.154
11.278	30.582
11.913	31.863
12.522	32.984
13.335	35.924
13.919	36.142
14.554	37.094
15.189	38.264
14.63	32.107
14.021	29.118
13.36	26.694
12.675	24.225
12.116	22.33
11.481	20.164
10.871	18.242
10.16	16.156
9.5758	14.381
8.9916	12.749
8.382	11.121
7.6962	9.3457
7.0358	7.8822
6.4516	6.6723
5.8166	5.4001
5.1054	4.1146
4.5212	2.8469
3.9116	1.6103
3.302	0.43148
2.5146	-1.1966
1.9558	-2.1396
1.397	-3.1538
0.7366	-4.4705
0.127	-5.7293
-0.5588	-7.0549
-1.2192	-8.416
-1.778	-9.6037
-2.413	-10.836
-3.1242	-12.304
-3.7084	-13.54
-4.3434	-14.853
-4.953	-16.2
-5.6642	-17.695
-6.2484	-19.078
-6.858	-20.475
-7.4422	-21.876
-8.128	-23.113
-8.763	-24.995
-9.3726	-26.48
-10.008	-28.037
-10.693	-29.487
-11.303	-31.089
-11.938	-32.597
-12.598	-34.153
-13.259	-35.795
-13.818	-36.805
-14.503	-38.161
-15.088	-39.291
-14.605	-32.432
-14.046	-29.567
-13.437	-26.814
-12.725	-23.86
-12.141	-21.632
-11.532	-19.372
-10.947	-17.21
-10.211	-14.804
-9.6012	-12.806
-8.9662	-10.916
-8.3566	-9.0877
-7.5438	-6.957
-7.0358	-5.6359
-6.4516	-4.2303
-5.8166	-2.8024
-5.1308	-1.6592
-4.5212	-0.14234
-3.9116	1.1343
-3.2766	2.3709
-2.5146	3.5897
-1.9558	4.6973
-1.3716	5.7782
-0.7366	7.0148
-0.1016	8.2603
0.0762	7.5308
0.635	9.6838
1.1176	10.662
1.778	11.912
2.3622	13.064
3.0988	14.381
3.683	15.573
4.2672	16.694
4.8768	17.926
5.6134	19.279
6.2484	20.738
6.8834	22.032
7.4676	23.238
8.2042	24.714
8.763	25.8
9.3472	26.947
9.9568	28.179
10.719	29.799
11.278	30.897
12.014	32.201
12.497	31.8
13.208	33.13
13.945	35.555
14.503	36.039
15.164	37.352
15.799	38.379
16.51	39.447
17.12	40.034
17.729	40.221
18.339	40.35
18.999	40.065
19.609	40.421
20.244	40.848
20.853	40.639
21.539	40.861
22.174	41.208
22.784	41.231
22.2	34.456
21.59	31.587
20.853	29.154
20.295	26.93
19.685	24.821
19.101	22.842
18.364	21.058
17.831	18.896
17.221	17.09
16.612	15.369
16.027	13.807
15.24	11.85
14.656	10.538
14.021	9.239
13.411	8.0112
12.7	6.5923
12.141	5.4802
11.481	4.2569
10.897	3.1849
10.16	2.0551
9.4996	0.92078
9.017	0.04893
8.4074	-0.90299
7.6454	-1.8416
7.0612	-2.9759
6.4262	-3.9322
5.842	-4.8441
5.08	-6.0318
4.5212	-6.7079
3.9116	-7.6287
3.2766	-8.4605
2.5146	-9.448
1.9304	-10.275
1.3716	-10.898
0.762	-11.721
0.1778	-12.508
-0.5334	-13.269
-1.1938	-14.288
-1.778	-15.151
-2.3876	-16.045
-3.175	-17.161
-3.7084	-17.877
-4.3942	-18.989
-4.9276	-19.799
-5.6896	-21.089
-6.223	-21.979
-6.8326	-22.966
-7.493	-24.123
-8.255	-25.515
-8.8138	-26.48
-9.4234	-27.592
-10.058	-28.753
-10.719	-29.696
-11.379	-31.084
-11.963	-32.276
-12.573	-33.317
-13.284	-34.887
-13.843	-35.661
-14.478	-36.609
-15.113	-37.694
-15.697	-38.339
-16.408	-39.064
-17.069	-39.763
-17.653	-40.154
-18.288	-40.608
-19.025	-40.852
-19.685	-40.959
-20.295	-41.044
-20.955	-41.102
-21.59	-41.231
-22.276	-41.368
-22.86	-41.293
-22.301	-33.935
-21.717	-31.035
-21.031	-27.948
-20.422	-25.586
-19.837	-23.26
-19.228	-20.991
-18.39	-17.971
-17.882	-16.383
-17.297	-14.519
-16.688	-12.633
-16.053	-10.747
-15.342	-8.7452
-14.732	-7.2106
-14.122	-5.7693
-13.538	-4.3859
-12.802	-2.7712
-12.167	-1.4501
-11.532	-0.26245
-10.922	0.83182
-10.211	1.9305
-9.6774	2.8068
-9.0424	3.8433
-8.4074	4.8753
-7.6708	6.0941
-7.112	6.8236
-6.4516	7.8778
-5.8928	8.7763
-5.1562	9.5325
-4.5212	10.68
-3.9878	11.499
-3.3528	12.259
-2.667	13.216
-2.0574	13.932
-1.4478	14.706
-0.7874	15.529
-0.2032	16.28
0.5842	17.17
1.1938	17.917
1.8034	18.674
2.3876	19.354
3.1496	20.275
3.683	20.831
4.318	21.565
4.9022	22.286
5.6388	23.073
6.1976	23.66
6.858	24.447
7.4422	25.11
8.1534	24.612
8.7884	26.516
9.398	27.174
10.008	27.85
10.643	27.219
11.278	27.988
11.913	28.687
12.522	29.3
13.208	30.066
13.843	30.724
14.478	31.333
15.088	31.965
15.723	32.694
16.408	33.246
17.018	33.798
17.628	34.403
18.237	35.016
18.999	36.773
19.609	37.267
20.218	37.467
20.803	37.832
21.438	37.623
22.123	38.958
22.758	39.656
22.174	32.766
21.565	30.319
20.879	27.908
20.345	25.964
19.66	23.576
19.101	21.712
18.364	19.946
17.805	17.895
17.196	16.16
16.561	14.434
16.002	12.944
15.291	11.201
14.656	9.8573
14.046	8.7274
13.411	7.4374
12.649	5.9117
12.116	4.813
11.481	3.6876
10.871	2.7134
10.16	1.4546
9.6012	0.6361
8.9916	-0.30248
8.3312	-1.3167
7.5946	-2.3754
7.0358	-3.2472
6.4262	-4.1724
5.8166	-5.1066
5.1562	-5.0131
4.4704	-6.9481
3.8862	-7.8378
3.2766	-8.6118
2.5908	-9.706
2.0066	-10.231
1.3716	-11.036
0.7874	-11.806
0.2032	-12.491
-0.5842	-13.443
-1.1684	-14.141
-1.8288	-14.973
-2.3876	-15.689
-3.0988	-16.53
-3.7338	-17.255
-4.3942	-18.082
-4.9784	-18.856
-5.6896	-19.715
-6.2484	-20.395
-6.8834	-21.2
-7.493	-22.045
-8.1788	-22.455
-8.9154	-23.722
-9.4234	-24.358
-10.058	-25.195
-10.719	-25.608
-11.405	-26.854
-11.963	-27.615
-12.573	-28.366
-13.284	-29.421
-13.919	-29.985
-14.503	-30.817
-15.113	-31.48
-15.723	-32.276
-16.51	-33.326
-17.094	-33.878
-17.628	-34.527
-18.313	-35.386
-18.948	-36.097
-19.533	-36.76
-20.193	-37.49
-20.803	-38.046
-21.565	-38.33
-22.2	-39.282
-22.784	-39.66
-22.301	-32.766
-21.717	-29.839
-20.955	-26.498
-20.422	-24.412
-19.787	-22.121
-19.202	-20.008
-18.415	-17.406
-17.856	-15.547
-17.272	-13.669
-16.662	-11.788
-16.053	-10.071
-15.265	-8.0112
-14.732	-6.6946
-14.122	-5.2622
-13.538	-3.91
-12.802	-2.322
-12.217	-1.1743
-11.608	-0.129
-10.947	0.94302
-10.262	2.0818
-9.6266	2.9714
-9.0678	3.9634
-8.4582	4.8975
-7.62	6.0451
-7.1374	6.877
-6.5532	7.7577
-5.8928	8.7808
-5.1816	9.1633
-4.5974	10.569
-3.937	11.539
-3.3528	12.375
-2.6416	13.478
-2.032	13.945
-1.4224	14.755
-0.8128	15.555
-0.2032	16.352
0.0254	14.466
0.6096	17.228
1.1176	17.94
1.7272	18.642
2.3368	19.319
3.0226	19.839
3.7338	20.849
4.2672	21.387
4.8514	22.099
5.7404	23.06
6.223	23.455
6.7818	24.176
7.3914	24.768
8.2296	25.631
8.7884	26.138
9.398	26.761
10.008	27.41
10.668	26.778
11.354	28.695
11.938	29.278
12.522	29.834
13.208	28.816
13.843	29.736
14.453	30.372
15.088	31.004
15.723	31.698
16.408	32.285
17.018	32.863
17.628	33.442
18.237	33.993
18.923	34.656
19.533	35.168
20.142	35.875
20.853	37.93
21.539	38.464
22.149	38.704
22.758	39.033
23.419	39.665
24.105	39.843
24.714	39.976
25.349	40.19
26.01	40.506
26.695	40.852
27.305	41.048
27.965	41.213
28.55	41.271
29.235	41.324
29.845	41.253
30.429	40.981
29.921	34.189
29.286	31.605
28.6	29.225
28.016	27.281
27.432	25.266
26.797	23.286
26.111	21.231
25.502	19.412
24.892	17.717
24.232	16.009
23.495	14.248
22.885	12.855
22.301	11.641
21.666	10.218
21.006	9.2167
20.371	7.3262
19.761	6.0807
19.126	4.893
18.491	3.652
17.882	2.6912
17.221	1.5969
16.637	0.63165
16.078	-0.14679
15.291	-1.3567
14.707	-2.1885
14.072	-3.0381
13.437	-3.9189
12.776	-4.6751
12.09	-5.6181
11.506	-6.4277
10.922	-7.1083
10.135	-8.0424
9.6012	-8.5984
8.9916	-9.279
8.4074	-9.9151
7.62	-10.778
7.0866	-11.245
6.4516	-11.899
5.8674	-12.482
5.1308	-13.256
4.4958	-13.772
3.9624	-14.301
3.2766	-14.933
2.5146	-15.702
2.032	-15.867
1.2954	-16.632
0.762	-17.081
0.2286	-17.57
-0.5842	-18.251
-1.1684	-18.807
-1.778	-19.363
-2.3876	-19.924
-3.2004	-20.662
-3.7084	-21.04
-4.3434	-21.667
-4.9276	-22.188
-5.6642	-22.294
-6.3246	-23.482
-6.8834	-23.976
-7.4422	-24.519
-8.2296	-25.355
-8.8392	-25.804
-9.4234	-26.387
-10.033	-26.974
-10.719	-27.276
-11.43	-28.282
-11.963	-28.807
-12.548	-29.407
-13.259	-30.306
-13.894	-30.577
-14.478	-31.289
-15.062	-31.823
-15.697	-32.472
-16.408	-33.161
-17.018	-33.744
-17.628	-34.367
-18.288	-35.07
-18.974	-35.661
-19.507	-36.146
-20.32	-36.827
-20.777	-37.383
-21.59	-37.957
-22.098	-38.433
-22.708	-39.011
-23.292	-39.362
-24.054	-39.709
-24.714	-40.145
-25.349	-40.381
-25.959	-40.572
-26.594	-40.799
-27.28	-40.928
-27.94	-41.017
-28.6	-41.124
-29.159	-41.128
-29.845	-41.266
-30.531	-41.284
-29.972	-33.7
-29.388	-30.684
-28.651	-27.575
-28.092	-25.337
-27.483	-23.068
-26.848	-20.773
-26.06	-18.029
-25.527	-16.169
-24.943	-14.301
-24.333	-12.433
-23.597	-10.502
-23.012	-8.7897
-22.428	-7.2462
-21.768	-5.5959
-20.955	-3.7143
-20.396	-2.4955
-19.863	-1.459
-19.279	-0.34251
-18.466	1.4323
-17.907	2.1396
-17.348	3.1093
-16.688	4.1235
-16.104	5.0799
-15.342	6.0629
-14.808	6.9392
-14.224	7.7488
-13.589	8.5673
-12.776	9.666
-12.243	10.324
-11.557	11.241
-11.049	11.841
-10.211	12.842
-9.7028	13.518
-9.1186	14.257
-8.4582	14.928
-7.5946	15.849
-7.1882	16.276
-6.5786	16.872
-5.9436	17.535
-5.2832	18.202
-4.6228	18.696
-4.064	19.167
-3.3782	19.772
-2.5146	20.537
-1.9304	20.911
-1.3716	21.307
-0.8128	21.752
-0.1524	22.317
0.4826	22.619
1.143	23.22
1.7018	23.607
2.413	24.118
3.048	24.527
3.6068	24.874
4.3942	25.475
5.0292	25.795
5.6134	26.187
6.1722	26.583
6.7818	27.036
7.4422	27.423
8.128	27.281
8.8646	28.304
9.398	28.589
10.033	28.909
10.82	29.385
11.278	28.744
12.04	30.208
12.548	30.27
13.284	30.008
13.843	30.252
14.554	30.969
15.138	31.778
15.799	32.107
16.535	32.485
17.069	32.792
17.653	33.126
18.263	33.477
18.974	33.82
19.583	34.229
20.193	34.647
20.777	35.034
21.463	34.483
22.047	34.278
22.682	34.941
23.317	35.043
24.003	35.43
24.638	35.853
25.273	36.213
25.908	36.596
26.594	36.991
27.203	37.338
27.864	37.672
28.448	37.961
29.134	38.299
29.743	38.579
30.353	38.846
29.921	33.21
29.312	30.746
28.626	28.518
28.042	26.369
27.407	24.336
26.797	22.45
26.086	20.315
25.451	18.554
24.841	16.885
24.206	15.284
23.444	13.527
22.885	12.33
22.276	11.032
21.666	9.7683
20.98	8.6029
20.371	6.9081
19.787	5.716
19.177	4.5594
18.44	3.2383
17.882	2.2508
17.272	1.33
16.612	0.31138
16.078	-0.39589
15.265	-1.588
14.707	-2.3398
14.072	-3.176
13.411	-4.0345
12.776	-4.7996
12.09	-5.6581
11.532	-6.4054
10.922	-7.1349
10.109	-7.9445
9.5758	-8.6607
9.017	-9.239
8.3566	-9.9551
7.6454	-10.738
7.0358	-11.263
6.477	-11.872
5.8674	-12.459
5.1562	-12.01
4.3942	-13.843
3.937	-14.248
3.2766	-14.857
2.4892	-15.711
1.9558	-16
1.3716	-16.436
0.8128	-16.921
0.2032	-17.41
-0.6604	-18.135
-1.1938	-18.496
-1.7526	-19.016
-2.3622	-19.505
-3.2258	-20.217
-3.7592	-20.511
-4.318	-20.996
-4.953	-21.498
-5.6388	-22.028
-6.2992	-22.535
-6.858	-22.944
-7.4676	-23.473
-8.2804	-23.816
-8.7884	-24.47
-9.4234	-24.906
-10.008	-25.31
-10.744	-24.447
-11.455	-26.147
-11.963	-26.872
-12.649	-27.294
-13.233	-27.726
-13.868	-28.166
-14.453	-28.593
-15.113	-29.176
-15.799	-29.576
-16.408	-30.017
-16.993	-30.421
-17.628	-30.933
-18.237	-31.324
-19.075	-32.001
-19.685	-32.334
-20.244	-32.761
-20.828	-33.242
-21.514	-33.624
-22.149	-34.193
-22.733	-34.621
-23.368	-35.163
-24.028	-34.621
-24.79	-36.106
-25.324	-36.52
-25.908	-36.969
-26.594	-36.76
-27.254	-37.757
-27.838	-38.313
-28.473	-38.668
-29.261	-39.683
-29.794	-39.171
-30.404	-39.736
-29.947	-32.365
-29.388	-29.59
-28.651	-26.449
-28.016	-24.034
-27.457	-21.988
-26.873	-19.839
-26.111	-17.339
-25.578	-15.52
-24.968	-13.585
-24.308	-11.685
-23.546	-9.5325
-22.987	-7.9668
-22.428	-6.6367
-21.793	-5.0799
-21.107	-3.4696
-20.498	-2.2775
-19.863	-1.1032
-19.279	0.0088964
-18.415	1.6458
-17.882	2.4465
-17.323	3.3851
-16.713	4.2792
-16.078	5.2178
-15.316	6.2453
-14.808	6.9971
-14.148	7.8911
-13.589	8.6207
-12.725	9.6571
-12.243	10.391
-11.608	11.169
-11.024	11.979
-10.312	12.851
-9.652	13.612
-9.1186	14.257
-8.4836	14.964
-7.7216	15.604
-7.0866	16.392
-6.5024	17.037
-5.8928	17.655
-5.1308	18.34
-4.5974	18.856
-3.937	19.385
-3.3528	19.888
-2.667	20.546
-1.9304	21.013
-1.397	21.378
-0.8128	21.885
-0.1778	22.361
0.0508	21.231
0.9144	23.14
1.7526	23.78
2.7686	23.291
3.7084	25.008
4.6482	25.564
5.588	24.808
6.5278	25.519
7.4676	26.187
8.4582	26.743
9.3726	27.223
10.287	27.717
11.278	28.224
12.217	28.669
13.208	29.203
14.173	29.656
15.113	30.101
16.104	30.613
17.043	31.062
17.958	31.516
18.923	32.018
19.863	32.565
20.777	33.086
21.768	33.664
22.682	34.193
23.647	34.709
24.638	35.199
25.603	35.733
26.594	36.231
27.534	36.773
28.448	37.267
29.439	37.797
30.353	38.295
31.293	38.628
32.258	38.864
33.172	39.073
34.112	39.22
35.103	39.336
36.043	39.438
37.059	39.522
37.998	39.482
37.211	32.356
36.22	29.002
35.306	26.089
34.188	22.802
33.376	20.382
32.436	17.793
31.445	15.32
30.556	13.402
29.667	11.29
28.626	8.8964
27.788	7.1083
26.822	5.1555
25.806	3.2961
24.917	1.806
23.978	0.42703
22.885	-1.0854
21.996	-2.2997
20.955	-3.7499
20.117	-4.7729
19.126	-6.014
18.136	-7.3485
17.272	-8.2381
16.383	-9.1856
15.342	-10.235
14.427	-11.085
13.462	-11.988
12.37	-12.927
11.532	-13.652
10.414	-14.572
9.5758	-15.151
8.7122	-15.822
7.6454	-16.641
6.7564	-17.183
5.842	-17.828
4.7244	-18.522
3.8608	-19.181
3.0226	-19.723
2.0066	-20.391
1.0922	-20.893
0.2032	-21.445
-0.8382	-21.988
-1.778	-22.641
-2.8448	-22.886
-3.81	-23.811
-4.699	-24.31
-5.6388	-24.888
-6.5532	-25.368
-7.4168	-25.858
-8.5852	-26.507
-9.4742	-27.001
-10.363	-27.49
-11.354	-28.086
-12.294	-28.575
-13.411	-29.349
-14.3	-29.665
-15.164	-30.154
-16.205	-30.324
-17.094	-31.275
-17.983	-31.747
-19.126	-32.374
-20.041	-32.935
-20.904	-33.442
-21.819	-34.007
-22.708	-34.523
-23.622	-35.114
-24.74	-35.786
-25.603	-36.306
-26.645	-36.569
-27.584	-37.543
-28.473	-38.037
-29.489	-38.673
-30.455	-39.082
-31.344	-39.425
-32.334	-39.785
-33.35	-39.99
-34.341	-40.136
-35.357	-40.256
-36.17	-40.252
-37.16	-40.403
-38.227	-40.248
-37.338	-30.715
-36.347	-26.36
-35.382	-22.615
-34.29	-18.763
-33.477	-15.818
-32.537	-12.842
-31.521	-10.115
-30.632	-7.2951
-29.743	-5.1244
-28.677	-2.6556
-27.788	-0.64944
-26.899	1.1966
-25.806	3.2161
-24.968	4.635
-24.054	6.0318
-23.012	7.4908
-22.073	8.852
-21.031	9.8128
-20.193	11.21
-19.279	12.379
-18.263	13.634
-17.374	14.639
-16.459	15.627
-15.316	16.774
-14.453	17.664
-13.538	18.478
-12.522	19.394
-11.582	20.177
-10.643	19.381
-9.652	21.667
-8.7376	22.335
-7.7724	21.596
-6.8326	22.348
-5.8928	23.015
-4.9276	23.58
-3.9624	24.118
-3.048	24.599
-2.032	25.066
-1.1176	25.497
-0.1524	26.28
0.8128	26.347
1.7526	26.729
2.7432	27.125
3.6576	27.459
4.5974	27.779
5.588	28.157
6.5278	28.518
7.4676	28.882
8.4582	29.185
9.3726	29.434
10.287	29.687
11.278	29.945
12.217	30.243
13.208	30.519
14.173	30.773
15.113	31.026
16.129	31.32
17.043	31.596
17.958	31.827
18.923	32.089
19.863	32.49
20.777	32.788
21.768	33.188
22.708	33.477
23.647	33.775
24.663	34.024
25.603	34.309
26.594	34.665
27.559	35.052
28.473	35.439
29.464	35.79
30.378	36.182
31.318	36.524
32.283	36.831
33.198	37.183
34.112	37.472
35.128	37.814
36.068	38.086
37.059	38.419
38.024	38.655
37.236	31.476
36.22	28.113
35.306	25.217
34.214	22.148
33.376	19.701
32.461	17.246
31.471	15.222
30.582	12.984
29.642	10.689
28.651	8.5895
27.737	6.5834
26.848	4.8219
25.781	2.967
24.892	1.4857
24.003	0.15569
22.911	-1.2588
21.996	-2.4465
21.006	-2.8113
20.091	-4.8886
19.177	-5.9918
18.11	-7.2684
17.297	-8.1136
16.332	-9.1189
15.316	-10.226
14.427	-10.996
13.487	-11.895
12.471	-12.798
11.532	-13.563
10.541	-14.537
9.6266	-15.039
8.7376	-15.769
7.6708	-16.574
6.7564	-17.157
5.8674	-17.78
4.826	-18.358
3.9116	-19.105
3.0226	-19.683
1.9558	-20.355
1.0414	-20.844
0.1778	-21.334
-0.9144	-21.983
-1.8288	-22.464
-2.8956	-23.269
-3.7084	-23.478
-4.6482	-23.98
-5.7658	-24.63
-6.6294	-24.937
-7.493	-25.39
-8.509	-25.942
-9.4742	-26.333
-10.389	-26.734
-11.328	-27.179
-12.243	-27.588
-13.233	-28.344
-14.249	-28.558
-15.265	-28.873
-16.18	-29.292
-17.12	-29.674
-18.009	-30.052
-18.974	-30.497
-19.939	-30.893
-20.853	-31.293
-21.793	-31.698
-22.708	-32.076
-23.622	-32.481
-24.79	-32.939
-25.679	-33.371
-26.619	-33.895
-27.635	-34.287
-28.524	-34.687
-29.464	-35.145
-30.378	-35.572
-31.267	-35.991
-32.41	-36.555
-33.299	-36.898
-34.214	-37.281
-35.23	-37.721
-36.17	-38.041
-37.109	-38.37
-38.1	-38.686
-37.338	-29.398
-36.347	-25.101
-35.433	-21.592
-34.315	-17.339
-33.528	-14.919
-32.588	-12.095
-31.496	-8.8564
-30.607	-6.5344
-29.718	-4.4749
-28.677	-2.0195
-27.788	-0.10676
-26.899	1.6725
