"Sritharan 1996, Specimen No. IC3"	
-38.41	158.5
-35.61	166.1
-32.94	170.3
-30.43	175.8
-27.62	181.2
-25.15	185.2
-22.55	189.7
-19.71	193.8
-17.23	197.6
-14.66	201.9
-11.8	206.8
-9.482	208.7
-6.911	212.7
-4.311	217.4
-1.393	220
1.051	223.4
3.747	228
6.588	232.2
9.076	234.1
11.61	238.8
14.17	241.2
16.99	243.7
19.35	246.9
21.97	251
24.51	253.5
27.19	257.3
29.67	259.8
32.25	261.5
35.02	263.3
37.4	268.9
40.07	271.7
42.67	275.5
45.27	277.1
47.78	279.2
50.46	281.3
53.16	285.4
55.6	288.2
58.16	290.2
60.76	293.2
63.33	294.1
65.93	296.4
68.67	295.8
71.04	298.6
73.63	303
76.28	305.3
78.98	307.5
81.41	310.6
84.09	312.1
86.6	315.1
89.26	319.1
91.79	321.4
94.29	323.9
96.82	326.2
99.47	329.4
102.2	330.9
104.8	335.2
107.4	338
110.2	338.8
112.6	342.2
115.3	344.4
117.9	345.8
120.6	349.5
122.9	351.3
125.5	354.4
128.2	355.7
130.7	357.1
133.4	360.4
135.9	360.9
138.8	362.7
141.1	362.6
143.7	366.3
146.4	369.5
148.8	364.6
149.2	353.2
149.5	351
147.9	326
145.8	300.7
143.5	275
141.1	249.1
138.6	224.4
136.1	200.3
133.5	178.3
130.9	155.7
128.3	134.5
125.8	114.1
123.2	93.9
120.4	73.21
118.1	58.65
115.4	42.94
112.7	28.78
110	12.92
107.6	0.541
104.9	-7
102.2	-18.04
99.67	-26.81
97.03	-32.26
94.34	-35.08
91.47	-39.58
88.95	-45.55
86.22	-49.42
83.72	-53.61
80.99	-55.35
78.27	-59.65
75.91	-63.22
73.31	-67.38
70.75	-71.88
67.89	-77.24
65.43	-81.53
62.69	-86.39
60.01	-92.33
57.1	-98.68
54.76	-102.5
52.05	-107.9
49.19	-113.4
46.33	-118.4
43.79	-122
40.74	-126.9
38.49	-128.9
35.92	-133.4
33.26	-137.6
30.71	-141.6
27.92	-148.3
25.45	-150.5
22.86	-155.5
20.31	-159.8
17.4	-164.6
14.65	-170.2
12.4	-173.3
9.646	-175.5
7.041	-163.1
4.465	-167.2
1.467	-171.8
-1.008	-175.5
-3.703	-179
-6.28	-183.5
-8.817	-185.1
-11.74	-189.2
-14.01	-191.7
-16.6	-195.3
-19.25	-198.6
-22.13	-202.5
-24.84	-206
-27.48	-209.7
-30.22	-212.6
-32.85	-215.8
-35.78	-219.5
-38.22	-222.3
-40.73	-225.7
-43.36	-228.4
-46.26	-232.5
-48.61	-235.1
-51.22	-238.4
-53.8	-241.5
-56.72	-245.5
-59.15	-248
-61.77	-250.8
-64.39	-254.1
-67.14	-257.5
-69.52	-260.3
-72.05	-263.6
-74.65	-267.2
-77.52	-270.5
-79.87	-270.7
-82.4	-273.7
-85.12	-277.1
-87.47	-279.8
-90.14	-283.4
-92.83	-286.4
-95.57	-289.8
-98.26	-293.2
-100.8	-296.2
-103.3	-274
-106.2	-283.1
-108.6	-288.4
-110.6	-291.2
-113.1	-294.2
-115.7	-298.3
-118.2	-301.1
-120.8	-304.4
-124.2	-255.9
-126.8	-259.2
-129.5	-263.6
-132	-266.6
-134.6	-269.1
-137.2	-272.1
-140	-274.7
-142.5	-276.6
-145	-278.5
-147.6	-278.9
-150.1	-280.3
-150.3	-278.6
-149.5	-253.1
-146.9	-227.3
-144.3	-203.8
-141.8	-183.7
-139.2	-162.7
-136.4	-141
-134	-124
-131.3	-106.3
-128.6	-90.02
-126.3	-76.22
-123.7	-62.45
-121.2	-50.48
-118.2	-37.56
-115.8	-29.04
-113.1	-20.17
-110.4	-11.15
-107	-2.121
-104	6.122
-101.5	10.3
-99.01	15.2
-96.32	20.05
-93.42	24.72
-91	27.54
-88.43	30.57
-85.88	33.3
-83.12	35.78
-80.76	37.67
-78.03	39.8
-75.33	43.65
-72.74	46.53
-69.79	51.86
-67.41	54.85
-64.88	57.58
-62.31	60.9
-59.7	63.66
-57.16	67.2
-54.6	70.87
-51.9	74.12
-49.32	77.33
-46.54	80.84
-44.19	83.58
-41.66	86.53
-38.99	90.25
-36.05	93.2
-33.66	95.02
-30.93	97.35
-28.3	99.5
-25.32	102.5
-23.04	105.3
-20.34	106.5
-17.81	108.7
-15.21	111.3
-12.42	112.8
-9.997	114.5
-7.392	116.1
-4.718	118
-1.995	118.7
0.956	120.2
3.433	122.4
5.937	123.6
8.486	126.1
11.19	127.8
13.61	129.3
16.12	130.8
18.8	132.2
21.49	129.4
24.19	133.1
26.9	135.2
29.74	137.6
32.39	139.3
35.05	142.2
37.76	146.9
40.74	150.7
43.09	153.9
45.77	156.9
48.4	160.1
51.21	163.3
53.74	167.1
56.43	170.4
59.2	174.1
61.7	176.8
64.32	180
66.86	183.5
69.4	186.1
72.16	189.6
74.49	192.5
77.17	186.1
79.71	192.1
82.54	196.5
85	200.2
87.57	203.3
90.32	207.1
92.8	210.9
95.47	214.1
98.17	215.4
100.6	218.7
103.1	215.2
105.6	218.5
108.5	221.9
110.9	224.7
113.5	228.2
116.3	230.5
118.7	231
121.2	233.2
124	236.4
126.4	237.7
128.9	241.2
131.8	244.6
134.2	246.5
136.7	247.9
139.5	250
141.9	249.2
144.4	250.6
146.9	252.9
148.9	252.2
149.5	246.1
149.5	219.9
147	195.7
144.4	171.7
141.8	151
139.1	129.6
136.3	109.8
133.8	91.99
131.3	73.27
128.5	57.53
125.6	42.36
123.1	31.15
120.7	20.18
118.1	5.832
115.4	-4.597
112.6	-13.37
110.2	-18.49
107.6	-24.46
105	-30.97
102.4	-32.89
99.57	-35.56
97.17	-38.55
94.58	-40.89
91.91	-44.17
88.95	-49.38
86.3	-52.39
83.64	-55.04
80.99	-57.66
77.98	-58.32
75.34	-62.28
72.86	-64.69
70.19	-67.12
67.49	-68.44
64.75	-69.08
61.7	-70.66
59.25	-73.02
56.54	-75.55
53.84	-78.59
51.01	-80.49
48.02	-81.61
45.52	-83.41
42.79	-84.82
39.94	-86.34
37.21	-87.01
34.53	-87.05
31.75	-89.38
29.26	-90.21
26.68	-90.24
24.08	-93.73
21.33	-95.14
18.25	-95.82
16.04	-95
13.53	-95.75
10.86	-96.98
8.166	-97.88
5.297	-99.68
3.056	-100.8
0.288	-103.1
-2.213	-104.2
-4.826	-105.6
-7.764	-106.4
-10.37	-107.6
-12.69	-108.5
-15.29	-109.6
-18.09	-110.6
-20.87	-109.8
-23.8	-111.4
-26.54	-115.2
-29.39	-116.6
-31.92	-117.8
-34.46	-116.7
-36.97	-117.8
-39.9	-119.5
-42.34	-120.7
-44.98	-122.4
-47.69	-124.1
-50.56	-127.6
-52.86	-127.3
-55.53	-128.8
-58.09	-129.9
-60.85	-131.4
-63.22	-133.6
-65.88	-135.7
-68.46	-137.4
-71.42	-139.8
-73.72	-141.8
-76.4	-143.6
-79.23	-145.9
-81.67	-148
-84.56	-139.4
-87.15	-141.1
-89.9	-145.4
-92.26	-147.6
-94.89	-150.2
-97.51	-152.8
-100.1	-155.9
-102.8	-159
-105.1	-160.7
-107.8	-163.8
-110.4	-167.2
-113	-170.3
-115.7	-173.1
-117.5	-140.2
-120.2	-141.9
-122.6	-144.7
-125.2	-147
-127.9	-150
-130.3	-152.3
-132.9	-154.2
-135.6	-155.7
-138	-156.6
-140.6	-158.5
-143.3	-160.5
-145.8	-161.6
-148.3	-161.6
-149.2	-161.4
-150.4	-160.6
-150.5	-135.3
-147.6	-124.8
-145.3	-105
-142.6	-92.36
-140	-82.95
-137.1	-67.98
-134.8	-57.32
-132	-48.56
-129.2	-41.55
-126.6	-32.59
-123.9	-25.41
-120.9	-20.99
-118.3	-16.37
-115.8	-11.43
-113	-8.86
-110.4	-4.161
-107.5	0.212
-104.8	5.865
-101.5	10.38
-98.74	11.51
-96.49	12.02
-93.99	14.46
-91.13	20.97
-88.54	24.24
-85.83	26.37
-82.79	28.28
-79.41	31.27
-76.49	33.85
-73.81	35.94
-71.77	37.96
-69.09	39.74
-66.37	39.88
-63.65	42.04
-60.95	43.1
-58.24	44.23
-55.54	45.42
-52.54	47.93
-50.04	47.57
-47.79	46.55
-45.17	52.92
-42.33	49.12
-39.51	52.91
-36.2	53.8
-33.11	53.18
-31.07	54.72
-28.39	55.85
-25.57	56.76
-23.01	58.48
-20.08	58.79
-17.16	59.43
-13.89	60.83
-11.2	58.01
-8.917	66.19
-6.289	69.6
-3.659	70.79
-1.231	69.1
-0.659	67.21
