"Arakawa et al. 1987, Spec. 16"	
4.0281	-17.418
2.9507	-26.671
2.1546	-33.203
1.0304	-43.001
-0.51521	-60.42
-1.5925	-74.027
-2.5761	-84.369
-3.3722	-93.079
-4.3558	-103.96
-5.5268	-114.31
-6.4635	-123.02
-7.213	-132.81
-8.337	-143.7
-9.4611	-154.58
-10.351	-162.75
-10.773	-165.47
-11.428	-168.19
-11.756	-169.82
-11.85	-169.82
-12.178	-172.55
-12.459	-173.64
-12.693	-173.64
-12.599	-164.93
-12.365	-151.32
-12.037	-133.9
-11.709	-120.29
-11.288	-103.96
-10.726	-86.545
-10.257	-71.848
-9.7422	-58.241
-9.1801	-44.089
-8.7117	-34.836
-8.1497	-25.038
-7.5876	-15.24
-6.7915	-5.9873
-6.1825	1.6329
-5.1521	7.0762
-3.9343	14.696
-3.0444	20.684
-1.9204	30.481
-0.93674	40.279
0	50.621
0.98358	62.595
1.9671	74.57
2.9976	87.092
3.747	95.797
3.0444	83.28
3.9812	93.622
5.1521	104.51
6.1825	114.31
7.0256	124.1
8.2433	134.99
9.1801	142.61
10.023	150.77
10.913	156.76
11.803	162.2
12.599	166.56
13.255	169.82
13.724	170.91
13.957	170.91
13.863	167.1
13.771	157.85
13.63	146.96
13.349	137.17
13.021	125.74
12.646	110.49
12.225	97.434
11.803	83.28
11.381	72.395
10.913	60.963
10.351	49.531
9.6484	37.558
8.9927	24.494
8.4775	15.24
7.7282	7.0762
7.2598	0.54433
6.5573	-3.2659
5.3395	-10.886
4.1217	-19.595
3.2786	-23.95
2.1546	-33.203
0.98358	-43.001
0	-52.8
-1.2646	-68.04
-2.6229	-81.647
-4.0281	-95.254
-5.3395	-106.69
-6.604	-117.57
-8.1966	-132.81
-9.5548	-145.87
-10.726	-155.67
-11.85	-164.38
-12.739	-169.82
-13.489	-173.09
-14.004	-175.27
-14.379	-176.9
-14.332	-170.91
-14.238	-163.29
-14.051	-151.32
-13.724	-138.26
-13.442	-125.19
-13.021	-111.04
-12.693	-100.15
-12.271	-86.545
-11.756	-71.848
-11.241	-60.42
-10.819	-48.446
-10.211	-37.013
-9.6484	-28.304
-9.1332	-20.139
-8.5712	-10.342
-7.8687	-3.8102
-7.2598	0.54433
-6.3231	6.5318
-5.1521	12.519
-4.0748	18.506
-2.7634	26.127
-1.8266	34.292
-1.0304	41.912
-0.18735	48.988
0.84308	59.873
2.0608	71.848
3.1849	83.28
4.1685	92.532
5.5268	104.51
6.5573	112.13
7.4472	121.38
