"Ng 1978, Spec. 3"	
-7.1351	-40.743
-6.8468	-39.149
-6.6307	-37.732
-6.4864	-36.314
-6.1262	-34.898
-5.9098	-33.303
-5.8379	-32.063
-5.5496	-30.292
-5.1892	-28.343
-4.9731	-26.217
-4.6126	-23.915
-4.3243	-22.32
-4.0361	-20.372
-3.8199	-18.069
-3.6035	-17.36
-3.3152	-15.412
-2.8829	-13.463
-2.4504	-11.514
-2.2342	-8.6803
-1.8018	-6.7315
-1.5856	-4.4286
-1.4414	-2.3029
-1.2252	-0.53143
-1.009	1.0629
-0.64864	3.72
-0.43243	5.4913
-0.072072	7.6171
0.072072	10.097
0.50449	12.4
0.72072	14.526
1.2252	16.829
1.5135	18.6
1.7297	20.726
2.2342	23.56
2.4504	25.686
2.7386	28.343
3.3152	31
3.7478	33.303
4.1801	36.314
4.4684	38.618
5.1171	41.629
5.4054	43.932
5.982	47.12
6.4145	49.068
6.919	51.373
7.2794	53.143
7.7117	54.913
7.9278	56.332
8.2883	57.751
8.7927	59.344
9.4414	61.114
10.162	62.885
10.739	64.126
11.387	65.011
12.108	66.074
12.54	66.786
13.261	67.671
13.766	68.022
14.631	69.263
15.351	70.148
16	70.856
16.721	71.212
17.369	71.745
18.306	71.745
19.027	71.919
19.676	71.919
19.892	71.919
20.18	71.919
20.252	71.212
20.18	70.504
20.252	69.263
20.18	67.844
20.18	66.608
20.108	64.833
19.964	62.885
19.892	61.292
19.604	59.522
19.459	57.751
19.387	55.625
19.099	53.321
18.739	51.373
18.522	49.424
18.234	48.005
17.802	45.701
17.658	44.286
17.297	42.16
16.865	39.857
16.504	38.086
16.144	35.96
15.856	34.189
15.351	32.417
14.919	30.646
14.486	28.52
13.91	26.394
13.333	23.915
12.829	21.966
12.18	19.663
11.603	17.892
11.027	15.943
10.595	14.703
9.9459	12.4
9.2253	10.629
8.4325	8.3257
7.856	6.7315
7.2794	5.4913
6.6307	4.0743
6.0541	2.3029
5.4054	0.88573
5.0449	0.17715
4.7567	-0.35429
4.2522	-1.7715
3.6756	-3.1886
3.2433	-4.6057
2.7386	-6.3774
2.3784	-7.7942
1.8018	-9.5659
1.4414	-11.16
1.009	-12.931
0.43243	-14.526
0.14414	-15.943
-0.21621	-17.892
-0.57658	-19.84
-1.0811	-21.435
-1.7297	-24.446
-2.2342	-26.571
-2.5225	-28.52
-3.1712	-32.063
-3.4595	-34.72
-3.8199	-37.378
-4.0361	-40.212
-4.3243	-42.16
-4.6126	-43.754
-5.0449	-45.701
-5.5496	-48.183
-5.982	-50.665
-6.6307	-53.321
-7.2794	-55.269
-7.6396	-57.04
-8.1443	-58.459
-8.4325	-59.7
-8.937	-61.114
-9.1531	-61.999
-9.6576	-63.948
-10.162	-64.833
-10.739	-65.896
-11.603	-67.315
-12.252	-68.378
-12.973	-69.263
-13.838	-70.326
-14.559	-71.034
-15.207	-72.097
-15.784	-72.809
-16.36	-73.16
-17.153	-74.045
-17.658	-74.401
-18.234	-74.757
-18.667	-75.286
-19.243	-75.464
-19.676	-75.464
-19.892	-75.464
-20.036	-75.464
-20.036	-74.579
-20.036	-74.045
-20.036	-72.453
-19.892	-70.856
-19.892	-68.907
-19.676	-66.786
-19.532	-65.189
-19.387	-63.418
-19.171	-61.648
-19.171	-59.873
-18.883	-57.925
-18.739	-56.332
-18.522	-54.384
-18.378	-53.143
-18.09	-51.195
-17.874	-49.776
-17.658	-48.361
-17.297	-46.413
-17.009	-45.172
-16.721	-43.577
-16.36	-42.16
-16.072	-40.389
-15.856	-39.149
-15.496	-37.378
-15.135	-35.96
-14.847	-34.543
-14.559	-32.949
-14.198	-31.178
-13.622	-29.052
-13.261	-27.635
-12.829	-26.04
-12.396	-24.623
-11.82	-22.497
-11.387	-21.257
-11.099	-19.663
-10.595	-18.246
-9.874	-16.12
-9.5136	-14.526
-9.2253	-13.463
-8.7927	-12.4
-8.2161	-10.983
-7.6396	-9.2114
-7.1351	-8.1487
-6.6307	-6.5545
-6.1981	-5.4913
-5.5496	-3.72
-5.1892	-2.6571
-4.8288	-1.4172
-4.6126	-0.88573
-4.2522	0
-3.8199	1.24
-3.3152	3.0114
-2.8829	4.6057
-2.5225	6.1999
-2.018	7.9717
-1.4414	10.275
-1.009	11.869
-0.50449	13.64
-0.14414	15.943
0.28829	17.715
0.57658	19.486
0.93693	20.903
1.1532	22.32
1.4414	23.915
1.9459	25.863
2.3063	27.812
3.0269	29.583
3.3873	31.355
3.8918	33.126
4.3243	34.898
4.9009	36.846
5.2614	38.618
5.8379	40.212
6.4864	42.337
6.919	43.932
7.7117	46.413
8.2161	48.005
8.7927	49.776
9.2974	51.017
10.234	53.321
10.811	54.384
11.243	55.269
11.964	57.04
12.685	58.103
13.622	59.7
14.342	60.407
14.847	61.47
15.64	62.711
16.504	64.303
17.225	65.722
18.09	67.315
18.883	68.556
19.532	69.441
19.892	70.504
19.892	69.619
19.892	68.734
19.82	67.671
19.748	66.43
19.676	65.189
19.604	64.126
19.459	62.885
19.315	61.114
19.171	59.522
19.027	58.281
18.811	56.862
18.667	55.447
18.522	53.677
18.306	52.258
17.946	50.487
17.73	48.89
17.514	47.476
17.297	46.057
16.937	44.286
16.793	42.692
16.577	41.629
16.216	40.034
16.072	38.972
15.784	37.555
15.423	35.783
15.135	34.012
14.775	32.24
14.342	30.646
13.982	28.875
13.622	27.458
13.477	26.571
13.117	24.977
12.685	23.206
11.964	20.726
11.603	18.6
11.171	17.183
10.522	15.057
10.018	13.64
9.3693	11.514
8.6487	9.5659
8	7.7942
7.3513	5.8459
6.8468	4.4286
6.1262	3.0114
5.5496	1.7715
5.1171	0.53143
4.8288	0
4.3965	-1.7715
4.0361	-2.1257
3.4595	-3.8972
2.955	-5.3143
2.5946	-6.3774
2.2342	-7.9717
1.8739	-9.0343
1.5135	-10.275
1.1532	-11.692
0.64864	-13.463
0.36035	-14.526
0.072072	-15.589
-0.072072	-16.474
-0.21621	-17.715
-0.36035	-18.954
-0.72072	-20.017
-0.93693	-21.257
-1.2973	-22.674
-1.7297	-24.446
-2.018	-26.04
-2.3784	-27.635
-2.8108	-29.229
-3.2433	-31
-3.6035	-32.949
-3.8918	-34.189
-4.2522	-35.783
-4.7567	-38.44
-5.2614	-40.034
-5.6215	-41.275
-5.982	-42.692
-6.5585	-43.932
-6.919	-45.172
-7.2794	-46.591
-7.7838	-48.005
-8.5044	-49.776
-9.081	-51.373
-9.5136	-52.436
-9.9459	-53.499
-10.451	-54.913
-11.099	-56.154
-11.532	-57.217
-12.036	-57.925
-12.468	-59.522
-13.045	-60.763
-13.766	-62.177
-14.27	-63.24
-14.919	-64.303
-15.496	-65.545
-16	-66.608
-16.721	-67.671
-17.297	-68.378
-17.874	-69.441
-18.595	-70.326
-19.099	-71.034
-19.604	-71.745
-20.18	-72.275
-19.964	-71.034
-19.964	-69.971
-19.82	-68.378
-19.604	-66.608
-19.532	-65.011
-19.315	-63.24
-19.099	-61.999
-19.027	-60.229
-18.739	-58.281
-18.522	-56.688
-18.306	-54.913
-18.09	-53.143
-17.802	-51.017
-17.514	-49.068
-17.081	-46.942
-16.577	-44.816
-16.36	-42.692
-15.856	-41.098
-15.568	-39.149
-15.063	-37.555
-14.775	-35.783
-14.342	-33.835
-13.91	-32.24
-13.477	-30.469
-13.045	-28.697
-12.613	-27.28
-12.108	-25.863
-11.676	-23.915
-11.315	-22.143
-10.811	-20.549
-10.522	-18.777
-9.874	-17.006
-9.4414	-15.412
-8.8649	-13.64
-8.3604	-12.4
-7.856	-10.452
-7.2072	-8.6803
-6.7028	-7.0856
-5.982	-4.9602
-5.4775	-3.72
-5.0449	-2.1257
-4.6848	-1.24
-4.3965	-0.53143
-4.0361	0.70856
-3.7478	1.5943
-3.3873	3.1886
-2.8829	4.6057
-2.3784	6.3774
-1.9459	8.1487
-1.3694	10.275
-1.0811	11.869
-0.43243	13.64
-0.21621	15.057
0	16.474
0.50449	18.069
0.72072	20.017
1.0811	21.789
1.4414	23.56
1.9459	25.332
2.5225	27.458
3.0269	29.406
3.4595	31.532
4.0361	33.303
4.6126	35.075
5.2614	37.2
5.982	39.326
6.4145	40.743
7.2072	42.515
7.7838	44.286
8.7927	46.235
9.6576	48.183
10.378	50.131
11.315	52.258
11.892	53.499
12.757	55.976
13.622	57.573
14.631	59.522
15.712	61.114
16.721	62.885
17.658	64.303
18.522	65.722
19.532	66.959
20.396	68.2
21.261	69.263
22.126	70.148
23.207	71.034
24.216	72.275
25.153	72.982
26.307	73.694
27.315	74.579
27.892	74.579
28.539	75.286
29.116	75.286
29.693	75.642
30.198	75.642
30.414	75.82
30.559	75.82
30.559	74.579
30.559	73.338
30.414	72.631
30.269	71.034
29.982	69.971
29.911	67.844
29.837	66.608
29.621	64.659
29.477	62.355
29.19	60.936
28.974	58.988
28.613	57.04
28.397	54.562
28.108	52.614
27.821	51.017
27.676	49.602
27.315	47.476
26.954	45.701
26.667	43.577
26.233	41.629
25.875	39.857
25.369	38.086
24.865	35.252
24.36	33.303
24	31.886
23.496	30.114
22.847	27.812
22.486	26.571
22.126	24.977
21.477	23.029
20.973	21.789
20.396	19.663
19.82	17.892
19.171	16.474
18.739	15.057
18.234	13.817
17.586	12.223
17.153	11.16
16.433	9.7429
15.856	8.3257
15.207	7.0856
14.486	6.0229
13.694	4.6057
12.901	3.3657
12.18	2.3029
11.459	1.0629
10.667	0.35429
9.874	-0.35429
9.2974	-1.24
8.6487	-2.1257
8.0721	-2.6571
7.2794	-3.72
6.4145	-4.9602
5.5496	-6.5545
4.6126	-7.4401
3.8918	-8.6803
3.0991	-9.92
2.4504	-11.869
1.8018	-13.64
1.2252	-15.412
0.64864	-17.006
0.21621	-18.777
0	-19.84
-0.36035	-21.435
-0.72072	-23.206
-1.009	-24.446
-1.8739	-27.812
-2.3063	-29.406
-2.8108	-31.178
-3.3873	-33.126
-4.0361	-34.72
-4.6126	-36.669
-5.5496	-38.618
-6.1262	-40.389
-6.9911	-41.983
-7.7838	-43.932
-8.2883	-44.816
-8.5766	-46.057
-9.7297	-48.005
-10.451	-49.954
-11.387	-51.55
-12.396	-53.143
-13.333	-54.562
-14.414	-56.332
-15.423	-57.751
-16.504	-59.166
-17.514	-60.763
-18.378	-61.999
-19.315	-63.062
-20.252	-63.774
-20.973	-65.189
-21.91	-66.252
-22.847	-67.315
-23.856	-68.2
-24.721	-69.263
-25.369	-69.971
-26.017	-70.504
-26.954	-71.39
-27.676	-72.097
-28.324	-72.631
-29.116	-73.16
-29.837	-73.867
-30.269	-73.867
-30.488	-74.045
-30.775	-74.223
-30.63	-73.516
-30.704	-72.631
-30.63	-71.919
-30.414	-70.326
-30.198	-68.734
-30.053	-67.315
-29.911	-64.833
-29.837	-63.24
-29.55	-61.47
-29.477	-60.229
-29.261	-58.103
-29.045	-56.51
-28.684	-54.913
-28.324	-52.436
-27.963	-50.839
-27.676	-48.89
-27.17	-47.12
-26.81	-45.172
-26.452	-43.577
-26.091	-41.806
-25.73	-39.857
-25.153	-38.086
-24.721	-36.137
-24.36	-34.543
-24	-33.126
-23.423	-31
-22.775	-28.875
-22.342	-27.28
-21.621	-25.155
-20.613	-22.32
-19.604	-19.663
-19.027	-18.069
-18.306	-16.297
-17.586	-14.172
-16.504	-12.223
-15.568	-10.097
-14.414	-8.1487
-13.333	-7.0856
-12.54	-5.6688
-11.315	-3.8972
-10.451	-2.6571
-9.7297	-1.5943
-8.7208	0
-8	1.24
-7.2072	2.48
-6.5585	3.8972
-5.7658	5.3143
-5.1171	7.0856
-4.5405	8.3257
-4.0361	9.7429
-3.2433	11.16
-2.5946	12.577
-1.8018	14.526
-1.009	16.829
-0.50449	18.069
-0.072072	19.486
0.43243	20.726
1.2252	23.029
1.5135	24.269
2.018	25.686
2.6667	27.635
2.955	28.697
3.5316	29.76
4.0361	31.532
4.9009	34.012
5.6937	36.492
6.6307	38.618
7.4234	40.921
8.3604	42.692
9.5136	45.172
10.306	46.591
11.171	48.361
11.82	49.954
12.829	51.55
13.766	53.321
14.775	55.091
15.712	56.862
16.433	58.459
17.441	59.873
18.451	61.47
19.243	62.885
20.324	64.126
21.405	65.722
22.27	66.786
22.919	67.671
23.64	68.734
24.504	69.971
25.441	70.856
26.162	71.567
27.028	72.275
27.821	72.982
28.397	73.694
28.9	74.045
29.334	74.401
29.766	74.579
29.982	74.757
29.911	73.694
29.911	72.809
29.766	71.567
29.911	70.326
29.621	68.734
29.621	66.786
29.406	65.189
29.261	63.418
29.116	61.999
28.974	60.051
28.9	58.636
28.468	56.862
28.397	54.913
28.037	52.614
27.963	51.017
27.605	48.717
27.17	46.942
26.739	44.816
26.452	43.4
26.091	41.275
25.801	39.149
25.225	36.846
24.793	34.898
24.36	33.303
23.712	31.355
23.063	29.229
22.414	26.749
21.91	24.8
21.405	22.674
20.469	20.549
19.892	18.069
19.315	17.006
18.595	14.88
17.874	12.754
17.369	11.514
16.577	9.92
15.64	8.3257
14.919	6.9085
14.054	5.4913
13.189	3.8972
12.613	3.0114
11.532	1.5943
10.955	0.70856
10.451	0.35429
9.874	-0.35429
9.4414	-0.88573
8.7208	-1.7715
7.9278	-3.0114
6.9911	-3.72
6.3424	-4.7827
5.4775	-5.8459
4.6848	-6.9085
3.8918	-8.6803
3.0991	-10.097
2.2342	-12.046
1.6577	-13.817
1.0811	-15.234
0.50449	-17.006
0.21621	-18.6
-0.072072	-19.84
-0.43243	-21.435
-0.93693	-23.206
-1.2252	-24.977
-1.5856	-26.217
-2.018	-27.989
-2.5946	-29.76
-2.7386	-30.646
-3.3873	-32.417
-3.9639	-34.189
-4.6126	-35.96
-5.0449	-37.378
-5.6937	-39.149
-6.4145	-40.921
-7.2794	-42.692
-7.7838	-43.754
-8.5044	-45.528
-9.1531	-46.942
-10.162	-49.068
-10.955	-50.665
-11.892	-52.258
-12.757	-53.499
-13.838	-55.447
-14.847	-57.217
-15.712	-58.636
-16.288	-59.344
-17.225	-60.585
-18.162	-61.821
-19.243	-63.418
-19.892	-64.126
-20.901	-65.545
-21.694	-66.43
-22.559	-67.844
-23.423	-68.556
-24.288	-69.619
-25.297	-70.856
-26.233	-71.745
-27.099	-72.809
-27.747	-72.982
-28.539	-74.045
-29.116	-74.223
-29.406	-74.757
-29.837	-74.757
-30.198	-75.464
-30.127	-74.579
-30.198	-73.694
-30.127	-72.097
-29.911	-70.148
-29.837	-68.2
-29.477	-65.011
-29.334	-62.885
-28.9	-60.585
-28.613	-58.103
-28.252	-56.154
-27.963	-54.562
-27.676	-52.08
-27.17	-49.954
-26.667	-48.005
-26.307	-46.413
-26.091	-44.816
-25.657	-42.869
-25.369	-40.743
-24.937	-38.972
-24.433	-37.2
-24	-34.72
-23.423	-33.126
-22.991	-31.355
-22.703	-29.583
-22.198	-27.635
-21.621	-25.686
-21.117	-24.446
-20.469	-22.32
-19.892	-20.549
-19.171	-18.954
-18.234	-16.651
-17.514	-14.88
-16.865	-13.463
-16.144	-12.223
-15.351	-10.629
-14.631	-9.3889
-13.766	-8.1487
-12.901	-6.5545
-12.108	-5.6688
-11.315	-4.7827
-10.451	-3.5429
-9.8019	-2.3029
-9.2974	-1.24
-8.7927	-0.53143
-8	0.70856
-7.3513	1.9486
-6.4864	3.3657
-5.6937	4.7827
-4.6848	6.9085
-3.7478	8.8573
-3.0269	10.629
-2.2342	12.4
-1.6577	13.64
-1.009	15.589
-0.28829	17.715
0	18.954
0.50449	20.549
1.2973	22.32
1.7297	24.269
2.0901	25.863
2.8108	27.635
3.4595	29.406
4.1082	31.178
5.0449	33.657
5.8379	34.898
6.8468	37.2
7.9278	39.857
9.2253	41.629
10.234	43.932
11.82	46.591
13.117	49.068
13.838	50.839
14.919	52.787
15.928	54.384
17.225	56.688
18.451	58.459
19.532	60.229
20.901	61.999
22.342	63.418
23.568	65.189
24.721	66.43
25.73	67.671
26.81	68.378
27.821	69.441
28.974	70.504
29.982	71.39
30.991	72.275
32.433	73.16
33.226	73.694
34.379	74.223
35.458	75.286
36.469	75.642
37.262	76.171
38.415	76.527
39.352	77.057
40.145	76.705
40.721	77.057
40.648	75.464
40.576	74.045
40.361	71.919
40.145	69.619
39.855	67.493
39.784	65.189
39.568	63.062
39.352	60.585
38.847	58.636
38.486	56.688
38.199	54.206
37.622	50.309
37.262	48.005
36.901	45.35
36.325	43.223
35.748	40.034
35.027	37.378
34.305	33.657
33.442	30.469
32.72	27.989
31.712	25.332
30.488	22.143
29.406	19.309
28.613	17.006
27.315	13.995
26.233	11.514
25.225	9.92
24.504	8.1487
23.423	6.3774
22.631	5.4913
21.766	4.7827
21.261	3.8972
20.54	3.3657
19.676	2.48
18.739	1.24
17.73	0.53143
17.225	0
16.577	-0.35429
15.856	-1.0629
14.703	-2.3029
13.766	-3.72
12.829	-4.2515
11.964	-5.1373
11.171	-5.6688
10.306	-6.7315
9.2253	-7.7942
8.8649	-8.1487
8.2883	-9.0343
7.3513	-9.92
6.919	-10.629
6.2702	-11.514
5.8379	-12.4
5.3332	-12.754
4.9009	-13.817
4.3243	-14.526
3.7478	-15.943
3.1712	-17.36
2.7386	-18.423
1.9459	-20.017
1.5135	-21.435
0.93693	-22.674
0.43243	-24.092
0	-25.155
-0.36035	-26.217
-0.79278	-27.458
-1.2973	-29.229
-1.8739	-30.646
-2.5946	-32.24
-3.3152	-34.543
-4.1082	-36.314
-5.1171	-39.149
-5.6215	-41.275
-6.3424	-43.754
-7.1351	-45.528
-7.856	-47.476
-8.4325	-49.602
-8.937	-50.665
-9.5136	-52.436
-10.09	-53.677
-10.522	-55.269
-11.676	-57.925
-12.252	-59.344
-12.973	-60.763
-13.838	-62.355
-14.631	-63.774
-15.64	-65.722
-16.504	-67.493
-17.441	-68.734
-18.378	-69.797
-19.171	-71.212
-20.18	-72.631
-20.469	-72.982
-21.333	-73.867
-22.703	-75.464
-23.712	-76.171
-24.721	-76.527
-25.657	-77.057
-26.378	-77.234
-27.315	-77.412
-28.324	-77.412
-29.116	-77.412
-29.982	-77.59
-30.919	-77.59
-31.783	-78.12
-32.649	-77.942
-33.513	-77.942
-34.379	-77.942
-34.955	-77.942
-35.532	-77.59
-36.469	-77.59
-37.262	-77.942
-38.199	-77.942
-38.992	-77.942
-39.568	-77.768
-40	-77.942
-40.361	-77.942
-40.576	-78.12
-40.289	-75.82
-40.216	-74.401
-40.216	-72.982
-39.929	-71.212
-39.713	-69.085
-39.639	-66.959
-39.352	-64.303
-39.136	-62.177
-38.918	-60.407
-38.776	-58.459
-38.486	-56.688
-38.341	-54.913
-37.909	-52.614
-37.694	-50.665
-37.188	-48.539
-36.756	-46.235
-36.18	-44.463
-35.819	-42.337
-35.243	-40.743
-34.811	-38.263
-34.379	-36.846
-33.947	-34.898
-33.297	-32.949
-32.794	-31.532
-32.144	-29.229
-31.712	-27.458
-31.135	-25.863
-30.846	-24.8
-30.269	-23.206
-29.406	-20.903
-28.758	-19.486
-28.108	-18.069
-27.244	-16.12
-26.452	-14.349
-25.585	-12.754
-24.721	-11.16
-23.856	-9.92
-23.135	-9.0343
-22.126	-7.2631
-20.757	-5.8459
-19.748	-4.7827
-18.667	-3.72
-17.946	-3.0114
-17.081	-1.9486
-16.433	-1.24
-15.784	-0.70856
-14.775	0.17715
-14.126	0.70856
-13.622	1.0629
-12.901	1.9486
-12.036	3.0114
-11.243	4.0743
-10.018	5.4913
-9.2253	6.3774
-8.0721	7.7942
-6.9911	9.0343
-5.8379	10.629
-5.0449	12.046
-4.3243	13.286
-3.5316	14.526
-2.6667	16.12
-2.018	17.36
-1.2973	18.954
-0.72072	20.372
-0.14414	21.435
0.43243	22.674
0.93693	24.269
1.5856	25.686
2.5946	27.989
3.5316	30.292
4.2522	32.063
5.1171	33.657
6.0541	35.783
6.8468	37.2
7.856	38.972
9.081	41.098
9.874	42.515
11.099	44.109
12.036	45.701
12.973	47.476
14.486	49.776
15.784	51.373
16.937	52.787
18.234	54.206
19.171	55.798
20.396	57.217
21.694	58.636
23.135	60.407
24.36	61.821
25.297	62.885
26.307	63.418
27.531	65.189
28.324	66.074
29.406	66.959
30.127	67.844
31.351	68.734
32.217	69.263
33.152	70.326
34.234	71.212
35.532	72.453
36.83	73.516
37.983	73.867
38.702	74.579
39.423	74.757
40.071	74.93
40.648	75.108
40.505	74.401
40.432	73.516
40.145	71.745
40.071	70.856
39.855	69.441
39.784	67.671
39.639	66.43
39.352	64.659
39.136	62.885
38.702	60.585
38.341	58.281
38.125	56.51
37.838	54.562
37.478	51.728
37.117	49.954
36.756	48.005
36.325	46.413
36.035	44.642
35.819	43.4
35.387	41.275
35.387	40.921
34.955	39.326
34.666	37.909
34.305	36.314
34.089	35.075
33.658	32.949
33.226	31.532
32.649	29.583
32.073	27.989
31.567	26.394
31.206	24.977
30.63	23.56
29.982	21.612
29.406	20.372
28.9	19.132
28.252	17.715
27.46	15.766
26.739	14.172
26.307	13.286
25.801	11.869
25.225	10.629
24.577	9.2114
23.928	7.9717
23.063	6.3774
22.775	5.4913
21.838	4.4286
20.901	3.5429
20.036	2.8343
19.243	2.1257
18.522	1.4172
17.73	0.53143
17.009	0
16.216	-0.70856
15.279	-1.9486
14.631	-2.3029
13.838	-2.8343
13.117	-3.5429
12.396	-4.4286
11.82	-4.7827
11.243	-5.4913
10.306	-6.1999
9.4414	-7.0856
8.8649	-7.7942
8.2161	-8.8573
7.5677	-9.5659
6.8468	-10.452
5.8379	-11.869
5.0449	-13.286
4.3243	-14.526
3.7478	-15.589
3.0269	-17.183
2.4504	-18.954
1.6577	-20.549
1.009	-22.32
0.50449	-23.383
-0.21621	-25.332
-0.57658	-26.749
-1.2252	-28.52
-1.8739	-30.114
-2.5225	-31.355
-3.3152	-33.126
-3.9639	-34.543
-4.4684	-35.96
