"Davey 1975, Spec. 3"	
-66.335	-124.69
-73.558	-129.88
-79.939	-131.97
-86.49	-132.48
-85.314	-122.09
-83.464	-106.5
-81.115	-90.922
-78.428	-77.933
-75.07	-63.383
-71.709	-49.878
-68.184	-38.446
-64.656	-25.978
-59.451	-10.391
-54.412	0.51955
-40.305	23.38
-31.237	33.771
-21.496	42.083
-13.267	47.801
-2.855	55.073
5.7099	57.671
14.947	60.785
21.664	65.464
27.038	69.619
31.907	73.258
30.229	62.867
27.879	50.394
25.191	40.005
22.336	31.173
18.641	20.782
15.954	14.027
8.7328	0
12.763	10.391
16.962	23.899
19.817	33.771
23.343	45.203
27.038	57.671
30.564	68.578
33.589	72.737
38.123	78.449
44	85.206
49.71	90.922
55.756	98.715
64.153	106.5
70.533	112.22
76.076	116.89
79.939	120.01
84.808	123.13
82.123	99.751
78.428	80.531
76.413	70.14
71.877	51.955
67.175	34.81
61.633	16.105
56.764	4.676
53.909	-1.0391
46.35	-14.548
38.626	-24.938
30.734	-33.771
23.343	-40.005
16.794	-44.682
8.0609	-50.394
-0.50381	-52.992
-7.2215	-56.63
-13.435	-59.749
-21.16	-64.424
-27.541	-68.062
-33.251	-72.217
-36.779	-75.335
-34.93	-64.424
-33.251	-55.589
-30.734	-44.682
-29.053	-38.965
-25.695	-29.094
-22	-18.703
-18.137	-9.8715
-13.435	0.51955
-14.947	-3.6367
-19.145	-13.508
-22.336	-23.38
-26.03	-33.771
-28.55	-42.083
-32.245	-51.955
-35.268	-62.346
-38.626	-72.217
-40.81	-76.372
-46.35	-82.608
-54.747	-92.999
-58.946	-97.154
-66.672	-108.59
-73.053	-115.34
-80.442	-122.09
-84.64	-125.21
-86.657	-127.29
-85.816	-117.42
-83.635	-99.751
-81.618	-86.763
-78.428	-72.217
-74.061	-54.553
-69.527	-38.446
-65.329	-25.458
-60.122	-12.469
-54.58	0
-45.679	14.548
-38.626	23.38
-30.396	30.133
-23.175	35.329
-13.435	40.524
-6.7175	43.122
-0.50381	47.28
9.0688	49.357
18.977	51.955
26.703	55.589
32.413	59.749
35.771	61.826
37.617	62.346
36.106	54.033
33.757	44.161
30.902	34.81
28.717	29.094
23.512	16.625
19.649	8.8324
13.603	-1.0391
17.298	7.2737
22.504	19.223
26.703	30.653
29.22	38.446
32.075	46.239
35.268	55.073
38.961	61.826
42.489	65.98
47.023	70.14
52.06	75.856
58.61	83.128
64.994	90.401
71.542	97.154
75.908	101.31
81.283	105.99
86.657	110.14
94.214	113.78
98.748	114.3
102.44	115.34
105.63	116.38
108.82	116.89
111.51	116.89
114.2	116.89
116.21	82.087
115.54	77.412
113.02	68.062
111.34	60.269
109.66	54.553
107.99	49.878
106.14	43.642
103.79	37.407
100.09	27.016
96.901	18.703
94.046	12.469
90.856	5.1955
89.68	1.0391
88.336	-1.0391
